player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.4,1,2022-08-03
Christian McCaffrey,RB,CAR,2,2,2022-08-03
Cooper Kupp,WR,LA,3.3,3,2022-08-03
Justin Jefferson,WR,MIN,3.7,4,2022-08-03
Ja'Marr Chase,WR,CIN,5.3,5,2022-08-03
Austin Ekeler,RB,LAC,6.4,6,2022-08-03
Stefon Diggs,WR,BUF,7.7,7,2022-08-03
Derrick Henry,RB,TEN,8.3,8,2022-08-03
Dalvin Cook,RB,MIN,8.8,9,2022-08-03
Davante Adams,WR,LV,11.1,10,2022-08-03
Najee Harris,RB,PIT,11.2,11,2022-08-03
Travis Kelce,TE,KC,11.7,12,2022-08-03
CeeDee Lamb,WR,DAL,13.6,13,2022-08-03
Joe Mixon,RB,CIN,13.8,14,2022-08-03
D'Andre Swift,RB,DET,15.5,15,2022-08-03
Aaron Jones,RB,GB,16.7,16,2022-08-03
Saquon Barkley,RB,NYG,16.9,17,2022-08-03
Deebo Samuel,WR,SF,17.8,18,2022-08-03
Mike Evans,WR,TB,18,19,2022-08-03
Mark Andrews,TE,BAL,20.8,20,2022-08-03
Tyreek Hill,WR,MIA,21.4,21,2022-08-03
Javonte Williams,RB,DEN,23,22,2022-08-03
Leonard Fournette,RB,TB,23.6,23,2022-08-03
Tee Higgins,WR,CIN,24.2,24,2022-08-03
Nick Chubb,RB,CLE,25.3,25,2022-08-03
A.J. Brown,WR,PHI,27.3,26,2022-08-03
Alvin Kamara,RB,NO,27.7,27,2022-08-03
Keenan Allen,WR,LAC,28,28,2022-08-03
Michael Pittman,WR,IND,28.4,29,2022-08-03
Mike Williams,WR,LAC,29.8,30,2022-08-03
Josh Allen,QB,BUF,31.4,31,2022-08-03
DJ Moore,WR,CAR,31.9,32,2022-08-03
Kyle Pitts,TE,ATL,32.9,33,2022-08-03
James Conner,RB,ARI,34,34,2022-08-03
Travis Etienne,RB,JAX,35.2,35,2022-08-03
Courtland Sutton,WR,DEN,35.6,36,2022-08-03
Jaylen Waddle,WR,MIA,37.8,37,2022-08-03
Marquise Brown,WR,ARI,38.6,38,2022-08-03
Ezekiel Elliott,RB,DAL,39.8,39,2022-08-03
Terry McLaurin,WR,WAS,40,40,2022-08-03
Breece Hall,RB,NYJ,41.9,41,2022-08-03
Allen Robinson,WR,LA,43.4,42,2022-08-03
Gabriel Davis,WR,BUF,43.4,43,2022-08-03
Cam Akers,RB,LA,44.3,44,2022-08-03
Justin Herbert,QB,LAC,45.1,45,2022-08-03
Diontae Johnson,WR,PIT,46.6,46,2022-08-03
Darren Waller,TE,LV,47.4,47,2022-08-03
Jerry Jeudy,WR,DEN,47.8,48,2022-08-03
Lamar Jackson,QB,BAL,49.3,49,2022-08-03
Brandin Cooks,WR,HOU,51.1,50,2022-08-03
Patrick Mahomes,QB,KC,52.1,51,2022-08-03
George Kittle,TE,SF,52.1,52,2022-08-03
D.K. Metcalf,WR,SEA,52.6,53,2022-08-03
JuJu Smith-Schuster,WR,KC,52.8,54,2022-08-03
Rashod Bateman,WR,BAL,53.9,55,2022-08-03
David Montgomery,RB,CHI,55,56,2022-08-03
Chris Godwin,WR,TB,57.7,57,2022-08-03
Darnell Mooney,WR,CHI,57.8,58,2022-08-03
Kyler Murray,QB,ARI,60.2,59,2022-08-03
Amon-Ra St. Brown,WR,DET,60.3,60,2022-08-03
