player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.4,1,2022-08-09
Christian McCaffrey,RB,CAR,2,2,2022-08-09
Justin Jefferson,WR,MIN,3.3,3,2022-08-09
Cooper Kupp,WR,LA,3.9,4,2022-08-09
Ja'Marr Chase,WR,CIN,5.2,5,2022-08-09
Austin Ekeler,RB,LAC,6.4,6,2022-08-09
Stefon Diggs,WR,BUF,7.6,7,2022-08-09
Derrick Henry,RB,TEN,8.4,8,2022-08-09
Dalvin Cook,RB,MIN,9.1,9,2022-08-09
Davante Adams,WR,LV,10.4,10,2022-08-09
Najee Harris,RB,PIT,11.7,11,2022-08-09
Travis Kelce,TE,KC,12,12,2022-08-09
CeeDee Lamb,WR,DAL,13,13,2022-08-09
Joe Mixon,RB,CIN,14.2,14,2022-08-09
D'Andre Swift,RB,DET,15.6,15,2022-08-09
Saquon Barkley,RB,NYG,15.8,16,2022-08-09
Deebo Samuel,WR,SF,16.7,17,2022-08-09
Aaron Jones,RB,GB,18.1,18,2022-08-09
Mike Evans,WR,TB,20.1,19,2022-08-09
Mark Andrews,TE,BAL,21,20,2022-08-09
Tyreek Hill,WR,MIA,21.6,21,2022-08-09
Alvin Kamara,RB,NO,22.9,22,2022-08-09
Javonte Williams,RB,DEN,23,23,2022-08-09
Leonard Fournette,RB,TB,24.8,24,2022-08-09
Tee Higgins,WR,CIN,25,25,2022-08-09
Nick Chubb,RB,CLE,25.8,26,2022-08-09
A.J. Brown,WR,PHI,26.2,27,2022-08-09
Michael Pittman,WR,IND,28,28,2022-08-09
Keenan Allen,WR,LAC,29.6,29,2022-08-09
Mike Williams,WR,LAC,30.4,30,2022-08-09
Josh Allen,QB,BUF,31.5,31,2022-08-09
Kyle Pitts,TE,ATL,31.5,32,2022-08-09
DJ Moore,WR,CAR,32.8,33,2022-08-09
Courtland Sutton,WR,DEN,33.8,34,2022-08-09
James Conner,RB,ARI,35.2,35,2022-08-09
Travis Etienne,RB,JAX,36.3,36,2022-08-09
Jaylen Waddle,WR,MIA,37.8,37,2022-08-09
Ezekiel Elliott,RB,DAL,39.3,38,2022-08-09
Terry McLaurin,WR,WAS,40.5,39,2022-08-09
Allen Robinson,WR,LA,41.1,40,2022-08-09
Marquise Brown,WR,ARI,41.1,41,2022-08-09
Breece Hall,RB,NYJ,41.8,42,2022-08-09
Gabriel Davis,WR,BUF,43.6,43,2022-08-09
Jerry Jeudy,WR,DEN,43.9,44,2022-08-09
Justin Herbert,QB,LAC,45.6,45,2022-08-09
Diontae Johnson,WR,PIT,47,46,2022-08-09
Cam Akers,RB,LA,47.8,47,2022-08-09
Darren Waller,TE,LV,48.6,48,2022-08-09
Lamar Jackson,QB,BAL,49,49,2022-08-09
JuJu Smith-Schuster,WR,KC,51,50,2022-08-09
Brandin Cooks,WR,HOU,51,51,2022-08-09
Patrick Mahomes,QB,KC,51.8,52,2022-08-09
George Kittle,TE,SF,52.7,53,2022-08-09
D.K. Metcalf,WR,SEA,54,54,2022-08-09
Rashod Bateman,WR,BAL,54.5,55,2022-08-09
Chris Godwin,WR,TB,54.6,56,2022-08-09
David Montgomery,RB,CHI,58.4,57,2022-08-09
Darnell Mooney,WR,CHI,59.3,58,2022-08-09
J.K. Dobbins,RB,BAL,60.1,59,2022-08-09
Amon-Ra St. Brown,WR,DET,60.3,60,2022-08-09
Michael Thomas,WR,NO,61,61,2022-08-09
Kyler Murray,QB,ARI,61.4,62,2022-08-09
Elijah Mitchell,RB,SF,63.5,63,2022-08-09
Jalen Hurts,QB,PHI,64.5,64,2022-08-09
Elijah Moore,WR,NYJ,65.2,65,2022-08-09
AJ Dillon,RB,GB,66,66,2022-08-09
Amari Cooper,WR,CLE,68.3,67,2022-08-09
Josh Jacobs,RB,LV,69.9,68,2022-08-09
Adam Thielen,WR,MIN,69.9,69,2022-08-09
Drake London,WR,ATL,70,70,2022-08-09
Dalton Schultz,TE,DAL,71.2,71,2022-08-09
DeAndre Hopkins,WR,ARI,72.6,72,2022-08-09
Trey Lance,QB,SF,73.3,73,2022-08-09
Joe Burrow,QB,CIN,74.9,74,2022-08-09
DeVonta Smith,WR,PHI,75.2,75,2022-08-09
Allen Lazard,WR,GB,75.4,76,2022-08-09
Brandon Aiyuk,WR,SF,76.9,77,2022-08-09
Kadarius Toney,WR,NYG,77.1,78,2022-08-09
Antonio Gibson,RB,WAS,78.9,79,2022-08-09
Russell Wilson,QB,DEN,79.3,80,2022-08-09
Christian Kirk,WR,JAX,82.3,81,2022-08-09
Tony Pollard,RB,DAL,83.2,82,2022-08-09
Miles Sanders,RB,PHI,83.3,83,2022-08-09
Hunter Renfrow,WR,LV,84.5,84,2022-08-09
Tom Brady,QB,TB,85.2,85,2022-08-09
Treylon Burks,WR,TEN,86.3,86,2022-08-09
Clyde Edwards-Helaire,RB,KC,87.6,87,2022-08-09
Dak Prescott,QB,DAL,88.8,88,2022-08-09
Chris Olave,WR,NO,89.2,89,2022-08-09
T.J. Hockenson,TE,DET,90.1,90,2022-08-09
Chase Edmonds,RB,MIA,92,91,2022-08-09
Rashaad Penny,RB,SEA,92,92,2022-08-09
Skyy Moore,WR,KC,92,93,2022-08-09
Marquez Valdes-Scantling,WR,KC,94.5,94,2022-08-09
Kareem Hunt,RB,CLE,94.7,95,2022-08-09
Rhamondre Stevenson,RB,NE,95,96,2022-08-09
Dallas Goedert,TE,PHI,97.7,97,2022-08-09
Damien Harris,RB,NE,98.7,98,2022-08-09
Russell Gage,WR,TB,100.3,99,2022-08-09
Tyler Lockett,WR,SEA,100.5,100,2022-08-09
Robert Woods,WR,TEN,101.1,101,2022-08-09
James Cook,RB,BUF,101.2,102,2022-08-09
Matthew Stafford,QB,LA,104.6,103,2022-08-09
Dawson Knox,TE,BUF,104.8,104,2022-08-09
Devin Singletary,RB,BUF,105.4,105,2022-08-09
Chase Claypool,WR,PIT,105.9,106,2022-08-09
Derek Carr,QB,LV,107.6,107,2022-08-09
Zach Ertz,TE,ARI,108.7,108,2022-08-09
Kenneth Walker,RB,SEA,109,109,2022-08-09
Tyler Boyd,WR,CIN,109.9,110,2022-08-09
Melvin Gordon,RB,DEN,110,111,2022-08-09
Aaron Rodgers,QB,GB,111.3,112,2022-08-09
Garrett Wilson,WR,NYJ,112.1,113,2022-08-09
Cordarrelle Patterson,RB,ATL,112.5,114,2022-08-09
Rondale Moore,WR,ARI,114.9,115,2022-08-09
Jalen Tolbert,WR,DAL,115.3,116,2022-08-09
Kirk Cousins,QB,MIN,117.1,117,2022-08-09
Julio Jones,WR,N/A,118.5,118,2022-08-09
Dameon Pierce,RB,HOU,120.5,119,2022-08-09
Isaiah Spiller,RB,LAC,121,120,2022-08-09
