player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.6,1,2022-08-24
Christian McCaffrey,RB,CAR,1.8,2,2022-08-24
Justin Jefferson,WR,MIN,3.2,3,2022-08-24
Cooper Kupp,WR,LA,4.1,4,2022-08-24
Ja'Marr Chase,WR,CIN,5.4,5,2022-08-24
Austin Ekeler,RB,LAC,6,6,2022-08-24
Derrick Henry,RB,TEN,7.8,7,2022-08-24
Stefon Diggs,WR,BUF,8.1,8,2022-08-24
Dalvin Cook,RB,MIN,8.7,9,2022-08-24
Davante Adams,WR,LV,10.9,10,2022-08-24
Najee Harris,RB,PIT,11.5,11,2022-08-24
Travis Kelce,TE,KC,12.7,12,2022-08-24
Joe Mixon,RB,CIN,13.7,13,2022-08-24
CeeDee Lamb,WR,DAL,14.1,14,2022-08-24
Saquon Barkley,RB,NYG,14.5,15,2022-08-24
D'Andre Swift,RB,DET,15.9,16,2022-08-24
Deebo Samuel,WR,SF,17.9,17,2022-08-24
Alvin Kamara,RB,NO,18,18,2022-08-24
Aaron Jones,RB,GB,18.2,19,2022-08-24
Javonte Williams,RB,DEN,20.3,20,2022-08-24
Mark Andrews,TE,BAL,21.6,21,2022-08-24
Mike Evans,WR,TB,22.5,22,2022-08-24
Tyreek Hill,WR,MIA,23.6,23,2022-08-24
Leonard Fournette,RB,TB,24.9,24,2022-08-24
A.J. Brown,WR,PHI,25.5,25,2022-08-24
Nick Chubb,RB,CLE,26.2,26,2022-08-24
Tee Higgins,WR,CIN,26.9,27,2022-08-24
Michael Pittman,WR,IND,27.5,28,2022-08-24
Kyle Pitts,TE,ATL,29.7,29,2022-08-24
Keenan Allen,WR,LAC,30.3,30,2022-08-24
Mike Williams,WR,LAC,30.7,31,2022-08-24
Josh Allen,QB,BUF,31.8,32,2022-08-24
DJ Moore,WR,CAR,32.9,33,2022-08-24
Courtland Sutton,WR,DEN,33.3,34,2022-08-24
James Conner,RB,ARI,34.9,35,2022-08-24
Travis Etienne,RB,JAX,36.6,36,2022-08-24
Jaylen Waddle,WR,MIA,37.9,37,2022-08-24
Allen Robinson,WR,LA,39.4,38,2022-08-24
Ezekiel Elliott,RB,DAL,39.4,39,2022-08-24
Gabriel Davis,WR,BUF,40.6,40,2022-08-24
Terry McLaurin,WR,WAS,41.7,41,2022-08-24
Marquise Brown,WR,ARI,42.1,42,2022-08-24
Jerry Jeudy,WR,DEN,43.9,43,2022-08-24
Breece Hall,RB,NYJ,44.1,44,2022-08-24
Justin Herbert,QB,LAC,45.3,45,2022-08-24
Lamar Jackson,QB,BAL,47.4,46,2022-08-24
JuJu Smith-Schuster,WR,KC,47.9,47,2022-08-24
Diontae Johnson,WR,PIT,48.7,48,2022-08-24
Cam Akers,RB,LA,50.9,49,2022-08-24
Patrick Mahomes,QB,KC,51,50,2022-08-24
Darren Waller,TE,LV,51.5,51,2022-08-24
Brandin Cooks,WR,HOU,52,52,2022-08-24
George Kittle,TE,SF,53.9,53,2022-08-24
Rashod Bateman,WR,BAL,54,54,2022-08-24
Chris Godwin,WR,TB,55.6,55,2022-08-24
J.K. Dobbins,RB,BAL,55.6,56,2022-08-24
Michael Thomas,WR,NO,56.2,57,2022-08-24
Amon-Ra St. Brown,WR,DET,56.3,58,2022-08-24
D.K. Metcalf,WR,SEA,57.5,59,2022-08-24
Darnell Mooney,WR,CHI,61,60,2022-08-24
Jalen Hurts,QB,PHI,61.8,61,2022-08-24
Kyler Murray,QB,ARI,62,62,2022-08-24
AJ Dillon,RB,GB,62,63,2022-08-24
David Montgomery,RB,CHI,63.9,64,2022-08-24
Elijah Moore,WR,NYJ,65.8,65,2022-08-24
Elijah Mitchell,RB,SF,67.1,66,2022-08-24
Adam Thielen,WR,MIN,67.4,67,2022-08-24
Trey Lance,QB,SF,69.1,68,2022-08-24
Brandon Aiyuk,WR,SF,69.3,69,2022-08-24
Allen Lazard,WR,GB,70.6,70,2022-08-24
Dalton Schultz,TE,DAL,71.2,71,2022-08-24
Drake London,WR,ATL,72.1,72,2022-08-24
Joe Burrow,QB,CIN,75.4,73,2022-08-24
Amari Cooper,WR,CLE,75.8,74,2022-08-24
Josh Jacobs,RB,LV,76.2,75,2022-08-24
DeAndre Hopkins,WR,ARI,76.3,76,2022-08-24
DeVonta Smith,WR,PHI,76.7,77,2022-08-24
Russell Wilson,QB,DEN,78.8,78,2022-08-24
Tony Pollard,RB,DAL,79.2,79,2022-08-24
Christian Kirk,WR,JAX,79.7,80,2022-08-24
Kadarius Toney,WR,NYG,80.7,81,2022-08-24
Clyde Edwards-Helaire,RB,KC,82.4,82,2022-08-24
Chase Edmonds,RB,MIA,82.8,83,2022-08-24
Hunter Renfrow,WR,LV,83.6,84,2022-08-24
Rhamondre Stevenson,RB,NE,85.7,85,2022-08-24
Chris Olave,WR,NO,86.1,86,2022-08-24
Tom Brady,QB,TB,87.4,87,2022-08-24
Skyy Moore,WR,KC,89.2,88,2022-08-24
Dak Prescott,QB,DAL,90.7,89,2022-08-24
Dallas Goedert,TE,PHI,91.3,90,2022-08-24
Miles Sanders,RB,PHI,91.3,91,2022-08-24
T.J. Hockenson,TE,DET,92.3,92,2022-08-24
Dameon Pierce,RB,HOU,93.9,93,2022-08-24
Rashaad Penny,RB,SEA,93.9,94,2022-08-24
Marquez Valdes-Scantling,WR,KC,94.5,95,2022-08-24
Kareem Hunt,RB,CLE,95.5,96,2022-08-24
Antonio Gibson,RB,WAS,97,97,2022-08-24
Robert Woods,WR,TEN,98,98,2022-08-24
Treylon Burks,WR,TEN,99.5,99,2022-08-24
Damien Harris,RB,NE,100.4,100,2022-08-24
Tyler Lockett,WR,SEA,100.6,101,2022-08-24
James Cook,RB,BUF,102.7,102,2022-08-24
Dawson Knox,TE,BUF,103.8,103,2022-08-24
Matthew Stafford,QB,LA,105.5,104,2022-08-24
Devin Singletary,RB,BUF,105.6,105,2022-08-24
Derek Carr,QB,LV,108.1,106,2022-08-24
Tyler Boyd,WR,CIN,108.5,107,2022-08-24
Chase Claypool,WR,PIT,108.8,108,2022-08-24
Zach Ertz,TE,ARI,109.2,109,2022-08-24
George Pickens,WR,PIT,109.2,110,2022-08-24
Cordarrelle Patterson,RB,ATL,110.5,111,2022-08-24
Aaron Rodgers,QB,GB,111.9,112,2022-08-24
Rondale Moore,WR,ARI,112.1,113,2022-08-24
Kenneth Walker,RB,SEA,112.6,114,2022-08-24
Melvin Gordon,RB,DEN,113.6,115,2022-08-24
Julio Jones,WR,N/A,116.6,116,2022-08-24
Garrett Wilson,WR,NYJ,116.7,117,2022-08-24
Kirk Cousins,QB,MIN,117.1,118,2022-08-24
Jalen Tolbert,WR,DAL,120,119,2022-08-24
Cole Kmet,TE,CHI,121.1,120,2022-08-24
Russell Gage,WR,TB,121.6,121,2022-08-24
Darrell Henderson,RB,LA,122.3,122,2022-08-24
Joshua Palmer,WR,LAC,124,123,2022-08-24
Romeo Doubs,WR,GB,125.8,124,2022-08-24
Rachaad White,RB,TB,127.2,125,2022-08-24
Nyheim Hines,RB,IND,127.6,126,2022-08-24
Brian Robinson Jr.,RB,WAS,128.5,127,2022-08-24
Kenneth Gainwell,RB,PHI,129.4,128,2022-08-24
DeVante Parker,WR,NE,129.8,129,2022-08-24
Mecole Hardman,WR,KC,130.5,130,2022-08-24
Justin Fields,QB,CHI,131.9,131,2022-08-24
Michael Gallup,WR,DAL,133.1,132,2022-08-24
Alexander Mattison,RB,MIN,135.4,133,2022-08-24
Albert Okwuegbunam,TE,DEN,135.6,134,2022-08-24
Jahan Dotson,WR,WAS,136,135,2022-08-24
Tua Tagovailoa,QB,MIA,136.6,136,2022-08-24
D.J. Chark,WR,DET,137.2,137,2022-08-24
Pat Freiermuth,TE,PIT,137.9,138,2022-08-24
James Robinson,RB,JAX,137.9,139,2022-08-24
Isiah Pacheco,RB,KC,139.4,140,2022-08-24
Isaiah McKenzie,WR,BUF,140.9,141,2022-08-24
Trevor Lawrence,QB,JAX,141.1,142,2022-08-24
Irv Smith,TE,MIN,141.1,143,2022-08-24
Isaiah Spiller,RB,LAC,144.9,144,2022-08-24
Jakobi Meyers,WR,NE,145.4,145,2022-08-24
K.J. Osborn,WR,MIN,145.6,146,2022-08-24
Michael Carter,RB,NYJ,145.7,147,2022-08-24
Nico Collins,WR,HOU,146.6,148,2022-08-24
Kenny Golladay,WR,NYG,149.8,149,2022-08-24
Tyler Allgeier,RB,ATL,150.5,150,2022-08-24
Christian Watson,WR,GB,153.2,151,2022-08-24
Mike Gesicki,TE,MIA,153.5,152,2022-08-24
Khalil Herbert,RB,CHI,153.9,153,2022-08-24
Jameis Winston,QB,NO,154,154,2022-08-24
KJ Hamler,WR,DEN,154.6,155,2022-08-24
Hunter Henry,TE,NE,155.5,156,2022-08-24
Matt Ryan,QB,IND,156.6,157,2022-08-24
Jarvis Landry,WR,NO,157.7,158,2022-08-24
Jamaal Williams,RB,DET,158,159,2022-08-24
Wan'Dale Robinson,WR,NYG,158.3,160,2022-08-24
David Njoku,TE,CLE,160.4,161,2022-08-24
Robby Anderson,WR,CAR,161.2,162,2022-08-24
Gerald Everett,TE,LAC,163.3,163,2022-08-24
Jameson Williams,WR,DET,164.1,164,2022-08-24
