player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.3,1,2022-07-27
Christian McCaffrey,RB,CAR,2.2,2,2022-07-27
Cooper Kupp,WR,LA,3.3,3,2022-07-27
Justin Jefferson,WR,MIN,3.8,4,2022-07-27
Ja'Marr Chase,WR,CIN,5.4,5,2022-07-27
Austin Ekeler,RB,LAC,6.3,6,2022-07-27
Derrick Henry,RB,TEN,7.9,7,2022-07-27
Stefon Diggs,WR,BUF,8.2,8,2022-07-27
Dalvin Cook,RB,MIN,8.9,9,2022-07-27
Najee Harris,RB,PIT,10.3,10,2022-07-27
Davante Adams,WR,LV,11.1,11,2022-07-27
Travis Kelce,TE,KC,12.2,12,2022-07-27
Joe Mixon,RB,CIN,13.6,13,2022-07-27
CeeDee Lamb,WR,DAL,13.9,14,2022-07-27
D'Andre Swift,RB,DET,14.9,15,2022-07-27
Mike Evans,WR,TB,16.1,16,2022-07-27
Aaron Jones,RB,GB,17.2,17,2022-07-27
Saquon Barkley,RB,NYG,17.9,18,2022-07-27
Deebo Samuel,WR,SF,19.3,19,2022-07-27
Mark Andrews,TE,BAL,20.6,20,2022-07-27
Tyreek Hill,WR,MIA,21.6,21,2022-07-27
Javonte Williams,RB,DEN,22.7,22,2022-07-27
Tee Higgins,WR,CIN,23.6,23,2022-07-27
Leonard Fournette,RB,TB,23.6,24,2022-07-27
Nick Chubb,RB,CLE,24.9,25,2022-07-27
A.J. Brown,WR,PHI,26.9,26,2022-07-27
Keenan Allen,WR,LAC,27.6,27,2022-07-27
Michael Pittman,WR,IND,28.4,28,2022-07-27
Mike Williams,WR,LAC,29.1,29,2022-07-27
Josh Allen,QB,BUF,30.4,30,2022-07-27
DJ Moore,WR,CAR,31.5,31,2022-07-27
Kyle Pitts,TE,ATL,32.5,32,2022-07-27
James Conner,RB,ARI,32.8,33,2022-07-27
Alvin Kamara,RB,NO,33.3,34,2022-07-27
Travis Etienne,RB,JAX,35.3,35,2022-07-27
Marquise Brown,WR,ARI,36.9,36,2022-07-27
Courtland Sutton,WR,DEN,37,37,2022-07-27
Jaylen Waddle,WR,MIA,38.5,38,2022-07-27
Terry McLaurin,WR,WAS,39.3,39,2022-07-27
Ezekiel Elliott,RB,DAL,40,40,2022-07-27
Breece Hall,RB,NYJ,42.1,41,2022-07-27
Cam Akers,RB,LA,43.1,42,2022-07-27
Diontae Johnson,WR,PIT,43.5,43,2022-07-27
Gabriel Davis,WR,BUF,44.2,44,2022-07-27
Justin Herbert,QB,LAC,45.2,45,2022-07-27
Darren Waller,TE,LV,45.5,46,2022-07-27
Allen Robinson,WR,LA,47.6,47,2022-07-27
Jerry Jeudy,WR,DEN,48.7,48,2022-07-27
Lamar Jackson,QB,BAL,50.8,49,2022-07-27
Brandin Cooks,WR,HOU,50.9,50,2022-07-27
Patrick Mahomes,QB,KC,51,51,2022-07-27
George Kittle,TE,SF,51.5,52,2022-07-27
David Montgomery,RB,CHI,52.1,53,2022-07-27
D.K. Metcalf,WR,SEA,52.9,54,2022-07-27
Rashod Bateman,WR,BAL,54.4,55,2022-07-27
JuJu Smith-Schuster,WR,KC,55.5,56,2022-07-27
Darnell Mooney,WR,CHI,57.4,57,2022-07-27
Kyler Murray,QB,ARI,59.4,58,2022-07-27
Amon-Ra St. Brown,WR,DET,60.4,59,2022-07-27
J.K. Dobbins,RB,BAL,60.6,60,2022-07-27
Josh Jacobs,RB,LV,62.2,61,2022-07-27
Chris Godwin,WR,TB,62.4,62,2022-07-27
Jalen Hurts,QB,PHI,63.6,63,2022-07-27
Elijah Mitchell,RB,SF,64.5,64,2022-07-27
AJ Dillon,RB,GB,65.3,65,2022-07-27
Amari Cooper,WR,CLE,66.6,66,2022-07-27
Adam Thielen,WR,MIN,67,67,2022-07-27
Elijah Moore,WR,NYJ,68.4,68,2022-07-27
Dalton Schultz,TE,DAL,68.9,69,2022-07-27
Russell Gage,WR,TB,71.6,70,2022-07-27
Joe Burrow,QB,CIN,71.7,71,2022-07-27
DeVonta Smith,WR,PHI,71.8,72,2022-07-27
Antonio Gibson,RB,WAS,71.9,73,2022-07-27
DeAndre Hopkins,WR,ARI,74,74,2022-07-27
Drake London,WR,ATL,75.4,75,2022-07-27
Miles Sanders,RB,PHI,77.3,76,2022-07-27
Russell Wilson,QB,DEN,77.7,77,2022-07-27
Trey Lance,QB,SF,78.9,78,2022-07-27
Hunter Renfrow,WR,LV,80,79,2022-07-27
Allen Lazard,WR,GB,80,80,2022-07-27
Tony Pollard,RB,DAL,81.3,81,2022-07-27
Christian Kirk,WR,JAX,82.4,82,2022-07-27
Michael Thomas,WR,NO,83,83,2022-07-27
Kadarius Toney,WR,NYG,84.4,84,2022-07-27
Tom Brady,QB,TB,84.7,85,2022-07-27
Clyde Edwards-Helaire,RB,KC,87,86,2022-07-27
Dak Prescott,QB,DAL,87.5,87,2022-07-27
T.J. Hockenson,TE,DET,88.5,88,2022-07-27
Brandon Aiyuk,WR,SF,89,89,2022-07-27
Damien Harris,RB,NE,90.2,90,2022-07-27
Marquez Valdes-Scantling,WR,KC,91.5,91,2022-07-27
Chris Olave,WR,NO,91.9,92,2022-07-27
Rashaad Penny,RB,SEA,92,93,2022-07-27
Kareem Hunt,RB,CLE,94.1,94,2022-07-27
Chase Edmonds,RB,MIA,95,95,2022-07-27
Treylon Burks,WR,TEN,96.3,96,2022-07-27
Matthew Stafford,QB,LA,96.8,97,2022-07-27
Dallas Goedert,TE,PHI,98.2,98,2022-07-27
Devin Singletary,RB,BUF,98.5,99,2022-07-27
Tyler Lockett,WR,SEA,100.2,100,2022-07-27
Skyy Moore,WR,KC,100.3,101,2022-07-27
Robert Woods,WR,TEN,102.8,102,2022-07-27
Dawson Knox,TE,BUF,104.3,103,2022-07-27
Rhamondre Stevenson,RB,NE,104.6,104,2022-07-27
Chase Claypool,WR,PIT,104.8,105,2022-07-27
Derek Carr,QB,LV,107.5,106,2022-07-27
Zach Ertz,TE,ARI,107.6,107,2022-07-27
Kenneth Walker,RB,SEA,107.7,108,2022-07-27
James Cook,RB,BUF,108.6,109,2022-07-27
Tyler Boyd,WR,CIN,109.2,110,2022-07-27
Melvin Gordon,RB,DEN,109.7,111,2022-07-27
Aaron Rodgers,QB,GB,110.3,112,2022-07-27
Cordarrelle Patterson,RB,ATL,111.1,113,2022-07-27
Garrett Wilson,WR,NYJ,112,114,2022-07-27
Kirk Cousins,QB,MIN,114.7,115,2022-07-27
Tim Patrick,WR,DEN,116.4,116,2022-07-27
Christian Watson,WR,GB,118.4,117,2022-07-27
Rachaad White,RB,TB,119.3,118,2022-07-27
Rondale Moore,WR,ARI,119.6,119,2022-07-27
Irv Smith,TE,MIN,121.9,120,2022-07-27
Kenny Golladay,WR,NYG,122.6,121,2022-07-27
Ronald Jones,RB,KC,122.9,122,2022-07-27
Mecole Hardman,WR,KC,124.6,123,2022-07-27
Alexander Mattison,RB,MIN,125.5,124,2022-07-27
Justin Fields,QB,CHI,126.3,125,2022-07-27
Michael Gallup,WR,DAL,127.7,126,2022-07-27
Isaiah Spiller,RB,LAC,127.7,127,2022-07-27
Pat Freiermuth,TE,PIT,128.2,128,2022-07-27
Jakobi Meyers,WR,NE,129.2,129,2022-07-27
Cole Kmet,TE,CHI,129.5,130,2022-07-27
Dameon Pierce,RB,HOU,129.8,131,2022-07-27
Tua Tagovailoa,QB,MIA,133.5,132,2022-07-27
Jarvis Landry,WR,NO,133.7,133,2022-07-27
Mike Gesicki,TE,MIA,136.7,134,2022-07-27
Jameson Williams,WR,DET,137.2,135,2022-07-27
Darrell Henderson,RB,LA,137.4,136,2022-07-27
Nyheim Hines,RB,IND,138.5,137,2022-07-27
Jahan Dotson,WR,WAS,139.2,138,2022-07-27
Jalen Tolbert,WR,DAL,139.7,139,2022-07-27
Trevor Lawrence,QB,JAX,140.6,140,2022-07-27
DeVante Parker,WR,NE,141.5,141,2022-07-27
Joshua Palmer,WR,LAC,141.7,142,2022-07-27
Michael Carter,RB,NYJ,143.5,143,2022-07-27
Jamison Crowder,WR,BUF,143.6,144,2022-07-27
K.J. Osborn,WR,MIN,145.2,145,2022-07-27
Hunter Henry,TE,NE,145.7,146,2022-07-27
Tyler Allgeier,RB,ATL,146.3,147,2022-07-27
Van Jefferson,WR,LA,148.2,148,2022-07-27
Robby Anderson,WR,CAR,149.8,149,2022-07-27
Albert Okwuegbunam,TE,DEN,151.6,150,2022-07-27
Jameis Winston,QB,NO,152.6,151,2022-07-27
Tyrion Davis-Price,RB,SF,153.1,152,2022-07-27
D.J. Chark,WR,DET,154.5,153,2022-07-27
Gerald Everett,TE,LAC,154.6,154,2022-07-27
Robert Tonyan,TE,GB,156.6,155,2022-07-27
Matt Ryan,QB,IND,157.2,156,2022-07-27
Gus Edwards,RB,BAL,157.5,157,2022-07-27
Kenneth Gainwell,RB,PHI,158.2,158,2022-07-27
Daniel Jones,QB,NYG,159.4,159,2022-07-27
Khalil Herbert,RB,CHI,159.5,160,2022-07-27
Nico Collins,WR,HOU,159.7,161,2022-07-27
Marvin Jones,WR,JAX,163.6,162,2022-07-27
David Njoku,TE,CLE,164.6,163,2022-07-27
Tyler Higbee,TE,LA,165,164,2022-07-27
Noah Fant,TE,SEA,167.6,165,2022-07-27
Corey Davis,WR,NYJ,167.8,166,2022-07-27
James Robinson,RB,JAX,168.1,167,2022-07-27
Deshaun Watson,QB,CLE,169.2,168,2022-07-27
Mac Jones,QB,NE,169.8,169,2022-07-27
Alec Pierce,WR,IND,170.1,170,2022-07-27
Darrel Williams,RB,KC,171.8,171,2022-07-27
Jamaal Williams,RB,DET,172.2,172,2022-07-27
Marlon Mack,RB,HOU,172.5,173,2022-07-27
Evan Engram,TE,JAX,173.9,174,2022-07-27
Sammy Watkins,WR,GB,174,175,2022-07-27
George Pickens,WR,PIT,175.6,176,2022-07-27
Zach Wilson,QB,NYJ,179,177,2022-07-27
Parris Campbell,WR,IND,179.2,178,2022-07-27
Julio Jones,WR,N/A,180.8,179,2022-07-27
Hayden Hurst,TE,CIN,181.1,180,2022-07-27
Austin Hooper,TE,TEN,181.5,181,2022-07-27
J.D. McKissic,RB,WAS,182,182,2022-07-27
Kendrick Bourne,WR,NE,183.1,183,2022-07-27
Raheem Mostert,RB,MIA,185.1,184,2022-07-27
Mark Ingram,RB,NO,185.8,185,2022-07-27
Ryan Tannehill,QB,TEN,187.8,186,2022-07-27
Curtis Samuel,WR,WAS,188,187,2022-07-27
KJ Hamler,WR,DEN,189.9,188,2022-07-27
Jared Goff,QB,DET,190.9,189,2022-07-27
Wan'Dale Robinson,WR,NYG,192.2,190,2022-07-27
Brian Robinson Jr.,RB,WAS,192.2,191,2022-07-27
Jerick McKinnon,RB,KC,193.5,192,2022-07-27
William Fuller,WR,N/A,196,193,2022-07-27
A.J. Green,WR,ARI,196.3,194,2022-07-27
Cameron Brate,TE,TB,196.5,195,2022-07-27
Baker Mayfield,QB,CAR,197.4,196,2022-07-27
Isaiah McKenzie,WR,BUF,197.5,197,2022-07-27
Devin Duvernay,WR,BAL,199.4,198,2022-07-27
Chris Evans,RB,CIN,200.3,199,2022-07-27
D'Onta Foreman,RB,CAR,200.4,200,2022-07-27
David Bell,WR,CLE,202.4,201,2022-07-27
Terrace Marshall,WR,CAR,202.9,202,2022-07-27
Carson Wentz,QB,WAS,203.2,203,2022-07-27
Logan Thomas,TE,WAS,203.2,204,2022-07-27
Taysom Hill,TE,NO,203.8,205,2022-07-27
Zamir White,RB,LV,203.9,206,2022-07-27
Davis Mills,QB,HOU,206.2,207,2022-07-27
Kyle Rudolph,TE,N/A,206.3,208,2022-07-27
Brevin Jordan,TE,HOU,206.5,209,2022-07-27
Mo Alie-Cox,TE,IND,207,210,2022-07-27
Odell Beckham,WR,N/A,207.6,211,2022-07-27
Sony Michel,RB,LA,208.6,212,2022-07-27
Zay Jones,WR,JAX,209.1,213,2022-07-27
D'Ernest Johnson,RB,CLE,210.6,214,2022-07-27
James Washington,WR,DAL,210.7,215,2022-07-27
Donovan Peoples-Jones,WR,CLE,210.7,216,2022-07-27
Jeff Wilson,RB,SF,210.8,217,2022-07-27
Jalen Guyton,WR,LAC,211.9,218,2022-07-27
Hassan Haskins,RB,TEN,212.7,219,2022-07-27
Bryan Edwards,WR,LV,212.9,220,2022-07-27
Marcus Mariota,QB,ATL,213.1,221,2022-07-27
Randall Cobb,WR,GB,213.1,222,2022-07-27
Kenyan Drake,RB,LV,213.3,223,2022-07-27
Cedrick Wilson,WR,MIA,213.8,224,2022-07-27
Greg Dulcich,TE,DEN,213.9,225,2022-07-27
Byron Pringle,WR,CHI,213.9,226,2022-07-27
John Metchie,WR,HOU,214,227,2022-07-27
Nick Westbrook-Ikhine,WR,TEN,214,228,2022-07-27
Chuba Hubbard,RB,CAR,214.3,229,2022-07-27
Romeo Doubs,WR,GB,214.4,230,2022-07-27
Laviska Shenault,WR,JAX,214.4,231,2022-07-27
Eno Benjamin,RB,ARI,214.5,232,2022-07-27
Mitchell Trubisky,QB,PIT,214.6,233,2022-07-27
Jonnu Smith,TE,NE,214.7,234,2022-07-27
C.J. Uzomah,TE,NYJ,214.7,235,2022-07-27
Sterling Shepard,WR,NYG,214.9,236,2022-07-27
Quez Watkins,WR,PHI,215,237,2022-07-27
Trey McBride,TE,ARI,215.1,238,2022-07-27
Tyler Badie,RB,BAL,215.2,239,2022-07-27
Kenny Pickett,QB,PIT,215.2,240,2022-07-27
Tyquan Thornton,WR,NE,215.2,241,2022-07-27
Mike Davis,RB,ATL,215.3,242,2022-07-27
Jauan Jennings,WR,SF,215.3,243,2022-07-27
Amari Rodgers,WR,GB,215.3,244,2022-07-27
Velus Jones,WR,CHI,215.4,245,2022-07-27
Dontrell Hilliard,RB,TEN,215.4,246,2022-07-27
Matt Breida,RB,NYG,215.4,247,2022-07-27
Jimmy Garoppolo,QB,SF,215.5,248,2022-07-27
Tyler Conklin,TE,NYJ,215.5,249,2022-07-27
Trey Sermon,RB,SF,215.5,250,2022-07-27
Braxton Berrios,WR,NYJ,215.5,251,2022-07-27
N'Keal Harry,WR,NE,215.5,252,2022-07-27
Pierre Strong,RB,NE,215.6,253,2022-07-27
Marquez Callaway,WR,NO,215.6,254,2022-07-27
Khalil Shakir,WR,BUF,215.6,255,2022-07-27
Rob Gronkowski,TE,TB,215.6,256,2022-07-27
Snoop Conner,RB,JAX,215.7,257,2022-07-27
Adam Trautman,TE,NO,215.7,258,2022-07-27
James Proche,WR,BAL,215.7,259,2022-07-27
Tyler Johnson,WR,TB,215.8,260,2022-07-27
Rex Burkhead,RB,HOU,215.8,261,2022-07-27
Desmond Ridder,QB,ATL,215.8,262,2022-07-27
Justyn Ross,WR,KC,215.8,263,2022-07-27
Samaje Perine,RB,CIN,215.8,264,2022-07-27
Tylan Wallace,WR,BAL,215.8,265,2022-07-27
Boston Scott,RB,PHI,215.8,266,2022-07-27
O.J. Howard,TE,BUF,215.8,267,2022-07-27
Cade Otton,TE,TB,215.8,268,2022-07-27
Keaontay Ingram,RB,ARI,215.8,269,2022-07-27
Isiah Pacheco,RB,KC,215.8,270,2022-07-27
Drew Lock,QB,SEA,215.8,271,2022-07-27
Malik Willis,QB,TEN,215.8,272,2022-07-27
Ricky Seals-Jones,TE,NYG,215.8,273,2022-07-27
Tommy Tremble,TE,CAR,215.8,274,2022-07-27
Nelson Agholor,WR,NE,215.9,275,2022-07-27
James White,RB,NE,215.9,276,2022-07-27
Anthony Schwartz,WR,CLE,215.9,277,2022-07-27
Abram Smith,RB,NO,215.9,278,2022-07-27
Jacoby Brissett,QB,CLE,215.9,279,2022-07-27
Benny Snell,RB,PIT,215.9,280,2022-07-27
Tutu Atwell,WR,LA,215.9,281,2022-07-27
Dan Arnold,TE,JAX,215.9,282,2022-07-27
Ke'Shawn Vaughn,RB,TB,215.9,283,2022-07-27
Donald Parham,TE,LAC,215.9,284,2022-07-27
Danny Gray,WR,SF,215.9,285,2022-07-27
Antonio Brown,WR,N/A,215.9,286,2022-07-27
Kyle Philips,WR,TEN,215.9,287,2022-07-27
Kyren Williams,RB,LA,215.9,288,2022-07-27
Chris Carson,RB,SEA,215.9,289,2022-07-27
Rashard Higgins,WR,CAR,215.9,290,2022-07-27
Josh Reynolds,WR,DET,215.9,291,2022-07-27
Ihmir Smith-Marsette,WR,MIN,215.9,292,2022-07-27
Jelani Woods,TE,IND,215.9,293,2022-07-27
Demarcus Robinson,WR,LV,215.9,294,2022-07-27
Daniel Bellinger,TE,NYG,215.9,295,2022-07-27
Kennedy Brooks,RB,PHI,215.9,296,2022-07-27
Jared Cook,TE,LAC,215.9,297,2022-07-27
Justin Jackson,RB,LAC,215.9,298,2022-07-27
Zack Moss,RB,BUF,215.9,299,2022-07-27
Jaelon Darden,WR,TB,215.9,300,2022-07-27
Kene Nwangwu,RB,MIN,215.9,301,2022-07-27
Breshad Perriman,WR,TB,216,302,2022-07-27
Harrison Bryant,TE,CLE,216,303,2022-07-27
Calvin Austin,WR,PIT,216,304,2022-07-27
T.J. Vasher,WR,DAL,216,305,2022-07-27
Jody Fortson,TE,KC,216,306,2022-07-27
Darius Slayton,WR,NYG,216,307,2022-07-27
Giovani Bernard,RB,TB,216,308,2022-07-27
Eric Ezukanma,WR,MIA,216,309,2022-07-27
Jalen Richard,RB,N/A,216,310,2022-07-27
Foster Moreau,TE,LV,216,311,2022-07-27
Isaiah Likely,TE,BAL,216,312,2022-07-27
John Bates,TE,WAS,216,313,2022-07-27
Cole Beasley,WR,N/A,216,314,2022-07-27
Tony Jones,RB,NO,216,315,2022-07-27
Antoine Wesley,WR,ARI,216,316,2022-07-27
Keelan Cole,WR,NYJ,216,317,2022-07-27
Zach Pascal,WR,PHI,216,318,2022-07-27
Geno Smith,QB,SEA,216,319,2022-07-27
Myles Gaskin,RB,MIA,216,320,2022-07-27
Joshua Kelley,RB,LAC,216,321,2022-07-27
Taylor Heinicke,QB,WAS,216,322,2022-07-27
Deonte Harris,WR,NO,216,323,2022-07-27
