player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-07-21
Christian McCaffrey,RB,CAR,2.3,2,2022-07-21
Cooper Kupp,WR,LA,3.2,3,2022-07-21
Justin Jefferson,WR,MIN,3.8,4,2022-07-21
Ja'Marr Chase,WR,CIN,5.4,5,2022-07-21
Austin Ekeler,RB,LAC,6.3,6,2022-07-21
Derrick Henry,RB,TEN,7.9,7,2022-07-21
Stefon Diggs,WR,BUF,8.3,8,2022-07-21
Dalvin Cook,RB,MIN,9,9,2022-07-21
Najee Harris,RB,PIT,10.3,10,2022-07-21
Davante Adams,WR,LV,11.2,11,2022-07-21
Travis Kelce,TE,KC,12.1,12,2022-07-21
CeeDee Lamb,WR,DAL,13.7,13,2022-07-21
Joe Mixon,RB,CIN,13.8,14,2022-07-21
D'Andre Swift,RB,DET,14.7,15,2022-07-21
Mike Evans,WR,TB,16.1,16,2022-07-21
Aaron Jones,RB,GB,17.2,17,2022-07-21
Saquon Barkley,RB,NYG,18,18,2022-07-21
Deebo Samuel,WR,SF,19.4,19,2022-07-21
Mark Andrews,TE,BAL,20.4,20,2022-07-21
Tyreek Hill,WR,MIA,21.5,21,2022-07-21
Javonte Williams,RB,DEN,23.2,22,2022-07-21
Tee Higgins,WR,CIN,23.8,23,2022-07-21
Leonard Fournette,RB,TB,23.8,24,2022-07-21
Nick Chubb,RB,CLE,25.1,25,2022-07-21
A.J. Brown,WR,PHI,26.8,26,2022-07-21
Keenan Allen,WR,LAC,27.5,27,2022-07-21
Mike Williams,WR,LAC,28.6,28,2022-07-21
Michael Pittman,WR,IND,28.7,29,2022-07-21
Josh Allen,QB,BUF,30.3,30,2022-07-21
DJ Moore,WR,CAR,31.7,31,2022-07-21
James Conner,RB,ARI,32.5,32,2022-07-21
Kyle Pitts,TE,ATL,33,33,2022-07-21
Alvin Kamara,RB,NO,33.9,34,2022-07-21
Travis Etienne,RB,JAX,34.7,35,2022-07-21
Marquise Brown,WR,ARI,36.4,36,2022-07-21
Courtland Sutton,WR,DEN,37.1,37,2022-07-21
Jaylen Waddle,WR,MIA,38.6,38,2022-07-21
