player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-07-20
Christian McCaffrey,RB,CAR,2.3,2,2022-07-20
Cooper Kupp,WR,LA,3.2,3,2022-07-20
Justin Jefferson,WR,MIN,3.8,4,2022-07-20
Ja'Marr Chase,WR,CIN,5.4,5,2022-07-20
Austin Ekeler,RB,LAC,6.2,6,2022-07-20
Derrick Henry,RB,TEN,8,7,2022-07-20
Stefon Diggs,WR,BUF,8.3,8,2022-07-20
Dalvin Cook,RB,MIN,9.1,9,2022-07-20
Najee Harris,RB,PIT,10.3,10,2022-07-20
Davante Adams,WR,LV,11.2,11,2022-07-20
Travis Kelce,TE,KC,12.2,12,2022-07-20
CeeDee Lamb,WR,DAL,13.6,13,2022-07-20
Joe Mixon,RB,CIN,13.8,14,2022-07-20
D'Andre Swift,RB,DET,14.8,15,2022-07-20
Mike Evans,WR,TB,16,16,2022-07-20
Aaron Jones,RB,GB,17.3,17,2022-07-20
Saquon Barkley,RB,NYG,18,18,2022-07-20
Deebo Samuel,WR,SF,19.5,19,2022-07-20
Mark Andrews,TE,BAL,20.5,20,2022-07-20
Tyreek Hill,WR,MIA,21.6,21,2022-07-20
Leonard Fournette,RB,TB,23,22,2022-07-20
Javonte Williams,RB,DEN,23.6,23,2022-07-20
Tee Higgins,WR,CIN,23.6,24,2022-07-20
Nick Chubb,RB,CLE,25.2,25,2022-07-20
A.J. Brown,WR,PHI,26.8,26,2022-07-20
Keenan Allen,WR,LAC,27.6,27,2022-07-20
Mike Williams,WR,LAC,28.7,28,2022-07-20
Michael Pittman,WR,IND,28.8,29,2022-07-20
Josh Allen,QB,BUF,30.2,30,2022-07-20
DJ Moore,WR,CAR,31.7,31,2022-07-20
James Conner,RB,ARI,32.5,32,2022-07-20
Kyle Pitts,TE,ATL,32.9,33,2022-07-20
Alvin Kamara,RB,NO,34.2,34,2022-07-20
Travis Etienne,RB,JAX,34.5,35,2022-07-20
Marquise Brown,WR,ARI,36.3,36,2022-07-20
Courtland Sutton,WR,DEN,37,37,2022-07-20
Jaylen Waddle,WR,MIA,38.5,38,2022-07-20
Terry McLaurin,WR,WAS,39.4,39,2022-07-20
Ezekiel Elliott,RB,DAL,40.3,40,2022-07-20
Breece Hall,RB,NYJ,42.5,41,2022-07-20
Diontae Johnson,WR,PIT,43.1,42,2022-07-20
Gabriel Davis,WR,BUF,44.1,43,2022-07-20
Darren Waller,TE,LV,44.6,44,2022-07-20
Justin Herbert,QB,LAC,44.8,45,2022-07-20
Cam Akers,RB,LA,45,46,2022-07-20
Jerry Jeudy,WR,DEN,47.8,47,2022-07-20
Allen Robinson,WR,LA,48.3,48,2022-07-20
Patrick Mahomes,QB,KC,50.3,49,2022-07-20
George Kittle,TE,SF,51.3,50,2022-07-20
Lamar Jackson,QB,BAL,51.4,51,2022-07-20
Brandin Cooks,WR,HOU,51.9,52,2022-07-20
D.K. Metcalf,WR,SEA,52,53,2022-07-20
David Montgomery,RB,CHI,52.4,54,2022-07-20
Rashod Bateman,WR,BAL,54.3,55,2022-07-20
JuJu Smith-Schuster,WR,KC,55.7,56,2022-07-20
Darnell Mooney,WR,CHI,57.7,57,2022-07-20
J.K. Dobbins,RB,BAL,58.6,58,2022-07-20
Kyler Murray,QB,ARI,59.9,59,2022-07-20
Amon-Ra St. Brown,WR,DET,60.8,60,2022-07-20
Josh Jacobs,RB,LV,61.7,61,2022-07-20
Jalen Hurts,QB,PHI,63.5,62,2022-07-20
Chris Godwin,WR,TB,63.7,63,2022-07-20
Elijah Mitchell,RB,SF,64.2,64,2022-07-20
AJ Dillon,RB,GB,66.6,65,2022-07-20
Amari Cooper,WR,CLE,66.7,66,2022-07-20
Dalton Schultz,TE,DAL,67,67,2022-07-20
Adam Thielen,WR,MIN,67.6,68,2022-07-20
Russell Gage,WR,TB,69,69,2022-07-20
Elijah Moore,WR,NYJ,69.5,70,2022-07-20
Joe Burrow,QB,CIN,71.1,71,2022-07-20
DeVonta Smith,WR,PHI,71.5,72,2022-07-20
Antonio Gibson,RB,WAS,73,73,2022-07-20
DeAndre Hopkins,WR,ARI,74.1,74,2022-07-20
Drake London,WR,ATL,75.9,75,2022-07-20
Russell Wilson,QB,DEN,76.8,76,2022-07-20
Miles Sanders,RB,PHI,77.7,77,2022-07-20
Hunter Renfrow,WR,LV,79.5,78,2022-07-20
Trey Lance,QB,SF,80.5,79,2022-07-20
Allen Lazard,WR,GB,80.6,80,2022-07-20
Michael Thomas,WR,NO,81.2,81,2022-07-20
Tony Pollard,RB,DAL,82.1,82,2022-07-20
Tom Brady,QB,TB,84.3,83,2022-07-20
Christian Kirk,WR,JAX,84.4,84,2022-07-20
Kadarius Toney,WR,NYG,85.2,85,2022-07-20
Clyde Edwards-Helaire,RB,KC,86,86,2022-07-20
Dak Prescott,QB,DAL,86.9,87,2022-07-20
T.J. Hockenson,TE,DET,87.4,88,2022-07-20
Brandon Aiyuk,WR,SF,89,89,2022-07-20
Damien Harris,RB,NE,90.3,90,2022-07-20
Marquez Valdes-Scantling,WR,KC,91,91,2022-07-20
Chris Olave,WR,NO,93.1,92,2022-07-20
Rashaad Penny,RB,SEA,93.7,93,2022-07-20
Kareem Hunt,RB,CLE,94.1,94,2022-07-20
Matthew Stafford,QB,LA,94.7,95,2022-07-20
Treylon Burks,WR,TEN,95.7,96,2022-07-20
Devin Singletary,RB,BUF,98.2,97,2022-07-20
Chase Edmonds,RB,MIA,98.3,98,2022-07-20
Dallas Goedert,TE,PHI,98.4,99,2022-07-20
Tyler Lockett,WR,SEA,99.7,100,2022-07-20
Skyy Moore,WR,KC,100.6,101,2022-07-20
Robert Woods,WR,TEN,102.5,102,2022-07-20
Dawson Knox,TE,BUF,103.7,103,2022-07-20
Chase Claypool,WR,PIT,104.8,104,2022-07-20
Derek Carr,QB,LV,106.2,105,2022-07-20
Kenneth Walker,RB,SEA,106.4,106,2022-07-20
Rhamondre Stevenson,RB,NE,107.1,107,2022-07-20
Aaron Rodgers,QB,GB,107.4,108,2022-07-20
Zach Ertz,TE,ARI,108.6,109,2022-07-20
Tyler Boyd,WR,CIN,109.3,110,2022-07-20
Cordarrelle Patterson,RB,ATL,109.3,111,2022-07-20
Melvin Gordon,RB,DEN,109.6,112,2022-07-20
James Cook,RB,BUF,110.9,113,2022-07-20
Garrett Wilson,WR,NYJ,111.8,114,2022-07-20
Kirk Cousins,QB,MIN,114.2,115,2022-07-20
Tim Patrick,WR,DEN,116.9,116,2022-07-20
Christian Watson,WR,GB,116.9,117,2022-07-20
Rondale Moore,WR,ARI,120.4,118,2022-07-20
Ronald Jones,RB,KC,120.8,119,2022-07-20
Kenny Golladay,WR,NYG,121.7,120,2022-07-20
Irv Smith,TE,MIN,122.4,121,2022-07-20
Rachaad White,RB,TB,123.4,122,2022-07-20
Alexander Mattison,RB,MIN,124.5,123,2022-07-20
Justin Fields,QB,CHI,124.7,124,2022-07-20
Michael Gallup,WR,DAL,125.8,125,2022-07-20
Mecole Hardman,WR,KC,126.6,126,2022-07-20
Pat Freiermuth,TE,PIT,128.1,127,2022-07-20
Dameon Pierce,RB,HOU,128.8,128,2022-07-20
Jakobi Meyers,WR,NE,129,129,2022-07-20
Cole Kmet,TE,CHI,130.2,130,2022-07-20
Tua Tagovailoa,QB,MIA,131.5,131,2022-07-20
Isaiah Spiller,RB,LAC,132,132,2022-07-20
