player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-06-27
Cooper Kupp,WR,LA,2.7,2,2022-06-27
Christian McCaffrey,RB,CAR,3,3,2022-06-27
Justin Jefferson,WR,MIN,4.1,4,2022-06-27
Ja'Marr Chase,WR,CIN,5.2,5,2022-06-27
Austin Ekeler,RB,LAC,6.5,6,2022-06-27
Derrick Henry,RB,TEN,7.3,7,2022-06-27
Stefon Diggs,WR,BUF,8.6,8,2022-06-27
Najee Harris,RB,PIT,9.3,9,2022-06-27
Dalvin Cook,RB,MIN,10.1,10,2022-06-27
Davante Adams,WR,LV,11.4,11,2022-06-27
Travis Kelce,TE,KC,11.9,12,2022-06-27
Joe Mixon,RB,CIN,13.5,13,2022-06-27
CeeDee Lamb,WR,DAL,13.6,14,2022-06-27
D'Andre Swift,RB,DET,15.6,15,2022-06-27
Mark Andrews,TE,BAL,17.3,16,2022-06-27
Mike Evans,WR,TB,17.4,17,2022-06-27
Aaron Jones,RB,GB,18.1,18,2022-06-27
Deebo Samuel,WR,SF,18.5,19,2022-06-27
Tyreek Hill,WR,MIA,21,20,2022-06-27
Saquon Barkley,RB,NYG,21.2,21,2022-06-27
Leonard Fournette,RB,TB,22.4,22,2022-06-27
Tee Higgins,WR,CIN,23.9,23,2022-06-27
Alvin Kamara,RB,NO,25.3,24,2022-06-27
A.J. Brown,WR,PHI,25.5,25,2022-06-27
Nick Chubb,RB,CLE,26.3,26,2022-06-27
Javonte Williams,RB,DEN,26.9,27,2022-06-27
Keenan Allen,WR,LAC,27.7,28,2022-06-27
Mike Williams,WR,LAC,28.7,29,2022-06-27
Josh Allen,QB,BUF,29.6,30,2022-06-27
Michael Pittman,WR,IND,30.8,31,2022-06-27
Kyle Pitts,TE,ATL,31.9,32,2022-06-27
James Conner,RB,ARI,33.3,33,2022-06-27
Marquise Brown,WR,ARI,35.5,34,2022-06-27
Jaylen Waddle,WR,MIA,36.2,35,2022-06-27
Courtland Sutton,WR,DEN,36.9,36,2022-06-27
DJ Moore,WR,CAR,37.7,37,2022-06-27
Ezekiel Elliott,RB,DAL,38.9,38,2022-06-27
Travis Etienne,RB,JAX,40.5,39,2022-06-27
Diontae Johnson,WR,PIT,41.1,40,2022-06-27
Darren Waller,TE,LV,42.7,41,2022-06-27
Jerry Jeudy,WR,DEN,43.6,42,2022-06-27
Justin Herbert,QB,LAC,44.2,43,2022-06-27
Patrick Mahomes,QB,KC,44.3,44,2022-06-27
Cam Akers,RB,LA,44.7,45,2022-06-27
Terry McLaurin,WR,WAS,44.9,46,2022-06-27
Allen Robinson,WR,LA,47.7,47,2022-06-27
Breece Hall,RB,NYJ,47.7,48,2022-06-27
D.K. Metcalf,WR,SEA,48.6,49,2022-06-27
Gabriel Davis,WR,BUF,49.9,50,2022-06-27
George Kittle,TE,SF,50.1,51,2022-06-27
David Montgomery,RB,CHI,51.7,52,2022-06-27
Lamar Jackson,QB,BAL,52.8,53,2022-06-27
Rashod Bateman,WR,BAL,54,54,2022-06-27
Brandin Cooks,WR,HOU,54.4,55,2022-06-27
J.K. Dobbins,RB,BAL,55.9,56,2022-06-27
JuJu Smith-Schuster,WR,KC,57.4,57,2022-06-27
Chris Godwin,WR,TB,58.2,58,2022-06-27
Darnell Mooney,WR,CHI,59.2,59,2022-06-27
Amari Cooper,WR,CLE,61.2,60,2022-06-27
Kyler Murray,QB,ARI,61.3,61,2022-06-27
Josh Jacobs,RB,LV,62.1,62,2022-06-27
Jalen Hurts,QB,PHI,63.4,63,2022-06-27
Amon-Ra St. Brown,WR,DET,65.7,64,2022-06-27
