player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-05-03
Christian McCaffrey,RB,CAR,2.9,2,2022-05-03
Cooper Kupp,WR,LA,3,3,2022-05-03
Derrick Henry,RB,TEN,5,4,2022-05-03
Ja'Marr Chase,WR,CIN,5.4,5,2022-05-03
Justin Jefferson,WR,MIN,6,6,2022-05-03
Austin Ekeler,RB,LAC,6.8,7,2022-05-03
Najee Harris,RB,PIT,8,8,2022-05-03
Davante Adams,WR,LV,10.5,9,2022-05-03
Dalvin Cook,RB,MIN,10.8,10,2022-05-03
Joe Mixon,RB,CIN,12.2,11,2022-05-03
Stefon Diggs,WR,BUF,13.5,12,2022-05-03
Travis Kelce,TE,KC,13.6,13,2022-05-03
Tyreek Hill,WR,MIA,13.9,14,2022-05-03
Deebo Samuel,WR,SF,16,15,2022-05-03
Alvin Kamara,RB,NO,18.2,16,2022-05-03
CeeDee Lamb,WR,DAL,18.5,17,2022-05-03
Josh Allen,QB,BUF,19,18,2022-05-03
D'Andre Swift,RB,DET,19,19,2022-05-03
Mark Andrews,TE,BAL,20,20,2022-05-03
A.J. Brown,WR,PHI,20.7,21,2022-05-03
Nick Chubb,RB,CLE,20.7,22,2022-05-03
Javonte Williams,RB,DEN,21.3,23,2022-05-03
Tee Higgins,WR,CIN,26.6,24,2022-05-03
Leonard Fournette,RB,TB,27,25,2022-05-03
Saquon Barkley,RB,NYG,27,26,2022-05-03
Jaylen Waddle,WR,MIA,29.8,27,2022-05-03
D.K. Metcalf,WR,SEA,30,28,2022-05-03
Kyle Pitts,TE,ATL,30.9,29,2022-05-03
Patrick Mahomes,QB,KC,31.2,30,2022-05-03
Mike Evans,WR,TB,31.2,31,2022-05-03
Keenan Allen,WR,LAC,31.7,32,2022-05-03
Aaron Jones,RB,GB,33.3,33,2022-05-03
Antonio Gibson,RB,WAS,36,34,2022-05-03
Cam Akers,RB,LA,37,35,2022-05-03
Diontae Johnson,WR,PIT,38.6,36,2022-05-03
Darren Waller,TE,LV,38.7,37,2022-05-03
George Kittle,TE,SF,40.1,38,2022-05-03
Justin Herbert,QB,LAC,40.3,39,2022-05-03
DJ Moore,WR,CAR,41.7,40,2022-05-03
Lamar Jackson,QB,BAL,41.8,41,2022-05-03
Terry McLaurin,WR,WAS,43.4,42,2022-05-03
DeAndre Hopkins,WR,ARI,43.5,43,2022-05-03
David Montgomery,RB,CHI,44.4,44,2022-05-03
Amari Cooper,WR,CLE,46,45,2022-05-03
J.K. Dobbins,RB,BAL,46.8,46,2022-05-03
Ezekiel Elliott,RB,DAL,47,47,2022-05-03
Chris Godwin,WR,TB,50.1,48,2022-05-03
Joe Burrow,QB,CIN,51.5,49,2022-05-03
James Conner,RB,ARI,51.6,50,2022-05-03
Kyler Murray,QB,ARI,51.7,51,2022-05-03
Michael Pittman,WR,IND,52.9,52,2022-05-03
Breece Hall,RB,NYJ,54.9,53,2022-05-03
Mike Williams,WR,LAC,55,54,2022-05-03
Marquise Brown,WR,ARI,55.6,55,2022-05-03
Elijah Moore,WR,NYJ,55.8,56,2022-05-03
Travis Etienne,RB,JAX,57.4,57,2022-05-03
Elijah Mitchell,RB,SF,58.6,58,2022-05-03
Michael Thomas,WR,NO,59.2,59,2022-05-03
Josh Jacobs,RB,LV,59.3,60,2022-05-03
Amon-Ra St. Brown,WR,DET,60.7,61,2022-05-03
Tyler Lockett,WR,SEA,61.2,62,2022-05-03
DeVonta Smith,WR,PHI,63.3,63,2022-05-03
Jerry Jeudy,WR,DEN,63.5,64,2022-05-03
Russell Wilson,QB,DEN,65.5,65,2022-05-03
Gabriel Davis,WR,BUF,66.6,66,2022-05-03
Darnell Mooney,WR,CHI,67.8,67,2022-05-03
Dak Prescott,QB,DAL,70.4,68,2022-05-03
Brandin Cooks,WR,HOU,71.5,69,2022-05-03
Jalen Hurts,QB,PHI,72.2,70,2022-05-03
T.J. Hockenson,TE,DET,72.9,71,2022-05-03
Hunter Renfrow,WR,LV,73.3,72,2022-05-03
Tom Brady,QB,TB,74.1,73,2022-05-03
Brandon Aiyuk,WR,SF,78.1,74,2022-05-03
Allen Robinson,WR,LA,78.7,75,2022-05-03
Adam Thielen,WR,MIN,78.8,76,2022-05-03
Rashod Bateman,WR,BAL,79.1,77,2022-05-03
Courtland Sutton,WR,DEN,79.7,78,2022-05-03
Dallas Goedert,TE,PHI,80.6,79,2022-05-03
Trey Lance,QB,SF,81.3,80,2022-05-03
JuJu Smith-Schuster,WR,KC,81.8,81,2022-05-03
Drake London,WR,ATL,82.8,82,2022-05-03
AJ Dillon,RB,GB,84.1,83,2022-05-03
Aaron Rodgers,QB,GB,84.9,84,2022-05-03
Damien Harris,RB,NE,85.1,85,2022-05-03
Matthew Stafford,QB,LA,86.1,86,2022-05-03
Treylon Burks,WR,TEN,87.8,87,2022-05-03
Devin Singletary,RB,BUF,89,88,2022-05-03
Robert Woods,WR,TEN,91,89,2022-05-03
Michael Carter,RB,NYJ,91,90,2022-05-03
