player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-06-30
Cooper Kupp,WR,LA,2.6,2,2022-06-30
Christian McCaffrey,RB,CAR,3,3,2022-06-30
Justin Jefferson,WR,MIN,4.1,4,2022-06-30
Ja'Marr Chase,WR,CIN,5.1,5,2022-06-30
Austin Ekeler,RB,LAC,6.3,6,2022-06-30
Derrick Henry,RB,TEN,7.5,7,2022-06-30
Stefon Diggs,WR,BUF,8.6,8,2022-06-30
Najee Harris,RB,PIT,9.2,9,2022-06-30
Dalvin Cook,RB,MIN,10,10,2022-06-30
Davante Adams,WR,LV,11.3,11,2022-06-30
Travis Kelce,TE,KC,12.1,12,2022-06-30
Joe Mixon,RB,CIN,13.4,13,2022-06-30
CeeDee Lamb,WR,DAL,13.9,14,2022-06-30
D'Andre Swift,RB,DET,15.4,15,2022-06-30
Mike Evans,WR,TB,16.6,16,2022-06-30
Mark Andrews,TE,BAL,17.8,17,2022-06-30
Aaron Jones,RB,GB,18,18,2022-06-30
Deebo Samuel,WR,SF,18.6,19,2022-06-30
Saquon Barkley,RB,NYG,20.4,20,2022-06-30
Tyreek Hill,WR,MIA,21.2,21,2022-06-30
Leonard Fournette,RB,TB,22.1,22,2022-06-30
Tee Higgins,WR,CIN,23.5,23,2022-06-30
A.J. Brown,WR,PHI,25.4,24,2022-06-30
Nick Chubb,RB,CLE,26.2,25,2022-06-30
Alvin Kamara,RB,NO,26.6,26,2022-06-30
Javonte Williams,RB,DEN,27,27,2022-06-30
Keenan Allen,WR,LAC,27.8,28,2022-06-30
Mike Williams,WR,LAC,28.6,29,2022-06-30
Josh Allen,QB,BUF,30,30,2022-06-30
Michael Pittman,WR,IND,30.6,31,2022-06-30
Kyle Pitts,TE,ATL,31.9,32,2022-06-30
James Conner,RB,ARI,32.8,33,2022-06-30
Marquise Brown,WR,ARI,35.7,34,2022-06-30
Jaylen Waddle,WR,MIA,35.9,35,2022-06-30
Courtland Sutton,WR,DEN,36.5,36,2022-06-30
DJ Moore,WR,CAR,37.9,37,2022-06-30
Ezekiel Elliott,RB,DAL,38.6,38,2022-06-30
Travis Etienne,RB,JAX,38.7,39,2022-06-30
Diontae Johnson,WR,PIT,40.9,40,2022-06-30
Darren Waller,TE,LV,42.6,41,2022-06-30
Terry McLaurin,WR,WAS,43.6,42,2022-06-30
Justin Herbert,QB,LAC,44.1,43,2022-06-30
Jerry Jeudy,WR,DEN,44.5,44,2022-06-30
Cam Akers,RB,LA,44.8,45,2022-06-30
Patrick Mahomes,QB,KC,45.7,46,2022-06-30
Breece Hall,RB,NYJ,47.6,47,2022-06-30
Allen Robinson,WR,LA,47.7,48,2022-06-30
D.K. Metcalf,WR,SEA,49,49,2022-06-30
George Kittle,TE,SF,49.7,50,2022-06-30
Gabriel Davis,WR,BUF,50.2,51,2022-06-30
David Montgomery,RB,CHI,51.1,52,2022-06-30
Lamar Jackson,QB,BAL,52.6,53,2022-06-30
Rashod Bateman,WR,BAL,53.6,54,2022-06-30
Brandin Cooks,WR,HOU,54.2,55,2022-06-30
J.K. Dobbins,RB,BAL,55.7,56,2022-06-30
JuJu Smith-Schuster,WR,KC,57.3,57,2022-06-30
Darnell Mooney,WR,CHI,58.5,58,2022-06-30
Chris Godwin,WR,TB,59.9,59,2022-06-30
Kyler Murray,QB,ARI,61.5,60,2022-06-30
Josh Jacobs,RB,LV,62.6,61,2022-06-30
Amari Cooper,WR,CLE,63,62,2022-06-30
