player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.5,1,2022-08-21
Christian McCaffrey,RB,CAR,1.9,2,2022-08-21
Justin Jefferson,WR,MIN,3.3,3,2022-08-21
Cooper Kupp,WR,LA,4,4,2022-08-21
Ja'Marr Chase,WR,CIN,5.4,5,2022-08-21
Austin Ekeler,RB,LAC,6.1,6,2022-08-21
Derrick Henry,RB,TEN,8,7,2022-08-21
Stefon Diggs,WR,BUF,8,8,2022-08-21
Dalvin Cook,RB,MIN,8.8,9,2022-08-21
Davante Adams,WR,LV,10.9,10,2022-08-21
Najee Harris,RB,PIT,11.2,11,2022-08-21
Travis Kelce,TE,KC,12.7,12,2022-08-21
Joe Mixon,RB,CIN,13.5,13,2022-08-21
CeeDee Lamb,WR,DAL,14.2,14,2022-08-21
Saquon Barkley,RB,NYG,14.9,15,2022-08-21
D'Andre Swift,RB,DET,15.8,16,2022-08-21
Deebo Samuel,WR,SF,17.7,17,2022-08-21
Aaron Jones,RB,GB,17.9,18,2022-08-21
Alvin Kamara,RB,NO,18.9,19,2022-08-21
Javonte Williams,RB,DEN,20.5,20,2022-08-21
Mark Andrews,TE,BAL,21.9,21,2022-08-21
Mike Evans,WR,TB,22.1,22,2022-08-21
Tyreek Hill,WR,MIA,23.1,23,2022-08-21
Leonard Fournette,RB,TB,24.7,24,2022-08-21
Nick Chubb,RB,CLE,25.4,25,2022-08-21
A.J. Brown,WR,PHI,26.5,26,2022-08-21
Tee Higgins,WR,CIN,26.5,27,2022-08-21
Michael Pittman,WR,IND,27.5,28,2022-08-21
Keenan Allen,WR,LAC,30,29,2022-08-21
Mike Williams,WR,LAC,30.6,30,2022-08-21
Kyle Pitts,TE,ATL,31.3,31,2022-08-21
Josh Allen,QB,BUF,31.8,32,2022-08-21
DJ Moore,WR,CAR,33.1,33,2022-08-21
Courtland Sutton,WR,DEN,33.5,34,2022-08-21
James Conner,RB,ARI,34.8,35,2022-08-21
Travis Etienne,RB,JAX,36,36,2022-08-21
Jaylen Waddle,WR,MIA,38.2,37,2022-08-21
Ezekiel Elliott,RB,DAL,38.8,38,2022-08-21
Allen Robinson,WR,LA,39.8,39,2022-08-21
Terry McLaurin,WR,WAS,41.3,40,2022-08-21
Marquise Brown,WR,ARI,42,41,2022-08-21
Breece Hall,RB,NYJ,42.3,42,2022-08-21
Gabriel Davis,WR,BUF,43.2,43,2022-08-21
Jerry Jeudy,WR,DEN,44,44,2022-08-21
Justin Herbert,QB,LAC,45.3,45,2022-08-21
Cam Akers,RB,LA,48.5,46,2022-08-21
Lamar Jackson,QB,BAL,48.6,47,2022-08-21
Diontae Johnson,WR,PIT,49.2,48,2022-08-21
JuJu Smith-Schuster,WR,KC,49.4,49,2022-08-21
Darren Waller,TE,LV,51,50,2022-08-21
Brandin Cooks,WR,HOU,51.9,51,2022-08-21
Patrick Mahomes,QB,KC,52.2,52,2022-08-21
George Kittle,TE,SF,53.6,53,2022-08-21
Rashod Bateman,WR,BAL,54.6,54,2022-08-21
Michael Thomas,WR,NO,55.5,55,2022-08-21
D.K. Metcalf,WR,SEA,55.9,56,2022-08-21
Chris Godwin,WR,TB,56,57,2022-08-21
J.K. Dobbins,RB,BAL,56.2,58,2022-08-21
Amon-Ra St. Brown,WR,DET,57.5,59,2022-08-21
Darnell Mooney,WR,CHI,61.1,60,2022-08-21
David Montgomery,RB,CHI,61.4,61,2022-08-21
Kyler Murray,QB,ARI,62.2,62,2022-08-21
Jalen Hurts,QB,PHI,62.2,63,2022-08-21
AJ Dillon,RB,GB,62.3,64,2022-08-21
Elijah Mitchell,RB,SF,65.6,65,2022-08-21
Elijah Moore,WR,NYJ,66.1,66,2022-08-21
Adam Thielen,WR,MIN,67.9,67,2022-08-21
Trey Lance,QB,SF,70.2,68,2022-08-21
Dalton Schultz,TE,DAL,70.8,69,2022-08-21
Brandon Aiyuk,WR,SF,71,70,2022-08-21
Allen Lazard,WR,GB,72.2,71,2022-08-21
Amari Cooper,WR,CLE,72.9,72,2022-08-21
Drake London,WR,ATL,73.2,73,2022-08-21
Josh Jacobs,RB,LV,73.9,74,2022-08-21
Joe Burrow,QB,CIN,75.4,75,2022-08-21
DeAndre Hopkins,WR,ARI,76.3,76,2022-08-21
DeVonta Smith,WR,PHI,77,77,2022-08-21
Russell Wilson,QB,DEN,78.8,78,2022-08-21
Tony Pollard,RB,DAL,79.3,79,2022-08-21
Kadarius Toney,WR,NYG,79.9,80,2022-08-21
Clyde Edwards-Helaire,RB,KC,82.2,81,2022-08-21
Christian Kirk,WR,JAX,82.3,82,2022-08-21
Hunter Renfrow,WR,LV,84.3,83,2022-08-21
Rhamondre Stevenson,RB,NE,86.1,84,2022-08-21
Chase Edmonds,RB,MIA,86.4,85,2022-08-21
Miles Sanders,RB,PHI,87.6,86,2022-08-21
Chris Olave,WR,NO,87.7,87,2022-08-21
Tom Brady,QB,TB,88,88,2022-08-21
Skyy Moore,WR,KC,89.8,89,2022-08-21
Antonio Gibson,RB,WAS,90.7,90,2022-08-21
Dak Prescott,QB,DAL,90.8,91,2022-08-21
T.J. Hockenson,TE,DET,91.2,92,2022-08-21
Dallas Goedert,TE,PHI,92.4,93,2022-08-21
Rashaad Penny,RB,SEA,93.8,94,2022-08-21
Kareem Hunt,RB,CLE,94.8,95,2022-08-21
Treylon Burks,WR,TEN,96,96,2022-08-21
Marquez Valdes-Scantling,WR,KC,96.7,97,2022-08-21
Robert Woods,WR,TEN,98.5,98,2022-08-21
Damien Harris,RB,NE,99.3,99,2022-08-21
Dameon Pierce,RB,HOU,100.6,100,2022-08-21
Tyler Lockett,WR,SEA,101.2,101,2022-08-21
James Cook,RB,BUF,101.9,102,2022-08-21
Dawson Knox,TE,BUF,103.8,103,2022-08-21
Matthew Stafford,QB,LA,105.3,104,2022-08-21
