player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.5,1,2022-08-17
Christian McCaffrey,RB,CAR,1.8,2,2022-08-17
Justin Jefferson,WR,MIN,3.3,3,2022-08-17
Cooper Kupp,WR,LA,3.9,4,2022-08-17
Ja'Marr Chase,WR,CIN,5.4,5,2022-08-17
Austin Ekeler,RB,LAC,6.1,6,2022-08-17
Stefon Diggs,WR,BUF,7.9,7,2022-08-17
Derrick Henry,RB,TEN,8.3,8,2022-08-17
Dalvin Cook,RB,MIN,8.8,9,2022-08-17
Davante Adams,WR,LV,10.8,10,2022-08-17
Najee Harris,RB,PIT,11.3,11,2022-08-17
Travis Kelce,TE,KC,12.5,12,2022-08-17
CeeDee Lamb,WR,DAL,13.4,13,2022-08-17
Joe Mixon,RB,CIN,14,14,2022-08-17
Saquon Barkley,RB,NYG,15,15,2022-08-17
D'Andre Swift,RB,DET,16,16,2022-08-17
Deebo Samuel,WR,SF,17.6,17,2022-08-17
Aaron Jones,RB,GB,17.8,18,2022-08-17
Alvin Kamara,RB,NO,19.8,19,2022-08-17
Mike Evans,WR,TB,20.8,20,2022-08-17
Javonte Williams,RB,DEN,21.3,21,2022-08-17
Mark Andrews,TE,BAL,22.1,22,2022-08-17
Tyreek Hill,WR,MIA,22.8,23,2022-08-17
Leonard Fournette,RB,TB,24.4,24,2022-08-17
Nick Chubb,RB,CLE,25.5,25,2022-08-17
Tee Higgins,WR,CIN,26.1,26,2022-08-17
A.J. Brown,WR,PHI,26.4,27,2022-08-17
Michael Pittman,WR,IND,28.1,28,2022-08-17
Keenan Allen,WR,LAC,29.7,29,2022-08-17
Mike Williams,WR,LAC,30.7,30,2022-08-17
Josh Allen,QB,BUF,31.8,31,2022-08-17
Kyle Pitts,TE,ATL,31.9,32,2022-08-17
DJ Moore,WR,CAR,32.9,33,2022-08-17
Courtland Sutton,WR,DEN,33.8,34,2022-08-17
James Conner,RB,ARI,34.8,35,2022-08-17
Travis Etienne,RB,JAX,35.6,36,2022-08-17
Jaylen Waddle,WR,MIA,37.9,37,2022-08-17
Ezekiel Elliott,RB,DAL,38.9,38,2022-08-17
Allen Robinson,WR,LA,40,39,2022-08-17
Terry McLaurin,WR,WAS,40.9,40,2022-08-17
Marquise Brown,WR,ARI,41.7,41,2022-08-17
Breece Hall,RB,NYJ,42.9,42,2022-08-17
Jerry Jeudy,WR,DEN,43.7,43,2022-08-17
Gabriel Davis,WR,BUF,44.3,44,2022-08-17
Justin Herbert,QB,LAC,45.3,45,2022-08-17
Cam Akers,RB,LA,47.8,46,2022-08-17
Diontae Johnson,WR,PIT,48.2,47,2022-08-17
Lamar Jackson,QB,BAL,48.6,48,2022-08-17
JuJu Smith-Schuster,WR,KC,48.9,49,2022-08-17
Darren Waller,TE,LV,51.2,50,2022-08-17
Brandin Cooks,WR,HOU,51.6,51,2022-08-17
Patrick Mahomes,QB,KC,52.1,52,2022-08-17
George Kittle,TE,SF,53.7,53,2022-08-17
Rashod Bateman,WR,BAL,54.1,54,2022-08-17
D.K. Metcalf,WR,SEA,55.2,55,2022-08-17
J.K. Dobbins,RB,BAL,55.6,56,2022-08-17
Chris Godwin,WR,TB,55.9,57,2022-08-17
Michael Thomas,WR,NO,56.2,58,2022-08-17
Amon-Ra St. Brown,WR,DET,59.4,59,2022-08-17
Darnell Mooney,WR,CHI,59.7,60,2022-08-17
David Montgomery,RB,CHI,60.8,61,2022-08-17
Kyler Murray,QB,ARI,62,62,2022-08-17
Jalen Hurts,QB,PHI,62.9,63,2022-08-17
Elijah Mitchell,RB,SF,64.7,64,2022-08-17
AJ Dillon,RB,GB,65.2,65,2022-08-17
Elijah Moore,WR,NYJ,66.2,66,2022-08-17
Adam Thielen,WR,MIN,68,67,2022-08-17
Amari Cooper,WR,CLE,69.6,68,2022-08-17
Trey Lance,QB,SF,70.9,69,2022-08-17
Dalton Schultz,TE,DAL,71.3,70,2022-08-17
Josh Jacobs,RB,LV,71.5,71,2022-08-17
Drake London,WR,ATL,72.5,72,2022-08-17
Brandon Aiyuk,WR,SF,72.5,73,2022-08-17
Allen Lazard,WR,GB,74.4,74,2022-08-17
DeAndre Hopkins,WR,ARI,75,75,2022-08-17
Joe Burrow,QB,CIN,75.6,76,2022-08-17
DeVonta Smith,WR,PHI,76.7,77,2022-08-17
Kadarius Toney,WR,NYG,78.7,78,2022-08-17
Russell Wilson,QB,DEN,78.8,79,2022-08-17
Tony Pollard,RB,DAL,80,80,2022-08-17
Christian Kirk,WR,JAX,82.2,81,2022-08-17
