player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.3,1,2022-07-29
Christian McCaffrey,RB,CAR,2.2,2,2022-07-29
Cooper Kupp,WR,LA,3.3,3,2022-07-29
Justin Jefferson,WR,MIN,3.7,4,2022-07-29
Ja'Marr Chase,WR,CIN,5.3,5,2022-07-29
Austin Ekeler,RB,LAC,6.3,6,2022-07-29
Derrick Henry,RB,TEN,8,7,2022-07-29
Stefon Diggs,WR,BUF,8.2,8,2022-07-29
Dalvin Cook,RB,MIN,8.8,9,2022-07-29
Najee Harris,RB,PIT,10.3,10,2022-07-29
Davante Adams,WR,LV,11.2,11,2022-07-29
Travis Kelce,TE,KC,12.1,12,2022-07-29
Joe Mixon,RB,CIN,13.5,13,2022-07-29
CeeDee Lamb,WR,DAL,13.9,14,2022-07-29
D'Andre Swift,RB,DET,15,15,2022-07-29
Mike Evans,WR,TB,16.9,16,2022-07-29
Aaron Jones,RB,GB,17,17,2022-07-29
Saquon Barkley,RB,NYG,17.5,18,2022-07-29
Deebo Samuel,WR,SF,19.3,19,2022-07-29
Mark Andrews,TE,BAL,20.6,20,2022-07-29
Tyreek Hill,WR,MIA,21.7,21,2022-07-29
Javonte Williams,RB,DEN,22.5,22,2022-07-29
Leonard Fournette,RB,TB,23,23,2022-07-29
Tee Higgins,WR,CIN,23.8,24,2022-07-29
Nick Chubb,RB,CLE,25.1,25,2022-07-29
A.J. Brown,WR,PHI,27.1,26,2022-07-29
Keenan Allen,WR,LAC,27.8,27,2022-07-29
Michael Pittman,WR,IND,28.4,28,2022-07-29
Mike Williams,WR,LAC,29.2,29,2022-07-29
Josh Allen,QB,BUF,30.5,30,2022-07-29
DJ Moore,WR,CAR,31.4,31,2022-07-29
Alvin Kamara,RB,NO,32.2,32,2022-07-29
Kyle Pitts,TE,ATL,32.5,33,2022-07-29
James Conner,RB,ARI,33.2,34,2022-07-29
Travis Etienne,RB,JAX,35.6,35,2022-07-29
Courtland Sutton,WR,DEN,36.6,36,2022-07-29
Marquise Brown,WR,ARI,37.8,37,2022-07-29
Jaylen Waddle,WR,MIA,38.5,38,2022-07-29
Terry McLaurin,WR,WAS,39.2,39,2022-07-29
Ezekiel Elliott,RB,DAL,40,40,2022-07-29
Breece Hall,RB,NYJ,42.1,41,2022-07-29
Cam Akers,RB,LA,43.2,42,2022-07-29
Gabriel Davis,WR,BUF,44.1,43,2022-07-29
Diontae Johnson,WR,PIT,44.4,44,2022-07-29
Justin Herbert,QB,LAC,44.8,45,2022-07-29
Darren Waller,TE,LV,45.9,46,2022-07-29
Allen Robinson,WR,LA,46.8,47,2022-07-29
Jerry Jeudy,WR,DEN,48.6,48,2022-07-29
Lamar Jackson,QB,BAL,50.2,49,2022-07-29
Brandin Cooks,WR,HOU,51,50,2022-07-29
Patrick Mahomes,QB,KC,51.3,51,2022-07-29
George Kittle,TE,SF,51.9,52,2022-07-29
David Montgomery,RB,CHI,52.6,53,2022-07-29
D.K. Metcalf,WR,SEA,53.3,54,2022-07-29
Rashod Bateman,WR,BAL,54.4,55,2022-07-29
JuJu Smith-Schuster,WR,KC,55,56,2022-07-29
Darnell Mooney,WR,CHI,57.6,57,2022-07-29
Kyler Murray,QB,ARI,59.3,58,2022-07-29
Chris Godwin,WR,TB,59.9,59,2022-07-29
Amon-Ra St. Brown,WR,DET,60.2,60,2022-07-29
J.K. Dobbins,RB,BAL,60.6,61,2022-07-29
Josh Jacobs,RB,LV,62.6,62,2022-07-29
Jalen Hurts,QB,PHI,63.7,63,2022-07-29
Elijah Mitchell,RB,SF,64.8,64,2022-07-29
AJ Dillon,RB,GB,65.5,65,2022-07-29
Amari Cooper,WR,CLE,66.5,66,2022-07-29
Adam Thielen,WR,MIN,66.9,67,2022-07-29
Elijah Moore,WR,NYJ,68.4,68,2022-07-29
Dalton Schultz,TE,DAL,69.5,69,2022-07-29
DeVonta Smith,WR,PHI,71.5,70,2022-07-29
Joe Burrow,QB,CIN,72.1,71,2022-07-29
Antonio Gibson,RB,WAS,73.1,72,2022-07-29
DeAndre Hopkins,WR,ARI,73.5,73,2022-07-29
Drake London,WR,ATL,75.2,74,2022-07-29
Michael Thomas,WR,NO,77.7,75,2022-07-29
Trey Lance,QB,SF,77.7,76,2022-07-29
Miles Sanders,RB,PHI,77.8,77,2022-07-29
Russell Wilson,QB,DEN,77.8,78,2022-07-29
Allen Lazard,WR,GB,78.4,79,2022-07-29
Russell Gage,WR,TB,80.1,80,2022-07-29
Hunter Renfrow,WR,LV,80.9,81,2022-07-29
Tony Pollard,RB,DAL,81.6,82,2022-07-29
Christian Kirk,WR,JAX,82.3,83,2022-07-29
Kadarius Toney,WR,NYG,82.6,84,2022-07-29
Tom Brady,QB,TB,84.9,85,2022-07-29
Clyde Edwards-Helaire,RB,KC,87.4,86,2022-07-29
Dak Prescott,QB,DAL,88.2,87,2022-07-29
T.J. Hockenson,TE,DET,88.5,88,2022-07-29
Brandon Aiyuk,WR,SF,88.6,89,2022-07-29
Rashaad Penny,RB,SEA,90.8,90,2022-07-29
Damien Harris,RB,NE,91.2,91,2022-07-29
Marquez Valdes-Scantling,WR,KC,91.7,92,2022-07-29
Chris Olave,WR,NO,92.6,93,2022-07-29
Kareem Hunt,RB,CLE,94.5,94,2022-07-29
Chase Edmonds,RB,MIA,94.6,95,2022-07-29
Treylon Burks,WR,TEN,94.7,96,2022-07-29
Matthew Stafford,QB,LA,97.6,97,2022-07-29
Dallas Goedert,TE,PHI,98,98,2022-07-29
Devin Singletary,RB,BUF,99.1,99,2022-07-29
Skyy Moore,WR,KC,99.8,100,2022-07-29
Tyler Lockett,WR,SEA,100.7,101,2022-07-29
Rhamondre Stevenson,RB,NE,100.8,102,2022-07-29
Robert Woods,WR,TEN,103.4,103,2022-07-29
Chase Claypool,WR,PIT,104.6,104,2022-07-29
Dawson Knox,TE,BUF,104.6,105,2022-07-29
Derek Carr,QB,LV,107.4,106,2022-07-29
James Cook,RB,BUF,107.5,107,2022-07-29
Kenneth Walker,RB,SEA,107.6,108,2022-07-29
Zach Ertz,TE,ARI,108.6,109,2022-07-29
Tyler Boyd,WR,CIN,109.8,110,2022-07-29
Melvin Gordon,RB,DEN,109.9,111,2022-07-29
Aaron Rodgers,QB,GB,110.7,112,2022-07-29
Cordarrelle Patterson,RB,ATL,111.3,113,2022-07-29
Garrett Wilson,WR,NYJ,112.5,114,2022-07-29
