player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-07-07
Cooper Kupp,WR,LA,2.7,2,2022-07-07
Christian McCaffrey,RB,CAR,2.9,3,2022-07-07
Justin Jefferson,WR,MIN,3.9,4,2022-07-07
Ja'Marr Chase,WR,CIN,5.3,5,2022-07-07
Austin Ekeler,RB,LAC,6.2,6,2022-07-07
Derrick Henry,RB,TEN,7.5,7,2022-07-07
Stefon Diggs,WR,BUF,8.4,8,2022-07-07
Najee Harris,RB,PIT,9.5,9,2022-07-07
Dalvin Cook,RB,MIN,9.8,10,2022-07-07
Davante Adams,WR,LV,11.4,11,2022-07-07
Travis Kelce,TE,KC,12.1,12,2022-07-07
Joe Mixon,RB,CIN,13.2,13,2022-07-07
CeeDee Lamb,WR,DAL,14.1,14,2022-07-07
D'Andre Swift,RB,DET,15.3,15,2022-07-07
Mike Evans,WR,TB,16.4,16,2022-07-07
Aaron Jones,RB,GB,17,17,2022-07-07
Mark Andrews,TE,BAL,18.8,18,2022-07-07
Saquon Barkley,RB,NYG,19.1,19,2022-07-07
Deebo Samuel,WR,SF,19.4,20,2022-07-07
Leonard Fournette,RB,TB,21.7,21,2022-07-07
Tyreek Hill,WR,MIA,21.8,22,2022-07-07
Tee Higgins,WR,CIN,24,23,2022-07-07
Nick Chubb,RB,CLE,24.9,24,2022-07-07
Javonte Williams,RB,DEN,25.5,25,2022-07-07
A.J. Brown,WR,PHI,26.3,26,2022-07-07
Keenan Allen,WR,LAC,27.6,27,2022-07-07
Mike Williams,WR,LAC,28.3,28,2022-07-07
Josh Allen,QB,BUF,29.5,29,2022-07-07
Michael Pittman,WR,IND,30.2,30,2022-07-07
Alvin Kamara,RB,NO,31.1,31,2022-07-07
James Conner,RB,ARI,32,32,2022-07-07
Kyle Pitts,TE,ATL,32.6,33,2022-07-07
Marquise Brown,WR,ARI,35.4,34,2022-07-07
Courtland Sutton,WR,DEN,35.8,35,2022-07-07
Travis Etienne,RB,JAX,36.5,36,2022-07-07
DJ Moore,WR,CAR,37,37,2022-07-07
Jaylen Waddle,WR,MIA,37.6,38,2022-07-07
Ezekiel Elliott,RB,DAL,39,39,2022-07-07
Diontae Johnson,WR,PIT,41.4,40,2022-07-07
Terry McLaurin,WR,WAS,41.6,41,2022-07-07
Darren Waller,TE,LV,43.3,42,2022-07-07
Cam Akers,RB,LA,43.5,43,2022-07-07
Justin Herbert,QB,LAC,44.6,44,2022-07-07
Breece Hall,RB,NYJ,44.8,45,2022-07-07
Jerry Jeudy,WR,DEN,47.1,46,2022-07-07
Gabriel Davis,WR,BUF,47.2,47,2022-07-07
Allen Robinson,WR,LA,47.7,48,2022-07-07
D.K. Metcalf,WR,SEA,49.9,49,2022-07-07
Patrick Mahomes,QB,KC,50,50,2022-07-07
David Montgomery,RB,CHI,50.5,51,2022-07-07
George Kittle,TE,SF,50.7,52,2022-07-07
Brandin Cooks,WR,HOU,52.1,53,2022-07-07
Lamar Jackson,QB,BAL,53.3,54,2022-07-07
Rashod Bateman,WR,BAL,54,55,2022-07-07
J.K. Dobbins,RB,BAL,56.2,56,2022-07-07
JuJu Smith-Schuster,WR,KC,57.4,57,2022-07-07
Darnell Mooney,WR,CHI,57.9,58,2022-07-07
Josh Jacobs,RB,LV,60,59,2022-07-07
Kyler Murray,QB,ARI,61,60,2022-07-07
Chris Godwin,WR,TB,62.9,61,2022-07-07
Jalen Hurts,QB,PHI,63,62,2022-07-07
Amon-Ra St. Brown,WR,DET,63.7,63,2022-07-07
Elijah Mitchell,RB,SF,65.5,64,2022-07-07
Amari Cooper,WR,CLE,66,65,2022-07-07
Dalton Schultz,TE,DAL,66.4,66,2022-07-07
AJ Dillon,RB,GB,68.2,67,2022-07-07
Elijah Moore,WR,NYJ,68.2,68,2022-07-07
Antonio Gibson,RB,WAS,69.5,69,2022-07-07
DeVonta Smith,WR,PHI,69.5,70,2022-07-07
Joe Burrow,QB,CIN,70.8,71,2022-07-07
