player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-07-22
Christian McCaffrey,RB,CAR,2.3,2,2022-07-22
Cooper Kupp,WR,LA,3.2,3,2022-07-22
Justin Jefferson,WR,MIN,3.8,4,2022-07-22
Ja'Marr Chase,WR,CIN,5.4,5,2022-07-22
Austin Ekeler,RB,LAC,6.3,6,2022-07-22
Derrick Henry,RB,TEN,8,7,2022-07-22
Stefon Diggs,WR,BUF,8.2,8,2022-07-22
Dalvin Cook,RB,MIN,9.1,9,2022-07-22
Najee Harris,RB,PIT,10.3,10,2022-07-22
Davante Adams,WR,LV,11.1,11,2022-07-22
Travis Kelce,TE,KC,12.1,12,2022-07-22
CeeDee Lamb,WR,DAL,13.7,13,2022-07-22
Joe Mixon,RB,CIN,13.8,14,2022-07-22
D'Andre Swift,RB,DET,14.7,15,2022-07-22
Mike Evans,WR,TB,16.1,16,2022-07-22
Aaron Jones,RB,GB,17,17,2022-07-22
Saquon Barkley,RB,NYG,18.1,18,2022-07-22
Deebo Samuel,WR,SF,19.3,19,2022-07-22
Mark Andrews,TE,BAL,20.3,20,2022-07-22
Tyreek Hill,WR,MIA,21.8,21,2022-07-22
Javonte Williams,RB,DEN,22.9,22,2022-07-22
Tee Higgins,WR,CIN,23.8,23,2022-07-22
Leonard Fournette,RB,TB,24.1,24,2022-07-22
Nick Chubb,RB,CLE,24.9,25,2022-07-22
A.J. Brown,WR,PHI,26.8,26,2022-07-22
Keenan Allen,WR,LAC,27.5,27,2022-07-22
Mike Williams,WR,LAC,28.6,28,2022-07-22
Michael Pittman,WR,IND,28.6,29,2022-07-22
Josh Allen,QB,BUF,30.5,30,2022-07-22
DJ Moore,WR,CAR,31.7,31,2022-07-22
James Conner,RB,ARI,32.4,32,2022-07-22
Kyle Pitts,TE,ATL,33.1,33,2022-07-22
Alvin Kamara,RB,NO,33.8,34,2022-07-22
Travis Etienne,RB,JAX,34.8,35,2022-07-22
Marquise Brown,WR,ARI,36.5,36,2022-07-22
Courtland Sutton,WR,DEN,37.1,37,2022-07-22
Jaylen Waddle,WR,MIA,38.6,38,2022-07-22
Terry McLaurin,WR,WAS,39.3,39,2022-07-22
Ezekiel Elliott,RB,DAL,39.9,40,2022-07-22
Breece Hall,RB,NYJ,42,41,2022-07-22
Diontae Johnson,WR,PIT,43.2,42,2022-07-22
Cam Akers,RB,LA,43.9,43,2022-07-22
Gabriel Davis,WR,BUF,44.4,44,2022-07-22
Darren Waller,TE,LV,44.9,45,2022-07-22
Justin Herbert,QB,LAC,45.2,46,2022-07-22
Jerry Jeudy,WR,DEN,48.1,47,2022-07-22
Allen Robinson,WR,LA,48.2,48,2022-07-22
Patrick Mahomes,QB,KC,50.6,49,2022-07-22
George Kittle,TE,SF,51.1,50,2022-07-22
Lamar Jackson,QB,BAL,51.3,51,2022-07-22
Brandin Cooks,WR,HOU,51.5,52,2022-07-22
David Montgomery,RB,CHI,51.9,53,2022-07-22
D.K. Metcalf,WR,SEA,52.8,54,2022-07-22
Rashod Bateman,WR,BAL,54.5,55,2022-07-22
JuJu Smith-Schuster,WR,KC,55.8,56,2022-07-22
Darnell Mooney,WR,CHI,57.7,57,2022-07-22
J.K. Dobbins,RB,BAL,58.5,58,2022-07-22
Kyler Murray,QB,ARI,59.3,59,2022-07-22
Amon-Ra St. Brown,WR,DET,60.6,60,2022-07-22
Josh Jacobs,RB,LV,61.4,61,2022-07-22
Jalen Hurts,QB,PHI,63.4,62,2022-07-22
Elijah Mitchell,RB,SF,63.5,63,2022-07-22
Chris Godwin,WR,TB,64.3,64,2022-07-22
AJ Dillon,RB,GB,65.6,65,2022-07-22
Amari Cooper,WR,CLE,66.5,66,2022-07-22
Dalton Schultz,TE,DAL,68,67,2022-07-22
Adam Thielen,WR,MIN,68,68,2022-07-22
Russell Gage,WR,TB,69.4,69,2022-07-22
Elijah Moore,WR,NYJ,69.5,70,2022-07-22
Joe Burrow,QB,CIN,71.3,71,2022-07-22
Antonio Gibson,RB,WAS,71.8,72,2022-07-22
DeVonta Smith,WR,PHI,71.9,73,2022-07-22
DeAndre Hopkins,WR,ARI,74.7,74,2022-07-22
Drake London,WR,ATL,76,75,2022-07-22
Miles Sanders,RB,PHI,77.2,76,2022-07-22
Russell Wilson,QB,DEN,77.3,77,2022-07-22
Hunter Renfrow,WR,LV,79.5,78,2022-07-22
Trey Lance,QB,SF,80.1,79,2022-07-22
Allen Lazard,WR,GB,80.3,80,2022-07-22
Michael Thomas,WR,NO,81.2,81,2022-07-22
Tony Pollard,RB,DAL,82,82,2022-07-22
Christian Kirk,WR,JAX,84,83,2022-07-22
Tom Brady,QB,TB,85,84,2022-07-22
Kadarius Toney,WR,NYG,85.3,85,2022-07-22
Clyde Edwards-Helaire,RB,KC,85.8,86,2022-07-22
Dak Prescott,QB,DAL,87.2,87,2022-07-22
T.J. Hockenson,TE,DET,87.8,88,2022-07-22
Brandon Aiyuk,WR,SF,89.1,89,2022-07-22
Damien Harris,RB,NE,90.1,90,2022-07-22
Marquez Valdes-Scantling,WR,KC,91.2,91,2022-07-22
Chris Olave,WR,NO,92.7,92,2022-07-22
Rashaad Penny,RB,SEA,92.8,93,2022-07-22
Kareem Hunt,RB,CLE,94.1,94,2022-07-22
Matthew Stafford,QB,LA,95.4,95,2022-07-22
Treylon Burks,WR,TEN,95.9,96,2022-07-22
Chase Edmonds,RB,MIA,96.7,97,2022-07-22
