player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-05-11
Cooper Kupp,WR,LA,2.6,2,2022-05-11
Christian McCaffrey,RB,CAR,3.3,3,2022-05-11
Derrick Henry,RB,TEN,5.1,4,2022-05-11
Ja'Marr Chase,WR,CIN,5.2,5,2022-05-11
Justin Jefferson,WR,MIN,5.3,6,2022-05-11
Austin Ekeler,RB,LAC,6.9,7,2022-05-11
Najee Harris,RB,PIT,8.4,8,2022-05-11
Davante Adams,WR,LV,9.7,9,2022-05-11
Dalvin Cook,RB,MIN,11,10,2022-05-11
Joe Mixon,RB,CIN,11.8,11,2022-05-11
Stefon Diggs,WR,BUF,11.9,12,2022-05-11
Travis Kelce,TE,KC,12.2,13,2022-05-11
CeeDee Lamb,WR,DAL,14.2,14,2022-05-11
Deebo Samuel,WR,SF,16.3,15,2022-05-11
Mark Andrews,TE,BAL,16.6,16,2022-05-11
D'Andre Swift,RB,DET,18.5,17,2022-05-11
Alvin Kamara,RB,NO,18.6,18,2022-05-11
Tyreek Hill,WR,MIA,19.9,19,2022-05-11
Nick Chubb,RB,CLE,20.6,20,2022-05-11
Mike Evans,WR,TB,20.9,21,2022-05-11
Javonte Williams,RB,DEN,22.5,22,2022-05-11
Josh Allen,QB,BUF,23.3,23,2022-05-11
A.J. Brown,WR,PHI,24.1,24,2022-05-11
Leonard Fournette,RB,TB,25.1,25,2022-05-11
Aaron Jones,RB,GB,25.4,26,2022-05-11
Tee Higgins,WR,CIN,26.5,27,2022-05-11
Saquon Barkley,RB,NYG,27.3,28,2022-05-11
Keenan Allen,WR,LAC,28.5,29,2022-05-11
James Conner,RB,ARI,29.9,30,2022-05-11
Kyle Pitts,TE,ATL,31.2,31,2022-05-11
Jaylen Waddle,WR,MIA,32.7,32,2022-05-11
Cam Akers,RB,LA,35.3,33,2022-05-11
Diontae Johnson,WR,PIT,35.4,34,2022-05-11
Patrick Mahomes,QB,KC,37.4,35,2022-05-11
DJ Moore,WR,CAR,37.7,36,2022-05-11
D.K. Metcalf,WR,SEA,39.6,37,2022-05-11
Michael Pittman,WR,IND,40,38,2022-05-11
Darren Waller,TE,LV,40.1,39,2022-05-11
Amari Cooper,WR,CLE,41.6,40,2022-05-11
Lamar Jackson,QB,BAL,42.8,41,2022-05-11
David Montgomery,RB,CHI,43.8,42,2022-05-11
Justin Herbert,QB,LAC,43.9,43,2022-05-11
Marquise Brown,WR,ARI,44.3,44,2022-05-11
George Kittle,TE,SF,44.5,45,2022-05-11
Jerry Jeudy,WR,DEN,45.1,46,2022-05-11
Mike Williams,WR,LAC,46.1,47,2022-05-11
Ezekiel Elliott,RB,DAL,46.4,48,2022-05-11
Chris Godwin,WR,TB,47.8,49,2022-05-11
J.K. Dobbins,RB,BAL,48,50,2022-05-11
Breece Hall,RB,NYJ,50,51,2022-05-11
Terry McLaurin,WR,WAS,50.5,52,2022-05-11
Courtland Sutton,WR,DEN,54.5,53,2022-05-11
Antonio Gibson,RB,WAS,54.7,54,2022-05-11
Michael Thomas,WR,NO,55.5,55,2022-05-11
JuJu Smith-Schuster,WR,KC,57,56,2022-05-11
Kyler Murray,QB,ARI,57.8,57,2022-05-11
Travis Etienne,RB,JAX,58,58,2022-05-11
Allen Robinson,WR,LA,58.8,59,2022-05-11
Gabriel Davis,WR,BUF,59.2,60,2022-05-11
Josh Jacobs,RB,LV,61.4,61,2022-05-11
Joe Burrow,QB,CIN,62.6,62,2022-05-11
Rashod Bateman,WR,BAL,63.4,63,2022-05-11
Jalen Hurts,QB,PHI,65,64,2022-05-11
Brandin Cooks,WR,HOU,66.2,65,2022-05-11
Elijah Moore,WR,NYJ,66.2,66,2022-05-11
Darnell Mooney,WR,CHI,66.7,67,2022-05-11
Elijah Mitchell,RB,SF,66.8,68,2022-05-11
Drake London,WR,ATL,69.9,69,2022-05-11
Amon-Ra St. Brown,WR,DET,70.2,70,2022-05-11
