player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.5,1,2022-08-18
Christian McCaffrey,RB,CAR,1.8,2,2022-08-18
Justin Jefferson,WR,MIN,3.3,3,2022-08-18
Cooper Kupp,WR,LA,3.9,4,2022-08-18
Ja'Marr Chase,WR,CIN,5.4,5,2022-08-18
Austin Ekeler,RB,LAC,6.1,6,2022-08-18
Stefon Diggs,WR,BUF,7.9,7,2022-08-18
Derrick Henry,RB,TEN,8.3,8,2022-08-18
Dalvin Cook,RB,MIN,8.8,9,2022-08-18
Davante Adams,WR,LV,10.9,10,2022-08-18
Najee Harris,RB,PIT,11.3,11,2022-08-18
Travis Kelce,TE,KC,12.5,12,2022-08-18
CeeDee Lamb,WR,DAL,13.5,13,2022-08-18
Joe Mixon,RB,CIN,13.9,14,2022-08-18
Saquon Barkley,RB,NYG,14.9,15,2022-08-18
D'Andre Swift,RB,DET,16,16,2022-08-18
Deebo Samuel,WR,SF,17.6,17,2022-08-18
Aaron Jones,RB,GB,17.8,18,2022-08-18
Alvin Kamara,RB,NO,19.3,19,2022-08-18
Mike Evans,WR,TB,20.9,20,2022-08-18
Javonte Williams,RB,DEN,21.3,21,2022-08-18
Mark Andrews,TE,BAL,22.1,22,2022-08-18
Tyreek Hill,WR,MIA,22.9,23,2022-08-18
Leonard Fournette,RB,TB,24.4,24,2022-08-18
Nick Chubb,RB,CLE,25.6,25,2022-08-18
Tee Higgins,WR,CIN,26.1,26,2022-08-18
A.J. Brown,WR,PHI,26.4,27,2022-08-18
Michael Pittman,WR,IND,28.1,28,2022-08-18
Keenan Allen,WR,LAC,29.7,29,2022-08-18
Mike Williams,WR,LAC,30.7,30,2022-08-18
Kyle Pitts,TE,ATL,31.7,31,2022-08-18
Josh Allen,QB,BUF,31.8,32,2022-08-18
DJ Moore,WR,CAR,33,33,2022-08-18
Courtland Sutton,WR,DEN,33.7,34,2022-08-18
James Conner,RB,ARI,34.7,35,2022-08-18
Travis Etienne,RB,JAX,35.6,36,2022-08-18
Jaylen Waddle,WR,MIA,37.9,37,2022-08-18
Ezekiel Elliott,RB,DAL,38.9,38,2022-08-18
Allen Robinson,WR,LA,40,39,2022-08-18
Terry McLaurin,WR,WAS,40.9,40,2022-08-18
Marquise Brown,WR,ARI,41.7,41,2022-08-18
Breece Hall,RB,NYJ,42.9,42,2022-08-18
Jerry Jeudy,WR,DEN,43.6,43,2022-08-18
Gabriel Davis,WR,BUF,44.1,44,2022-08-18
Justin Herbert,QB,LAC,45.3,45,2022-08-18
Cam Akers,RB,LA,48.1,46,2022-08-18
Diontae Johnson,WR,PIT,48.3,47,2022-08-18
Lamar Jackson,QB,BAL,48.6,48,2022-08-18
JuJu Smith-Schuster,WR,KC,49,49,2022-08-18
Darren Waller,TE,LV,51.2,50,2022-08-18
Brandin Cooks,WR,HOU,51.5,51,2022-08-18
Patrick Mahomes,QB,KC,52.3,52,2022-08-18
George Kittle,TE,SF,53.6,53,2022-08-18
Rashod Bateman,WR,BAL,54.1,54,2022-08-18
D.K. Metcalf,WR,SEA,55.4,55,2022-08-18
Chris Godwin,WR,TB,55.7,56,2022-08-18
J.K. Dobbins,RB,BAL,55.8,57,2022-08-18
Michael Thomas,WR,NO,56,58,2022-08-18
Amon-Ra St. Brown,WR,DET,58.8,59,2022-08-18
Darnell Mooney,WR,CHI,60,60,2022-08-18
David Montgomery,RB,CHI,61,61,2022-08-18
Kyler Murray,QB,ARI,62,62,2022-08-18
Jalen Hurts,QB,PHI,62.9,63,2022-08-18
AJ Dillon,RB,GB,64.8,64,2022-08-18
Elijah Mitchell,RB,SF,64.8,65,2022-08-18
Elijah Moore,WR,NYJ,66.2,66,2022-08-18
Adam Thielen,WR,MIN,67.7,67,2022-08-18
Amari Cooper,WR,CLE,69.9,68,2022-08-18
Trey Lance,QB,SF,70.4,69,2022-08-18
Dalton Schultz,TE,DAL,71.3,70,2022-08-18
Brandon Aiyuk,WR,SF,72.2,71,2022-08-18
Josh Jacobs,RB,LV,72.2,72,2022-08-18
Drake London,WR,ATL,72.5,73,2022-08-18
Allen Lazard,WR,GB,74.1,74,2022-08-18
DeAndre Hopkins,WR,ARI,75.2,75,2022-08-18
Joe Burrow,QB,CIN,75.6,76,2022-08-18
DeVonta Smith,WR,PHI,76.7,77,2022-08-18
Kadarius Toney,WR,NYG,78.8,78,2022-08-18
Russell Wilson,QB,DEN,78.9,79,2022-08-18
Tony Pollard,RB,DAL,79.5,80,2022-08-18
Christian Kirk,WR,JAX,81.9,81,2022-08-18
Hunter Renfrow,WR,LV,84.3,82,2022-08-18
Clyde Edwards-Helaire,RB,KC,85.4,83,2022-08-18
Miles Sanders,RB,PHI,85.9,84,2022-08-18
Antonio Gibson,RB,WAS,86,85,2022-08-18
Tom Brady,QB,TB,86.8,86,2022-08-18
Chris Olave,WR,NO,87.8,87,2022-08-18
Rhamondre Stevenson,RB,NE,88,88,2022-08-18
Chase Edmonds,RB,MIA,88.7,89,2022-08-18
Dak Prescott,QB,DAL,89.9,90,2022-08-18
Skyy Moore,WR,KC,90.3,91,2022-08-18
T.J. Hockenson,TE,DET,91,92,2022-08-18
Dallas Goedert,TE,PHI,92.7,93,2022-08-18
Treylon Burks,WR,TEN,94.2,94,2022-08-18
Kareem Hunt,RB,CLE,94.6,95,2022-08-18
Rashaad Penny,RB,SEA,96.3,96,2022-08-18
Marquez Valdes-Scantling,WR,KC,96.4,97,2022-08-18
Robert Woods,WR,TEN,98.2,98,2022-08-18
Damien Harris,RB,NE,99.8,99,2022-08-18
Tyler Lockett,WR,SEA,100.4,100,2022-08-18
James Cook,RB,BUF,101.9,101,2022-08-18
Dawson Knox,TE,BUF,104.2,102,2022-08-18
Kenneth Walker,RB,SEA,104.6,103,2022-08-18
Matthew Stafford,QB,LA,105.6,104,2022-08-18
Devin Singletary,RB,BUF,106.2,105,2022-08-18
Dameon Pierce,RB,HOU,106.4,106,2022-08-18
Chase Claypool,WR,PIT,107.4,107,2022-08-18
Derek Carr,QB,LV,108.1,108,2022-08-18
Zach Ertz,TE,ARI,108.9,109,2022-08-18
Tyler Boyd,WR,CIN,109.5,110,2022-08-18
Melvin Gordon,RB,DEN,110.9,111,2022-08-18
Aaron Rodgers,QB,GB,111.7,112,2022-08-18
Cordarrelle Patterson,RB,ATL,111.8,113,2022-08-18
Rondale Moore,WR,ARI,112.6,114,2022-08-18
Russell Gage,WR,TB,114.1,115,2022-08-18
Julio Jones,WR,N/A,116,116,2022-08-18
Garrett Wilson,WR,NYJ,116.2,117,2022-08-18
Jalen Tolbert,WR,DAL,117,118,2022-08-18
Kirk Cousins,QB,MIN,117.9,119,2022-08-18
Darrell Henderson,RB,LA,122.2,120,2022-08-18
George Pickens,WR,PIT,122.2,121,2022-08-18
Cole Kmet,TE,CHI,123.4,122,2022-08-18
Mecole Hardman,WR,KC,125.9,123,2022-08-18
Rachaad White,RB,TB,126.4,124,2022-08-18
Isaiah Spiller,RB,LAC,126.5,125,2022-08-18
DeVante Parker,WR,NE,127.8,126,2022-08-18
Joshua Palmer,WR,LAC,128,127,2022-08-18
Justin Fields,QB,CHI,129.8,128,2022-08-18
Nyheim Hines,RB,IND,130.8,129,2022-08-18
Albert Okwuegbunam,TE,DEN,131.4,130,2022-08-18
Alexander Mattison,RB,MIN,131.5,131,2022-08-18
Kenneth Gainwell,RB,PHI,134.5,132,2022-08-18
Tua Tagovailoa,QB,MIA,135,133,2022-08-18
Kenny Golladay,WR,NYG,135,134,2022-08-18
Michael Gallup,WR,DAL,135.5,135,2022-08-18
Romeo Doubs,WR,GB,135.9,136,2022-08-18
Irv Smith,TE,MIN,137.6,137,2022-08-18
D.J. Chark,WR,DET,138.3,138,2022-08-18
Pat Freiermuth,TE,PIT,138.7,139,2022-08-18
Jakobi Meyers,WR,NE,139.8,140,2022-08-18
James Robinson,RB,JAX,141.2,141,2022-08-18
Jahan Dotson,WR,WAS,141.2,142,2022-08-18
Trevor Lawrence,QB,JAX,142,143,2022-08-18
K.J. Osborn,WR,MIN,144.3,144,2022-08-18
Tyler Allgeier,RB,ATL,145.8,145,2022-08-18
Michael Carter,RB,NYJ,147.1,146,2022-08-18
Christian Watson,WR,GB,148.1,147,2022-08-18
Mike Gesicki,TE,MIA,149.4,148,2022-08-18
Isaiah McKenzie,WR,BUF,150.8,149,2022-08-18
Khalil Herbert,RB,CHI,151,150,2022-08-18
Hunter Henry,TE,NE,151.4,151,2022-08-18
Jarvis Landry,WR,NO,152.5,152,2022-08-18
Brian Robinson Jr.,RB,WAS,152.6,153,2022-08-18
Nico Collins,WR,HOU,152.6,154,2022-08-18
KJ Hamler,WR,DEN,153.2,155,2022-08-18
Isiah Pacheco,RB,KC,153.5,156,2022-08-18
Jameis Winston,QB,NO,154,157,2022-08-18
Robby Anderson,WR,CAR,156.5,158,2022-08-18
Matt Ryan,QB,IND,157.7,159,2022-08-18
Jamaal Williams,RB,DET,158.5,160,2022-08-18
Wan'Dale Robinson,WR,NYG,160.5,161,2022-08-18
Gerald Everett,TE,LAC,161.8,162,2022-08-18
Jameson Williams,WR,DET,162.1,163,2022-08-18
David Njoku,TE,CLE,162.8,164,2022-08-18
Robert Tonyan,TE,GB,164.8,165,2022-08-18
Daniel Jones,QB,NYG,165.9,166,2022-08-18
Tyler Higbee,TE,LA,168.8,167,2022-08-18
Zamir White,RB,LV,169.9,168,2022-08-18
Van Jefferson,WR,LA,172.5,169,2022-08-18
Tyrion Davis-Price,RB,SF,173,170,2022-08-18
Noah Fant,TE,SEA,173.2,171,2022-08-18
Parris Campbell,WR,IND,174.3,172,2022-08-18
Marvin Jones,WR,JAX,175,173,2022-08-18
Raheem Mostert,RB,MIA,175,174,2022-08-18
Alec Pierce,WR,IND,175.2,175,2022-08-18
Hayden Hurst,TE,CIN,177.5,176,2022-08-18
Mac Jones,QB,NE,177.7,177,2022-08-18
Ronald Jones,RB,KC,178.2,178,2022-08-18
Evan Engram,TE,JAX,179.1,179,2022-08-18
Corey Davis,WR,NYJ,181.4,180,2022-08-18
J.D. McKissic,RB,WAS,182.4,181,2022-08-18
Marlon Mack,RB,HOU,184.8,182,2022-08-18
Austin Hooper,TE,TEN,185.2,183,2022-08-18
Sammy Watkins,WR,GB,185.6,184,2022-08-18
Ryan Tannehill,QB,TEN,186.9,185,2022-08-18
Zay Jones,WR,JAX,187,186,2022-08-18
Jared Goff,QB,DET,187.1,187,2022-08-18
Jamison Crowder,WR,BUF,188.9,188,2022-08-18
Deshaun Watson,QB,CLE,189.7,189,2022-08-18
Taysom Hill,TE,NO,191.4,190,2022-08-18
William Fuller,WR,N/A,194.7,191,2022-08-18
Darrel Williams,RB,KC,194.9,192,2022-08-18
A.J. Green,WR,ARI,196.6,193,2022-08-18
Donovan Peoples-Jones,WR,CLE,197.6,194,2022-08-18
Baker Mayfield,QB,CAR,197.8,195,2022-08-18
Brevin Jordan,TE,HOU,198.2,196,2022-08-18
Gus Edwards,RB,BAL,198.4,197,2022-08-18
Kendrick Bourne,WR,NE,199.8,198,2022-08-18
Davis Mills,QB,HOU,201.8,199,2022-08-18
Eno Benjamin,RB,ARI,201.9,200,2022-08-18
D'Ernest Johnson,RB,CLE,202.7,201,2022-08-18
Odell Beckham,WR,N/A,203.5,202,2022-08-18
Trey Sermon,RB,SF,203.6,203,2022-08-18
Mo Alie-Cox,TE,IND,204.7,204,2022-08-18
Devin Duvernay,WR,BAL,205.2,205,2022-08-18
Curtis Samuel,WR,WAS,205.2,206,2022-08-18
Jerick McKinnon,RB,KC,205.5,207,2022-08-18
Tyquan Thornton,WR,NE,205.9,208,2022-08-18
Zach Wilson,QB,NYJ,206,209,2022-08-18
Mark Ingram,RB,NO,206.1,210,2022-08-18
Carson Wentz,QB,WAS,207.4,211,2022-08-18
Marcus Mariota,QB,ATL,208.9,212,2022-08-18
Cameron Brate,TE,TB,209.7,213,2022-08-18
Nick Westbrook-Ikhine,WR,TEN,209.7,214,2022-08-18
David Bell,WR,CLE,210.3,215,2022-08-18
Jonnu Smith,TE,NE,211.3,216,2022-08-18
D'Onta Foreman,RB,CAR,211.4,217,2022-08-18
Logan Thomas,TE,WAS,211.9,218,2022-08-18
Chuba Hubbard,RB,CAR,211.9,219,2022-08-18
Chris Evans,RB,CIN,212.3,220,2022-08-18
Randall Cobb,WR,GB,212.8,221,2022-08-18
Hassan Haskins,RB,TEN,212.9,222,2022-08-18
Cedrick Wilson,WR,MIA,213.1,223,2022-08-18
Danny Gray,WR,SF,213.3,224,2022-08-18
Jeff Wilson,RB,SF,213.3,225,2022-08-18
Terrace Marshall,WR,CAR,213.5,226,2022-08-18
Sony Michel,RB,LA,213.6,227,2022-08-18
Khalil Shakir,WR,BUF,213.7,228,2022-08-18
Laviska Shenault,WR,JAX,214,229,2022-08-18
Quez Watkins,WR,PHI,214.1,230,2022-08-18
Kyle Rudolph,TE,N/A,214.2,231,2022-08-18
Tyler Conklin,TE,NYJ,214.3,232,2022-08-18
Kenyan Drake,RB,LV,214.3,233,2022-08-18
Velus Jones,WR,CHI,214.5,234,2022-08-18
Bryan Edwards,WR,LV,214.5,235,2022-08-18
Kenny Pickett,QB,PIT,214.5,236,2022-08-18
Zack Moss,RB,BUF,214.5,237,2022-08-18
Mitchell Trubisky,QB,PIT,214.5,238,2022-08-18
Kyle Philips,WR,TEN,214.6,239,2022-08-18
Samaje Perine,RB,CIN,214.6,240,2022-08-18
Ameer Abdullah,RB,LV,214.8,241,2022-08-18
Greg Dulcich,TE,DEN,214.8,242,2022-08-18
Isaiah Likely,TE,BAL,214.8,243,2022-08-18
Daniel Bellinger,TE,NYG,214.9,244,2022-08-18
Joshua Kelley,RB,LAC,215.1,245,2022-08-18
Jalen Guyton,WR,LAC,215.1,246,2022-08-18
Trestan Ebnar,RB,CHI,215.2,247,2022-08-18
Trey McBride,TE,ARI,215.3,248,2022-08-18
Noah Brown,WR,DAL,215.3,249,2022-08-18
Ty Montgomery,WR,NE,215.4,250,2022-08-18
Amari Rodgers,WR,GB,215.4,251,2022-08-18
Rex Burkhead,RB,HOU,215.4,252,2022-08-18
Mike Davis,RB,ATL,215.4,253,2022-08-18
Jimmy Garoppolo,QB,SF,215.5,254,2022-08-18
Malik Willis,QB,TEN,215.5,255,2022-08-18
Donald Parham,TE,LAC,215.5,256,2022-08-18
Ashton Dulin,WR,IND,215.5,257,2022-08-18
Desmond Ridder,QB,ATL,215.6,258,2022-08-18
Byron Pringle,WR,CHI,215.6,259,2022-08-18
Matt Breida,RB,NYG,215.6,260,2022-08-18
James Proche,WR,BAL,215.6,261,2022-08-18
Dontrell Hilliard,RB,TEN,215.6,262,2022-08-18
Adam Trautman,TE,NO,215.7,263,2022-08-18
Nelson Agholor,WR,NE,215.7,264,2022-08-18
Kyren Williams,RB,LA,215.8,265,2022-08-18
Jauan Jennings,WR,SF,215.8,266,2022-08-18
Rashard Higgins,WR,CAR,215.8,267,2022-08-18
Jaylen Warren,RB,PIT,215.8,268,2022-08-18
C.J. Uzomah,TE,NYJ,215.8,269,2022-08-18
Rob Gronkowski,TE,TB,215.8,270,2022-08-18
Tutu Atwell,WR,LA,215.8,271,2022-08-18
Keaontay Ingram,RB,ARI,215.8,272,2022-08-18
Jerome Ford,RB,CLE,215.8,273,2022-08-18
Equanimeous St. Brown,WR,CHI,215.8,274,2022-08-18
Ke'Shawn Vaughn,RB,TB,215.8,275,2022-08-18
Tyler Badie,RB,BAL,215.8,276,2022-08-18
Drew Lock,QB,SEA,215.8,277,2022-08-18
Sterling Shepard,WR,NYG,215.8,278,2022-08-18
Boston Scott,RB,PHI,215.8,279,2022-08-18
Pierre Strong,RB,NE,215.8,280,2022-08-18
Keelan Cole,WR,NYJ,215.8,281,2022-08-18
Marquez Callaway,WR,NO,215.8,282,2022-08-18
Braxton Berrios,WR,NYJ,215.9,283,2022-08-18
Josh Reynolds,WR,DET,215.9,284,2022-08-18
Foster Moreau,TE,LV,215.9,285,2022-08-18
Anthony McFarland,RB,PIT,215.9,286,2022-08-18
Geno Smith,QB,SEA,215.9,287,2022-08-18
