player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-06-24
Cooper Kupp,WR,LA,2.7,2,2022-06-24
Christian McCaffrey,RB,CAR,2.9,3,2022-06-24
Justin Jefferson,WR,MIN,4.2,4,2022-06-24
Ja'Marr Chase,WR,CIN,5.2,5,2022-06-24
Austin Ekeler,RB,LAC,6.4,6,2022-06-24
Derrick Henry,RB,TEN,7.5,7,2022-06-24
Stefon Diggs,WR,BUF,8.4,8,2022-06-24
Najee Harris,RB,PIT,9.4,9,2022-06-24
Dalvin Cook,RB,MIN,10.3,10,2022-06-24
Davante Adams,WR,LV,11.4,11,2022-06-24
Travis Kelce,TE,KC,11.7,12,2022-06-24
CeeDee Lamb,WR,DAL,13.4,13,2022-06-24
Joe Mixon,RB,CIN,13.6,14,2022-06-24
D'Andre Swift,RB,DET,15.6,15,2022-06-24
Mark Andrews,TE,BAL,17.2,16,2022-06-24
Mike Evans,WR,TB,17.4,17,2022-06-24
Aaron Jones,RB,GB,17.9,18,2022-06-24
Deebo Samuel,WR,SF,18.2,19,2022-06-24
Tyreek Hill,WR,MIA,21.1,20,2022-06-24
Saquon Barkley,RB,NYG,21.5,21,2022-06-24
Leonard Fournette,RB,TB,22.7,22,2022-06-24
Alvin Kamara,RB,NO,22.9,23,2022-06-24
Tee Higgins,WR,CIN,24.1,24,2022-06-24
A.J. Brown,WR,PHI,25.4,25,2022-06-24
Nick Chubb,RB,CLE,26.6,26,2022-06-24
Javonte Williams,RB,DEN,27.1,27,2022-06-24
Keenan Allen,WR,LAC,27.7,28,2022-06-24
Mike Williams,WR,LAC,28.7,29,2022-06-24
Josh Allen,QB,BUF,29.9,30,2022-06-24
Michael Pittman,WR,IND,30.6,31,2022-06-24
Kyle Pitts,TE,ATL,32,32,2022-06-24
James Conner,RB,ARI,33.3,33,2022-06-24
Marquise Brown,WR,ARI,35.4,34,2022-06-24
Jaylen Waddle,WR,MIA,36.2,35,2022-06-24
