player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-06-19
Cooper Kupp,WR,LA,2.7,2,2022-06-19
Christian McCaffrey,RB,CAR,2.9,3,2022-06-19
Justin Jefferson,WR,MIN,4.1,4,2022-06-19
Ja'Marr Chase,WR,CIN,5.2,5,2022-06-19
Austin Ekeler,RB,LAC,6.4,6,2022-06-19
Derrick Henry,RB,TEN,7.3,7,2022-06-19
Stefon Diggs,WR,BUF,8.6,8,2022-06-19
Najee Harris,RB,PIT,9.4,9,2022-06-19
Dalvin Cook,RB,MIN,10.2,10,2022-06-19
Davante Adams,WR,LV,11.4,11,2022-06-19
Travis Kelce,TE,KC,11.6,12,2022-06-19
CeeDee Lamb,WR,DAL,13.4,13,2022-06-19
Joe Mixon,RB,CIN,13.5,14,2022-06-19
D'Andre Swift,RB,DET,15.9,15,2022-06-19
Mark Andrews,TE,BAL,16.6,16,2022-06-19
Deebo Samuel,WR,SF,17.6,17,2022-06-19
Aaron Jones,RB,GB,17.8,18,2022-06-19
Mike Evans,WR,TB,18.8,19,2022-06-19
Tyreek Hill,WR,MIA,21.3,20,2022-06-19
Alvin Kamara,RB,NO,21.9,21,2022-06-19
Saquon Barkley,RB,NYG,22.6,22,2022-06-19
Leonard Fournette,RB,TB,22.6,23,2022-06-19
Tee Higgins,WR,CIN,24.3,24,2022-06-19
A.J. Brown,WR,PHI,25.1,25,2022-06-19
Nick Chubb,RB,CLE,26.4,26,2022-06-19
Javonte Williams,RB,DEN,26.9,27,2022-06-19
Keenan Allen,WR,LAC,28,28,2022-06-19
Mike Williams,WR,LAC,29,29,2022-06-19
Josh Allen,QB,BUF,29.8,30,2022-06-19
Michael Pittman,WR,IND,30.8,31,2022-06-19
Kyle Pitts,TE,ATL,32,32,2022-06-19
James Conner,RB,ARI,33.2,33,2022-06-19
Jaylen Waddle,WR,MIA,35.8,34,2022-06-19
Marquise Brown,WR,ARI,35.9,35,2022-06-19
DJ Moore,WR,CAR,36.6,36,2022-06-19
Courtland Sutton,WR,DEN,37.8,37,2022-06-19
Ezekiel Elliott,RB,DAL,39.2,38,2022-06-19
Diontae Johnson,WR,PIT,40.4,39,2022-06-19
Darren Waller,TE,LV,42.2,40,2022-06-19
Patrick Mahomes,QB,KC,42.4,41,2022-06-19
Travis Etienne,RB,JAX,42.9,42,2022-06-19
Jerry Jeudy,WR,DEN,43.1,43,2022-06-19
Justin Herbert,QB,LAC,45,44,2022-06-19
Terry McLaurin,WR,WAS,45.7,45,2022-06-19
