player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-06-20
Cooper Kupp,WR,LA,2.7,2,2022-06-20
Christian McCaffrey,RB,CAR,2.9,3,2022-06-20
Justin Jefferson,WR,MIN,4.1,4,2022-06-20
Ja'Marr Chase,WR,CIN,5.1,5,2022-06-20
Austin Ekeler,RB,LAC,6.4,6,2022-06-20
Derrick Henry,RB,TEN,7.4,7,2022-06-20
Stefon Diggs,WR,BUF,8.4,8,2022-06-20
Najee Harris,RB,PIT,9.4,9,2022-06-20
Dalvin Cook,RB,MIN,10.2,10,2022-06-20
Davante Adams,WR,LV,11.3,11,2022-06-20
Travis Kelce,TE,KC,11.7,12,2022-06-20
CeeDee Lamb,WR,DAL,13.2,13,2022-06-20
Joe Mixon,RB,CIN,13.6,14,2022-06-20
D'Andre Swift,RB,DET,15.9,15,2022-06-20
Mark Andrews,TE,BAL,16.6,16,2022-06-20
Deebo Samuel,WR,SF,17.7,17,2022-06-20
Aaron Jones,RB,GB,17.8,18,2022-06-20
Mike Evans,WR,TB,18.8,19,2022-06-20
Tyreek Hill,WR,MIA,21.3,20,2022-06-20
Alvin Kamara,RB,NO,22,21,2022-06-20
Saquon Barkley,RB,NYG,22.1,22,2022-06-20
Leonard Fournette,RB,TB,23.1,23,2022-06-20
Tee Higgins,WR,CIN,24.1,24,2022-06-20
A.J. Brown,WR,PHI,25.2,25,2022-06-20
Nick Chubb,RB,CLE,26.5,26,2022-06-20
Javonte Williams,RB,DEN,27.1,27,2022-06-20
Keenan Allen,WR,LAC,28,28,2022-06-20
Mike Williams,WR,LAC,28.9,29,2022-06-20
Josh Allen,QB,BUF,29.8,30,2022-06-20
Michael Pittman,WR,IND,30.7,31,2022-06-20
Kyle Pitts,TE,ATL,31.9,32,2022-06-20
James Conner,RB,ARI,33.2,33,2022-06-20
Marquise Brown,WR,ARI,35.8,34,2022-06-20
Jaylen Waddle,WR,MIA,35.9,35,2022-06-20
DJ Moore,WR,CAR,36.8,36,2022-06-20
Courtland Sutton,WR,DEN,37.4,37,2022-06-20
Ezekiel Elliott,RB,DAL,39.2,38,2022-06-20
Diontae Johnson,WR,PIT,40.5,39,2022-06-20
Darren Waller,TE,LV,41.9,40,2022-06-20
Travis Etienne,RB,JAX,41.9,41,2022-06-20
Patrick Mahomes,QB,KC,42.8,42,2022-06-20
Jerry Jeudy,WR,DEN,43.3,43,2022-06-20
Justin Herbert,QB,LAC,45,44,2022-06-20
Terry McLaurin,WR,WAS,45.1,45,2022-06-20
Cam Akers,RB,LA,46.3,46,2022-06-20
Allen Robinson,WR,LA,47,47,2022-06-20
D.K. Metcalf,WR,SEA,48,48,2022-06-20
Breece Hall,RB,NYJ,48.9,49,2022-06-20
George Kittle,TE,SF,49.6,50,2022-06-20
Gabriel Davis,WR,BUF,50.4,51,2022-06-20
David Montgomery,RB,CHI,52.1,52,2022-06-20
Lamar Jackson,QB,BAL,52.6,53,2022-06-20
Rashod Bateman,WR,BAL,53.3,54,2022-06-20
Brandin Cooks,WR,HOU,53.9,55,2022-06-20
J.K. Dobbins,RB,BAL,56.2,56,2022-06-20
JuJu Smith-Schuster,WR,KC,57.2,57,2022-06-20
Amari Cooper,WR,CLE,58,58,2022-06-20
Chris Godwin,WR,TB,58,59,2022-06-20
Darnell Mooney,WR,CHI,59.5,60,2022-06-20
Kyler Murray,QB,ARI,61.4,61,2022-06-20
Josh Jacobs,RB,LV,62.8,62,2022-06-20
Jalen Hurts,QB,PHI,63.2,63,2022-06-20
Elijah Moore,WR,NYJ,66.1,64,2022-06-20
Amon-Ra St. Brown,WR,DET,66.1,65,2022-06-20
Antonio Gibson,RB,WAS,67.5,66,2022-06-20
DeVonta Smith,WR,PHI,68.7,67,2022-06-20
Drake London,WR,ATL,69.2,68,2022-06-20
Dalton Schultz,TE,DAL,69.5,69,2022-06-20
Joe Burrow,QB,CIN,70.2,70,2022-06-20
Elijah Mitchell,RB,SF,70.8,71,2022-06-20
Adam Thielen,WR,MIN,71.4,72,2022-06-20
AJ Dillon,RB,GB,73.3,73,2022-06-20
Michael Thomas,WR,NO,73.6,74,2022-06-20
DeAndre Hopkins,WR,ARI,75.7,75,2022-06-20
Russell Wilson,QB,DEN,76.8,76,2022-06-20
Treylon Burks,WR,TEN,77.8,77,2022-06-20
Clyde Edwards-Helaire,RB,KC,78.6,78,2022-06-20
Tom Brady,QB,TB,79.2,79,2022-06-20
Brandon Aiyuk,WR,SF,79.6,80,2022-06-20
Hunter Renfrow,WR,LV,80.3,81,2022-06-20
Miles Sanders,RB,PHI,81.6,82,2022-06-20
Russell Gage,WR,TB,82.2,83,2022-06-20
T.J. Hockenson,TE,DET,84.5,84,2022-06-20
Dak Prescott,QB,DAL,85.9,85,2022-06-20
Tony Pollard,RB,DAL,86.4,86,2022-06-20
Christian Kirk,WR,JAX,86.5,87,2022-06-20
Trey Lance,QB,SF,88.9,88,2022-06-20
Kenneth Walker,RB,SEA,89.8,89,2022-06-20
Skyy Moore,WR,KC,90.7,90,2022-06-20
Allen Lazard,WR,GB,91.3,91,2022-06-20
Tyler Lockett,WR,SEA,93,92,2022-06-20
Kadarius Toney,WR,NYG,93,93,2022-06-20
Matthew Stafford,QB,LA,94.7,94,2022-06-20
Marquez Valdes-Scantling,WR,KC,96,95,2022-06-20
Cordarrelle Patterson,RB,ATL,96.3,96,2022-06-20
Dallas Goedert,TE,PHI,96.3,97,2022-06-20
Damien Harris,RB,NE,96.9,98,2022-06-20
Kareem Hunt,RB,CLE,97.9,99,2022-06-20
Chris Olave,WR,NO,100,100,2022-06-20
Dawson Knox,TE,BUF,101.6,101,2022-06-20
Garrett Wilson,WR,NYJ,103.3,102,2022-06-20
Chase Claypool,WR,PIT,104.2,103,2022-06-20
Aaron Rodgers,QB,GB,105,104,2022-06-20
Robert Woods,WR,TEN,106.5,105,2022-06-20
Devin Singletary,RB,BUF,106.6,106,2022-06-20
James Cook,RB,BUF,107.2,107,2022-06-20
Derek Carr,QB,LV,107.3,108,2022-06-20
Melvin Gordon,RB,DEN,107.6,109,2022-06-20
Zach Ertz,TE,ARI,109.3,110,2022-06-20
Tyler Boyd,WR,CIN,109.5,111,2022-06-20
Chase Edmonds,RB,MIA,112.3,112,2022-06-20
Christian Watson,WR,GB,112.7,113,2022-06-20
Rob Gronkowski,TE,TB,112.8,114,2022-06-20
Rashaad Penny,RB,SEA,114.7,115,2022-06-20
Michael Gallup,WR,DAL,116.6,116,2022-06-20
Rhamondre Stevenson,RB,NE,117.5,117,2022-06-20
Rondale Moore,WR,ARI,118.9,118,2022-06-20
Kirk Cousins,QB,MIN,119.2,119,2022-06-20
Kenny Golladay,WR,NYG,120.7,120,2022-06-20
Tim Patrick,WR,DEN,120.8,121,2022-06-20
Jameson Williams,WR,DET,123.2,122,2022-06-20
Alexander Mattison,RB,MIN,124,123,2022-06-20
Jarvis Landry,WR,NO,125.6,124,2022-06-20
Pat Freiermuth,TE,PIT,126.8,125,2022-06-20
Justin Fields,QB,CHI,127,126,2022-06-20
Mecole Hardman,WR,KC,128.2,127,2022-06-20
Dameon Pierce,RB,HOU,129.3,128,2022-06-20
Ronald Jones,RB,KC,130.4,129,2022-06-20
Jamison Crowder,WR,BUF,130.6,130,2022-06-20
Rachaad White,RB,TB,131.9,131,2022-06-20
Mike Gesicki,TE,MIA,132.5,132,2022-06-20
Tua Tagovailoa,QB,MIA,132.6,133,2022-06-20
DeVante Parker,WR,NE,135.2,134,2022-06-20
Jakobi Meyers,WR,NE,136,135,2022-06-20
Nyheim Hines,RB,IND,136.7,136,2022-06-20
Van Jefferson,WR,LA,137.7,137,2022-06-20
Jahan Dotson,WR,WAS,138.3,138,2022-06-20
Irv Smith,TE,MIN,138.7,139,2022-06-20
Isaiah Spiller,RB,LAC,139,140,2022-06-20
Darrell Henderson,RB,LA,140.5,141,2022-06-20
Cole Kmet,TE,CHI,142.3,142,2022-06-20
Robert Tonyan,TE,GB,142.7,143,2022-06-20
Trevor Lawrence,QB,JAX,143.6,144,2022-06-20
Michael Carter,RB,NYJ,143.8,145,2022-06-20
Jalen Tolbert,WR,DAL,144.4,146,2022-06-20
Albert Okwuegbunam,TE,DEN,147.9,147,2022-06-20
