player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.6,1,2022-08-31
Christian McCaffrey,RB,CAR,1.7,2,2022-08-31
Justin Jefferson,WR,MIN,3.2,3,2022-08-31
Cooper Kupp,WR,LA,4.2,4,2022-08-31
Ja'Marr Chase,WR,CIN,5.5,5,2022-08-31
Austin Ekeler,RB,LAC,5.7,6,2022-08-31
Derrick Henry,RB,TEN,7.8,7,2022-08-31
Stefon Diggs,WR,BUF,8.3,8,2022-08-31
Dalvin Cook,RB,MIN,8.6,9,2022-08-31
Davante Adams,WR,LV,10.5,10,2022-08-31
Najee Harris,RB,PIT,12.3,11,2022-08-31
Travis Kelce,TE,KC,12.8,12,2022-08-31
Joe Mixon,RB,CIN,13.6,13,2022-08-31
Saquon Barkley,RB,NYG,14.2,14,2022-08-31
CeeDee Lamb,WR,DAL,14.4,15,2022-08-31
D'Andre Swift,RB,DET,16,16,2022-08-31
Alvin Kamara,RB,NO,16.2,17,2022-08-31
Aaron Jones,RB,GB,18.3,18,2022-08-31
Deebo Samuel,WR,SF,19.6,19,2022-08-31
Javonte Williams,RB,DEN,20.4,20,2022-08-31
Mark Andrews,TE,BAL,21.7,21,2022-08-31
Tyreek Hill,WR,MIA,22.5,22,2022-08-31
Mike Evans,WR,TB,23.1,23,2022-08-31
Leonard Fournette,RB,TB,24.2,24,2022-08-31
A.J. Brown,WR,PHI,25.1,25,2022-08-31
Nick Chubb,RB,CLE,27,26,2022-08-31
Tee Higgins,WR,CIN,27.5,27,2022-08-31
Michael Pittman,WR,IND,27.6,28,2022-08-31
Kyle Pitts,TE,ATL,27.9,29,2022-08-31
Keenan Allen,WR,LAC,31.1,30,2022-08-31
Mike Williams,WR,LAC,31.2,31,2022-08-31
Josh Allen,QB,BUF,31.7,32,2022-08-31
DJ Moore,WR,CAR,32.8,33,2022-08-31
Courtland Sutton,WR,DEN,33.3,34,2022-08-31
James Conner,RB,ARI,34.7,35,2022-08-31
Travis Etienne,RB,JAX,36.6,36,2022-08-31
Jaylen Waddle,WR,MIA,38.3,37,2022-08-31
Allen Robinson,WR,LA,38.8,38,2022-08-31
Gabriel Davis,WR,BUF,39.8,39,2022-08-31
Ezekiel Elliott,RB,DAL,40.8,40,2022-08-31
Terry McLaurin,WR,WAS,42.2,41,2022-08-31
Marquise Brown,WR,ARI,42.4,42,2022-08-31
Jerry Jeudy,WR,DEN,43.7,43,2022-08-31
Justin Herbert,QB,LAC,44.4,44,2022-08-31
JuJu Smith-Schuster,WR,KC,45.3,45,2022-08-31
Lamar Jackson,QB,BAL,47.6,46,2022-08-31
Breece Hall,RB,NYJ,47.9,47,2022-08-31
Diontae Johnson,WR,PIT,49.1,48,2022-08-31
Patrick Mahomes,QB,KC,49.7,49,2022-08-31
Brandin Cooks,WR,HOU,50.9,50,2022-08-31
George Kittle,TE,SF,52.3,51,2022-08-31
Amon-Ra St. Brown,WR,DET,52.7,52,2022-08-31
Rashod Bateman,WR,BAL,53.1,53,2022-08-31
Chris Godwin,WR,TB,53.3,54,2022-08-31
Cam Akers,RB,LA,56.1,55,2022-08-31
Darren Waller,TE,LV,56.1,56,2022-08-31
D.K. Metcalf,WR,SEA,57.6,57,2022-08-31
Michael Thomas,WR,NO,58.5,58,2022-08-31
AJ Dillon,RB,GB,58.6,59,2022-08-31
J.K. Dobbins,RB,BAL,59.5,60,2022-08-31
Jalen Hurts,QB,PHI,59.6,61,2022-08-31
Darnell Mooney,WR,CHI,61,62,2022-08-31
Kyler Murray,QB,ARI,62.3,63,2022-08-31
David Montgomery,RB,CHI,64.8,64,2022-08-31
Elijah Moore,WR,NYJ,66.2,65,2022-08-31
Adam Thielen,WR,MIN,66.5,66,2022-08-31
Brandon Aiyuk,WR,SF,67.4,67,2022-08-31
Elijah Mitchell,RB,SF,68.6,68,2022-08-31
Allen Lazard,WR,GB,70.2,69,2022-08-31
Trey Lance,QB,SF,71.2,70,2022-08-31
Dalton Schultz,TE,DAL,72.2,71,2022-08-31
Drake London,WR,ATL,73.8,72,2022-08-31
Joe Burrow,QB,CIN,75.3,73,2022-08-31
DeAndre Hopkins,WR,ARI,75.8,74,2022-08-31
Christian Kirk,WR,JAX,76.2,75,2022-08-31
Dameon Pierce,RB,HOU,76.5,76,2022-08-31
DeVonta Smith,WR,PHI,76.7,77,2022-08-31
Chase Edmonds,RB,MIA,78.4,78,2022-08-31
Amari Cooper,WR,CLE,78.5,79,2022-08-31
