player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.4,1,2022-08-14
Christian McCaffrey,RB,CAR,1.9,2,2022-08-14
Justin Jefferson,WR,MIN,3.4,3,2022-08-14
Cooper Kupp,WR,LA,4,4,2022-08-14
Ja'Marr Chase,WR,CIN,5.3,5,2022-08-14
Austin Ekeler,RB,LAC,6.2,6,2022-08-14
Stefon Diggs,WR,BUF,7.9,7,2022-08-14
Derrick Henry,RB,TEN,8.1,8,2022-08-14
Dalvin Cook,RB,MIN,8.9,9,2022-08-14
Davante Adams,WR,LV,10.8,10,2022-08-14
Najee Harris,RB,PIT,11.4,11,2022-08-14
Travis Kelce,TE,KC,12.5,12,2022-08-14
CeeDee Lamb,WR,DAL,13.3,13,2022-08-14
Joe Mixon,RB,CIN,13.8,14,2022-08-14
Saquon Barkley,RB,NYG,15.3,15,2022-08-14
D'Andre Swift,RB,DET,15.8,16,2022-08-14
Deebo Samuel,WR,SF,17.4,17,2022-08-14
Aaron Jones,RB,GB,17.8,18,2022-08-14
Mike Evans,WR,TB,20.6,19,2022-08-14
Mark Andrews,TE,BAL,21.4,20,2022-08-14
Javonte Williams,RB,DEN,21.6,21,2022-08-14
Alvin Kamara,RB,NO,21.6,22,2022-08-14
Tyreek Hill,WR,MIA,22.3,23,2022-08-14
Leonard Fournette,RB,TB,24.6,24,2022-08-14
Nick Chubb,RB,CLE,25.5,25,2022-08-14
Tee Higgins,WR,CIN,25.9,26,2022-08-14
A.J. Brown,WR,PHI,26.6,27,2022-08-14
Michael Pittman,WR,IND,28,28,2022-08-14
Keenan Allen,WR,LAC,29.5,29,2022-08-14
Mike Williams,WR,LAC,30.6,30,2022-08-14
Josh Allen,QB,BUF,31.5,31,2022-08-14
Kyle Pitts,TE,ATL,32,32,2022-08-14
DJ Moore,WR,CAR,33.1,33,2022-08-14
Courtland Sutton,WR,DEN,34,34,2022-08-14
James Conner,RB,ARI,34.7,35,2022-08-14
Travis Etienne,RB,JAX,35.9,36,2022-08-14
Jaylen Waddle,WR,MIA,38,37,2022-08-14
Ezekiel Elliott,RB,DAL,38.5,38,2022-08-14
Allen Robinson,WR,LA,40.4,39,2022-08-14
Terry McLaurin,WR,WAS,40.8,40,2022-08-14
Marquise Brown,WR,ARI,41.7,41,2022-08-14
Breece Hall,RB,NYJ,42.3,42,2022-08-14
Jerry Jeudy,WR,DEN,44.3,43,2022-08-14
Gabriel Davis,WR,BUF,44.8,44,2022-08-14
Justin Herbert,QB,LAC,45.1,45,2022-08-14
Cam Akers,RB,LA,46.9,46,2022-08-14
Diontae Johnson,WR,PIT,48.3,47,2022-08-14
Lamar Jackson,QB,BAL,48.9,48,2022-08-14
JuJu Smith-Schuster,WR,KC,49.5,49,2022-08-14
Darren Waller,TE,LV,51.1,50,2022-08-14
Brandin Cooks,WR,HOU,51.8,51,2022-08-14
Patrick Mahomes,QB,KC,52,52,2022-08-14
George Kittle,TE,SF,53.4,53,2022-08-14
Rashod Bateman,WR,BAL,54.3,54,2022-08-14
D.K. Metcalf,WR,SEA,54.7,55,2022-08-14
J.K. Dobbins,RB,BAL,55.5,56,2022-08-14
Chris Godwin,WR,TB,56.2,57,2022-08-14
Michael Thomas,WR,NO,56.8,58,2022-08-14
Darnell Mooney,WR,CHI,59.8,59,2022-08-14
David Montgomery,RB,CHI,60.1,60,2022-08-14
Amon-Ra St. Brown,WR,DET,60.3,61,2022-08-14
Kyler Murray,QB,ARI,62.1,62,2022-08-14
Elijah Mitchell,RB,SF,63.6,63,2022-08-14
Jalen Hurts,QB,PHI,63.7,64,2022-08-14
AJ Dillon,RB,GB,65.6,65,2022-08-14
Elijah Moore,WR,NYJ,66.4,66,2022-08-14
Adam Thielen,WR,MIN,69.6,67,2022-08-14
Amari Cooper,WR,CLE,69.6,68,2022-08-14
Josh Jacobs,RB,LV,70.3,69,2022-08-14
Drake London,WR,ATL,70.4,70,2022-08-14
Dalton Schultz,TE,DAL,71.1,71,2022-08-14
Trey Lance,QB,SF,71.8,72,2022-08-14
DeAndre Hopkins,WR,ARI,73.8,73,2022-08-14
Brandon Aiyuk,WR,SF,74.1,74,2022-08-14
Allen Lazard,WR,GB,74.5,75,2022-08-14
Joe Burrow,QB,CIN,75,76,2022-08-14
DeVonta Smith,WR,PHI,77.4,77,2022-08-14
Kadarius Toney,WR,NYG,78.6,78,2022-08-14
Russell Wilson,QB,DEN,79.1,79,2022-08-14
Antonio Gibson,RB,WAS,79.4,80,2022-08-14
Tony Pollard,RB,DAL,80.8,81,2022-08-14
Christian Kirk,WR,JAX,82.8,82,2022-08-14
Miles Sanders,RB,PHI,83.5,83,2022-08-14
Hunter Renfrow,WR,LV,84,84,2022-08-14
Tom Brady,QB,TB,86.1,85,2022-08-14
Clyde Edwards-Helaire,RB,KC,86.4,86,2022-08-14
Chris Olave,WR,NO,89.1,87,2022-08-14
Dak Prescott,QB,DAL,89.5,88,2022-08-14
Chase Edmonds,RB,MIA,90.2,89,2022-08-14
T.J. Hockenson,TE,DET,90.5,90,2022-08-14
Rhamondre Stevenson,RB,NE,91.1,91,2022-08-14
Treylon Burks,WR,TEN,91.2,92,2022-08-14
Skyy Moore,WR,KC,91.4,93,2022-08-14
Rashaad Penny,RB,SEA,94.4,94,2022-08-14
Kareem Hunt,RB,CLE,95.2,95,2022-08-14
Dallas Goedert,TE,PHI,95.5,96,2022-08-14
Marquez Valdes-Scantling,WR,KC,96.8,97,2022-08-14
Damien Harris,RB,NE,99.2,98,2022-08-14
Robert Woods,WR,TEN,99.8,99,2022-08-14
Tyler Lockett,WR,SEA,100,100,2022-08-14
James Cook,RB,BUF,100.3,101,2022-08-14
Kenneth Walker,RB,SEA,103.7,102,2022-08-14
Matthew Stafford,QB,LA,104.1,103,2022-08-14
Dawson Knox,TE,BUF,104.4,104,2022-08-14
