player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-05-17
Cooper Kupp,WR,LA,2.6,2,2022-05-17
Christian McCaffrey,RB,CAR,3.1,3,2022-05-17
Justin Jefferson,WR,MIN,4.7,4,2022-05-17
Ja'Marr Chase,WR,CIN,5.3,5,2022-05-17
Derrick Henry,RB,TEN,6,6,2022-05-17
Austin Ekeler,RB,LAC,6.8,7,2022-05-17
Najee Harris,RB,PIT,8.2,8,2022-05-17
Davante Adams,WR,LV,10.2,9,2022-05-17
Stefon Diggs,WR,BUF,10.3,10,2022-05-17
Dalvin Cook,RB,MIN,10.9,11,2022-05-17
Joe Mixon,RB,CIN,11.9,12,2022-05-17
Travis Kelce,TE,KC,12.6,13,2022-05-17
CeeDee Lamb,WR,DAL,14.3,14,2022-05-17
Deebo Samuel,WR,SF,16.6,15,2022-05-17
Mark Andrews,TE,BAL,16.9,16,2022-05-17
D'Andre Swift,RB,DET,17.3,17,2022-05-17
Alvin Kamara,RB,NO,19,18,2022-05-17
Tyreek Hill,WR,MIA,20.1,19,2022-05-17
Mike Evans,WR,TB,20.7,20,2022-05-17
Nick Chubb,RB,CLE,21.5,21,2022-05-17
Javonte Williams,RB,DEN,22.4,22,2022-05-17
A.J. Brown,WR,PHI,23.8,23,2022-05-17
Leonard Fournette,RB,TB,24.5,24,2022-05-17
Josh Allen,QB,BUF,24.9,25,2022-05-17
Aaron Jones,RB,GB,25.5,26,2022-05-17
Tee Higgins,WR,CIN,25.7,27,2022-05-17
Saquon Barkley,RB,NYG,27.4,28,2022-05-17
Keenan Allen,WR,LAC,28,29,2022-05-17
James Conner,RB,ARI,30.7,30,2022-05-17
Kyle Pitts,TE,ATL,31.1,31,2022-05-17
Jaylen Waddle,WR,MIA,33.1,32,2022-05-17
Diontae Johnson,WR,PIT,35.8,33,2022-05-17
Michael Pittman,WR,IND,36.3,34,2022-05-17
Cam Akers,RB,LA,36.5,35,2022-05-17
DJ Moore,WR,CAR,36.9,36,2022-05-17
Patrick Mahomes,QB,KC,38.3,37,2022-05-17
Mike Williams,WR,LAC,39.8,38,2022-05-17
Darren Waller,TE,LV,40.2,39,2022-05-17
D.K. Metcalf,WR,SEA,41.4,40,2022-05-17
Marquise Brown,WR,ARI,41.5,41,2022-05-17
Amari Cooper,WR,CLE,43.4,42,2022-05-17
Lamar Jackson,QB,BAL,44.2,43,2022-05-17
George Kittle,TE,SF,45.3,44,2022-05-17
Ezekiel Elliott,RB,DAL,45.5,45,2022-05-17
Chris Godwin,WR,TB,45.7,46,2022-05-17
Justin Herbert,QB,LAC,47.2,47,2022-05-17
Terry McLaurin,WR,WAS,48.1,48,2022-05-17
David Montgomery,RB,CHI,48.5,49,2022-05-17
J.K. Dobbins,RB,BAL,48.5,50,2022-05-17
Breece Hall,RB,NYJ,49,51,2022-05-17
Jerry Jeudy,WR,DEN,50.7,52,2022-05-17
Courtland Sutton,WR,DEN,52.4,53,2022-05-17
Allen Robinson,WR,LA,54.5,54,2022-05-17
Antonio Gibson,RB,WAS,55.3,55,2022-05-17
Gabriel Davis,WR,BUF,56.1,56,2022-05-17
JuJu Smith-Schuster,WR,KC,57.1,57,2022-05-17
Travis Etienne,RB,JAX,58.4,58,2022-05-17
Michael Thomas,WR,NO,58.9,59,2022-05-17
Kyler Murray,QB,ARI,59.4,60,2022-05-17
Rashod Bateman,WR,BAL,60.9,61,2022-05-17
Josh Jacobs,RB,LV,61.3,62,2022-05-17
Brandin Cooks,WR,HOU,64.2,63,2022-05-17
Joe Burrow,QB,CIN,64.7,64,2022-05-17
Jalen Hurts,QB,PHI,65.4,65,2022-05-17
Darnell Mooney,WR,CHI,66.3,66,2022-05-17
Elijah Mitchell,RB,SF,67.7,67,2022-05-17
Elijah Moore,WR,NYJ,67.9,68,2022-05-17
Drake London,WR,ATL,70,69,2022-05-17
Treylon Burks,WR,TEN,71.1,70,2022-05-17
Amon-Ra St. Brown,WR,DET,71.4,71,2022-05-17
Tom Brady,QB,TB,73.1,72,2022-05-17
DeVonta Smith,WR,PHI,73.5,73,2022-05-17
DeAndre Hopkins,WR,ARI,73.8,74,2022-05-17
AJ Dillon,RB,GB,74.4,75,2022-05-17
Russell Wilson,QB,DEN,75.8,76,2022-05-17
T.J. Hockenson,TE,DET,77,77,2022-05-17
Adam Thielen,WR,MIN,77.9,78,2022-05-17
Dalton Schultz,TE,DAL,79.4,79,2022-05-17
Skyy Moore,WR,KC,82,80,2022-05-17
Brandon Aiyuk,WR,SF,82.6,81,2022-05-17
Miles Sanders,RB,PHI,82.6,82,2022-05-17
Dak Prescott,QB,DAL,82.6,83,2022-05-17
Cordarrelle Patterson,RB,ATL,84.3,84,2022-05-17
Hunter Renfrow,WR,LV,85.7,85,2022-05-17
Clyde Edwards-Helaire,RB,KC,86,86,2022-05-17
Tyler Lockett,WR,SEA,88.5,87,2022-05-17
Matthew Stafford,QB,LA,89.4,88,2022-05-17
Damien Harris,RB,NE,89.4,89,2022-05-17
Kenneth Walker,RB,SEA,90.4,90,2022-05-17
Dallas Goedert,TE,PHI,91.8,91,2022-05-17
Tony Pollard,RB,DAL,92.2,92,2022-05-17
Chris Olave,WR,NO,93.1,93,2022-05-17
Garrett Wilson,WR,NYJ,94.6,94,2022-05-17
Christian Kirk,WR,JAX,96.1,95,2022-05-17
Dawson Knox,TE,BUF,97,96,2022-05-17
Christian Watson,WR,GB,97.6,97,2022-05-17
Aaron Rodgers,QB,GB,98.6,98,2022-05-17
Kareem Hunt,RB,CLE,98.8,99,2022-05-17
