player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-05-24
Cooper Kupp,WR,LA,2.6,2,2022-05-24
Christian McCaffrey,RB,CAR,3.2,3,2022-05-24
Justin Jefferson,WR,MIN,4.4,4,2022-05-24
Ja'Marr Chase,WR,CIN,5.3,5,2022-05-24
Derrick Henry,RB,TEN,6.1,6,2022-05-24
Austin Ekeler,RB,LAC,6.9,7,2022-05-24
Najee Harris,RB,PIT,8.1,8,2022-05-24
Stefon Diggs,WR,BUF,9.6,9,2022-05-24
Dalvin Cook,RB,MIN,10.4,10,2022-05-24
Davante Adams,WR,LV,11.5,11,2022-05-24
Joe Mixon,RB,CIN,11.8,12,2022-05-24
Travis Kelce,TE,KC,12.4,13,2022-05-24
CeeDee Lamb,WR,DAL,14.3,14,2022-05-24
Mark Andrews,TE,BAL,16.3,15,2022-05-24
D'Andre Swift,RB,DET,17.3,16,2022-05-24
Deebo Samuel,WR,SF,17.5,17,2022-05-24
Mike Evans,WR,TB,19,18,2022-05-24
Alvin Kamara,RB,NO,19.8,19,2022-05-24
Aaron Jones,RB,GB,20.3,20,2022-05-24
Tyreek Hill,WR,MIA,21.2,21,2022-05-24
Nick Chubb,RB,CLE,22.6,22,2022-05-24
Javonte Williams,RB,DEN,23.6,23,2022-05-24
Leonard Fournette,RB,TB,23.8,24,2022-05-24
A.J. Brown,WR,PHI,25.2,25,2022-05-24
Tee Higgins,WR,CIN,26,26,2022-05-24
Josh Allen,QB,BUF,26.8,27,2022-05-24
Saquon Barkley,RB,NYG,26.8,28,2022-05-24
Keenan Allen,WR,LAC,28,29,2022-05-24
James Conner,RB,ARI,29.8,30,2022-05-24
Kyle Pitts,TE,ATL,30.6,31,2022-05-24
Michael Pittman,WR,IND,34.2,32,2022-05-24
Jaylen Waddle,WR,MIA,34.3,33,2022-05-24
Mike Williams,WR,LAC,36.6,34,2022-05-24
Cam Akers,RB,LA,36.6,35,2022-05-24
DJ Moore,WR,CAR,37.1,36,2022-05-24
Diontae Johnson,WR,PIT,38.7,37,2022-05-24
Patrick Mahomes,QB,KC,39.3,38,2022-05-24
Marquise Brown,WR,ARI,40.1,39,2022-05-24
Darren Waller,TE,LV,41.6,40,2022-05-24
Ezekiel Elliott,RB,DAL,42.1,41,2022-05-24
D.K. Metcalf,WR,SEA,43,42,2022-05-24
Amari Cooper,WR,CLE,44.2,43,2022-05-24
Terry McLaurin,WR,WAS,45.4,44,2022-05-24
George Kittle,TE,SF,45.5,45,2022-05-24
Justin Herbert,QB,LAC,46.6,46,2022-05-24
Breece Hall,RB,NYJ,47,47,2022-05-24
Lamar Jackson,QB,BAL,47,48,2022-05-24
David Montgomery,RB,CHI,47.8,49,2022-05-24
Jerry Jeudy,WR,DEN,48.7,50,2022-05-24
Chris Godwin,WR,TB,49.4,51,2022-05-24
Courtland Sutton,WR,DEN,51.6,52,2022-05-24
J.K. Dobbins,RB,BAL,51.8,53,2022-05-24
Allen Robinson,WR,LA,52.7,54,2022-05-24
JuJu Smith-Schuster,WR,KC,55.7,55,2022-05-24
Gabriel Davis,WR,BUF,56.2,56,2022-05-24
Travis Etienne,RB,JAX,56.2,57,2022-05-24
Antonio Gibson,RB,WAS,58.6,58,2022-05-24
Kyler Murray,QB,ARI,60.1,59,2022-05-24
Michael Thomas,WR,NO,60.9,60,2022-05-24
Rashod Bateman,WR,BAL,61.1,61,2022-05-24
Josh Jacobs,RB,LV,61.2,62,2022-05-24
Brandin Cooks,WR,HOU,62,63,2022-05-24
Jalen Hurts,QB,PHI,65,64,2022-05-24
Darnell Mooney,WR,CHI,65.4,65,2022-05-24
Joe Burrow,QB,CIN,65.6,66,2022-05-24
Elijah Mitchell,RB,SF,67.5,67,2022-05-24
Elijah Moore,WR,NYJ,69,68,2022-05-24
Drake London,WR,ATL,69.4,69,2022-05-24
Amon-Ra St. Brown,WR,DET,71.5,70,2022-05-24
Treylon Burks,WR,TEN,71.8,71,2022-05-24
AJ Dillon,RB,GB,71.9,72,2022-05-24
Tom Brady,QB,TB,74.1,73,2022-05-24
DeVonta Smith,WR,PHI,74.3,74,2022-05-24
DeAndre Hopkins,WR,ARI,75.1,75,2022-05-24
Russell Wilson,QB,DEN,76.7,76,2022-05-24
Adam Thielen,WR,MIN,77.5,77,2022-05-24
T.J. Hockenson,TE,DET,78.6,78,2022-05-24
Dalton Schultz,TE,DAL,78.7,79,2022-05-24
Miles Sanders,RB,PHI,79.1,80,2022-05-24
Clyde Edwards-Helaire,RB,KC,81.8,81,2022-05-24
Skyy Moore,WR,KC,82.6,82,2022-05-24
