player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-06-14
Cooper Kupp,WR,LA,2.6,2,2022-06-14
Christian McCaffrey,RB,CAR,3,3,2022-06-14
Justin Jefferson,WR,MIN,4.2,4,2022-06-14
Ja'Marr Chase,WR,CIN,5.1,5,2022-06-14
Austin Ekeler,RB,LAC,6.5,6,2022-06-14
Derrick Henry,RB,TEN,7.4,7,2022-06-14
Stefon Diggs,WR,BUF,8.5,8,2022-06-14
Najee Harris,RB,PIT,9.4,9,2022-06-14
Dalvin Cook,RB,MIN,10.1,10,2022-06-14
Davante Adams,WR,LV,11.1,11,2022-06-14
Travis Kelce,TE,KC,11.9,12,2022-06-14
CeeDee Lamb,WR,DAL,13.3,13,2022-06-14
Joe Mixon,RB,CIN,13.4,14,2022-06-14
Mark Andrews,TE,BAL,16.5,15,2022-06-14
D'Andre Swift,RB,DET,16.7,16,2022-06-14
Deebo Samuel,WR,SF,17.4,17,2022-06-14
Mike Evans,WR,TB,18.2,18,2022-06-14
Aaron Jones,RB,GB,18.2,19,2022-06-14
Tyreek Hill,WR,MIA,20.9,20,2022-06-14
Alvin Kamara,RB,NO,22,21,2022-06-14
Leonard Fournette,RB,TB,23.2,22,2022-06-14
Tee Higgins,WR,CIN,23.4,23,2022-06-14
Saquon Barkley,RB,NYG,23.5,24,2022-06-14
A.J. Brown,WR,PHI,25.1,25,2022-06-14
Nick Chubb,RB,CLE,26.2,26,2022-06-14
Javonte Williams,RB,DEN,27.3,27,2022-06-14
Keenan Allen,WR,LAC,27.4,28,2022-06-14
Mike Williams,WR,LAC,29.1,29,2022-06-14
Josh Allen,QB,BUF,29.9,30,2022-06-14
Michael Pittman,WR,IND,30.6,31,2022-06-14
Kyle Pitts,TE,ATL,31.8,32,2022-06-14
James Conner,RB,ARI,33,33,2022-06-14
Jaylen Waddle,WR,MIA,35.3,34,2022-06-14
Marquise Brown,WR,ARI,35.9,35,2022-06-14
DJ Moore,WR,CAR,37.1,36,2022-06-14
Courtland Sutton,WR,DEN,39,37,2022-06-14
Diontae Johnson,WR,PIT,40.6,38,2022-06-14
Ezekiel Elliott,RB,DAL,40.6,39,2022-06-14
Patrick Mahomes,QB,KC,40.9,40,2022-06-14
Jerry Jeudy,WR,DEN,42.8,41,2022-06-14
Darren Waller,TE,LV,43,42,2022-06-14
Travis Etienne,RB,JAX,44.1,43,2022-06-14
Justin Herbert,QB,LAC,44.6,44,2022-06-14
Cam Akers,RB,LA,45,45,2022-06-14
Terry McLaurin,WR,WAS,45.2,46,2022-06-14
Allen Robinson,WR,LA,47.1,47,2022-06-14
D.K. Metcalf,WR,SEA,47.2,48,2022-06-14
George Kittle,TE,SF,49.4,49,2022-06-14
Breece Hall,RB,NYJ,49.6,50,2022-06-14
Gabriel Davis,WR,BUF,50.5,51,2022-06-14
David Montgomery,RB,CHI,51.9,52,2022-06-14
Lamar Jackson,QB,BAL,52.6,53,2022-06-14
Chris Godwin,WR,TB,54.1,54,2022-06-14
Rashod Bateman,WR,BAL,54.6,55,2022-06-14
Amari Cooper,WR,CLE,55.2,56,2022-06-14
J.K. Dobbins,RB,BAL,56,57,2022-06-14
Brandin Cooks,WR,HOU,56.4,58,2022-06-14
JuJu Smith-Schuster,WR,KC,57.7,59,2022-06-14
Darnell Mooney,WR,CHI,60.1,60,2022-06-14
Kyler Murray,QB,ARI,61.1,61,2022-06-14
Josh Jacobs,RB,LV,61.8,62,2022-06-14
Jalen Hurts,QB,PHI,63.7,63,2022-06-14
Elijah Moore,WR,NYJ,66.9,64,2022-06-14
Antonio Gibson,RB,WAS,67,65,2022-06-14
Drake London,WR,ATL,67.5,66,2022-06-14
Amon-Ra St. Brown,WR,DET,68.3,67,2022-06-14
Joe Burrow,QB,CIN,69.3,68,2022-06-14
Michael Thomas,WR,NO,70.3,69,2022-06-14
DeVonta Smith,WR,PHI,70.3,70,2022-06-14
Dalton Schultz,TE,DAL,71,71,2022-06-14
Elijah Mitchell,RB,SF,71.7,72,2022-06-14
Adam Thielen,WR,MIN,72.7,73,2022-06-14
AJ Dillon,RB,GB,73.8,74,2022-06-14
DeAndre Hopkins,WR,ARI,75.7,75,2022-06-14
Treylon Burks,WR,TEN,76,76,2022-06-14
Clyde Edwards-Helaire,RB,KC,76.5,77,2022-06-14
Russell Wilson,QB,DEN,77.6,78,2022-06-14
Tom Brady,QB,TB,78.9,79,2022-06-14
Brandon Aiyuk,WR,SF,80,80,2022-06-14
Hunter Renfrow,WR,LV,80.9,81,2022-06-14
Miles Sanders,RB,PHI,81.5,82,2022-06-14
T.J. Hockenson,TE,DET,84.4,83,2022-06-14
Russell Gage,WR,TB,84.5,84,2022-06-14
Dak Prescott,QB,DAL,86,85,2022-06-14
Christian Kirk,WR,JAX,86.5,86,2022-06-14
Skyy Moore,WR,KC,88.3,87,2022-06-14
Kenneth Walker,RB,SEA,88.4,88,2022-06-14
Tony Pollard,RB,DAL,89.4,89,2022-06-14
Trey Lance,QB,SF,90.3,90,2022-06-14
Tyler Lockett,WR,SEA,91.7,91,2022-06-14
Allen Lazard,WR,GB,92.7,92,2022-06-14
Matthew Stafford,QB,LA,93.4,93,2022-06-14
Cordarrelle Patterson,RB,ATL,94.7,94,2022-06-14
Kadarius Toney,WR,NYG,95.2,95,2022-06-14
Damien Harris,RB,NE,96,96,2022-06-14
Marquez Valdes-Scantling,WR,KC,96,97,2022-06-14
Dallas Goedert,TE,PHI,96.4,98,2022-06-14
Kareem Hunt,RB,CLE,98.4,99,2022-06-14
Chris Olave,WR,NO,99.6,100,2022-06-14
Dawson Knox,TE,BUF,102.6,101,2022-06-14
Garrett Wilson,WR,NYJ,102.7,102,2022-06-14
Chase Claypool,WR,PIT,104.3,103,2022-06-14
Aaron Rodgers,QB,GB,104.4,104,2022-06-14
Robert Woods,WR,TEN,105.9,105,2022-06-14
