player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.4,1,2022-08-07
Christian McCaffrey,RB,CAR,2,2,2022-08-07
Justin Jefferson,WR,MIN,3.5,3,2022-08-07
Cooper Kupp,WR,LA,3.6,4,2022-08-07
Ja'Marr Chase,WR,CIN,5.2,5,2022-08-07
Austin Ekeler,RB,LAC,6.4,6,2022-08-07
Stefon Diggs,WR,BUF,7.6,7,2022-08-07
Derrick Henry,RB,TEN,8.5,8,2022-08-07
Dalvin Cook,RB,MIN,9.1,9,2022-08-07
Davante Adams,WR,LV,10.5,10,2022-08-07
Najee Harris,RB,PIT,11.7,11,2022-08-07
Travis Kelce,TE,KC,11.9,12,2022-08-07
CeeDee Lamb,WR,DAL,12.9,13,2022-08-07
Joe Mixon,RB,CIN,14.2,14,2022-08-07
D'Andre Swift,RB,DET,15.6,15,2022-08-07
Saquon Barkley,RB,NYG,15.9,16,2022-08-07
Deebo Samuel,WR,SF,16.9,17,2022-08-07
Aaron Jones,RB,GB,17.5,18,2022-08-07
Mike Evans,WR,TB,19.6,19,2022-08-07
Mark Andrews,TE,BAL,21,20,2022-08-07
Tyreek Hill,WR,MIA,21.6,21,2022-08-07
Javonte Williams,RB,DEN,22.8,22,2022-08-07
Leonard Fournette,RB,TB,24.3,23,2022-08-07
Alvin Kamara,RB,NO,24.4,24,2022-08-07
Tee Higgins,WR,CIN,24.6,25,2022-08-07
Nick Chubb,RB,CLE,26,26,2022-08-07
A.J. Brown,WR,PHI,26.4,27,2022-08-07
Michael Pittman,WR,IND,28.3,28,2022-08-07
Keenan Allen,WR,LAC,29.1,29,2022-08-07
Mike Williams,WR,LAC,30.4,30,2022-08-07
Josh Allen,QB,BUF,31.4,31,2022-08-07
Kyle Pitts,TE,ATL,32.3,32,2022-08-07
DJ Moore,WR,CAR,32.4,33,2022-08-07
Courtland Sutton,WR,DEN,33.9,34,2022-08-07
James Conner,RB,ARI,34.9,35,2022-08-07
Travis Etienne,RB,JAX,36.5,36,2022-08-07
Jaylen Waddle,WR,MIA,37.7,37,2022-08-07
Ezekiel Elliott,RB,DAL,39.1,38,2022-08-07
Marquise Brown,WR,ARI,40.6,39,2022-08-07
Terry McLaurin,WR,WAS,40.7,40,2022-08-07
Allen Robinson,WR,LA,41.4,41,2022-08-07
Breece Hall,RB,NYJ,41.9,42,2022-08-07
Gabriel Davis,WR,BUF,43.7,43,2022-08-07
Jerry Jeudy,WR,DEN,44.1,44,2022-08-07
Justin Herbert,QB,LAC,45.5,45,2022-08-07
Diontae Johnson,WR,PIT,47,46,2022-08-07
Cam Akers,RB,LA,47.1,47,2022-08-07
Darren Waller,TE,LV,48.3,48,2022-08-07
Lamar Jackson,QB,BAL,49.1,49,2022-08-07
Brandin Cooks,WR,HOU,51.1,50,2022-08-07
Patrick Mahomes,QB,KC,51.5,51,2022-08-07
JuJu Smith-Schuster,WR,KC,51.6,52,2022-08-07
George Kittle,TE,SF,52.7,53,2022-08-07
