player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.3,1,2022-07-28
Christian McCaffrey,RB,CAR,2.2,2,2022-07-28
Cooper Kupp,WR,LA,3.3,3,2022-07-28
Justin Jefferson,WR,MIN,3.8,4,2022-07-28
Ja'Marr Chase,WR,CIN,5.3,5,2022-07-28
Austin Ekeler,RB,LAC,6.3,6,2022-07-28
Derrick Henry,RB,TEN,8,7,2022-07-28
Stefon Diggs,WR,BUF,8.1,8,2022-07-28
Dalvin Cook,RB,MIN,8.9,9,2022-07-28
Najee Harris,RB,PIT,10.3,10,2022-07-28
Davante Adams,WR,LV,11.1,11,2022-07-28
Travis Kelce,TE,KC,12.2,12,2022-07-28
Joe Mixon,RB,CIN,13.6,13,2022-07-28
CeeDee Lamb,WR,DAL,13.9,14,2022-07-28
D'Andre Swift,RB,DET,15,15,2022-07-28
Mike Evans,WR,TB,16.5,16,2022-07-28
Aaron Jones,RB,GB,17.1,17,2022-07-28
Saquon Barkley,RB,NYG,17.7,18,2022-07-28
Deebo Samuel,WR,SF,19.2,19,2022-07-28
Mark Andrews,TE,BAL,20.7,20,2022-07-28
Tyreek Hill,WR,MIA,21.6,21,2022-07-28
Javonte Williams,RB,DEN,22.6,22,2022-07-28
Leonard Fournette,RB,TB,23.3,23,2022-07-28
Tee Higgins,WR,CIN,23.5,24,2022-07-28
Nick Chubb,RB,CLE,25,25,2022-07-28
A.J. Brown,WR,PHI,27,26,2022-07-28
Keenan Allen,WR,LAC,27.7,27,2022-07-28
Michael Pittman,WR,IND,28.4,28,2022-07-28
Mike Williams,WR,LAC,29,29,2022-07-28
Josh Allen,QB,BUF,30.5,30,2022-07-28
DJ Moore,WR,CAR,31.4,31,2022-07-28
Kyle Pitts,TE,ATL,32.5,32,2022-07-28
Alvin Kamara,RB,NO,32.9,33,2022-07-28
James Conner,RB,ARI,33,34,2022-07-28
Travis Etienne,RB,JAX,35.4,35,2022-07-28
Courtland Sutton,WR,DEN,36.9,36,2022-07-28
Marquise Brown,WR,ARI,37.3,37,2022-07-28
Jaylen Waddle,WR,MIA,38.4,38,2022-07-28
Terry McLaurin,WR,WAS,39.3,39,2022-07-28
Ezekiel Elliott,RB,DAL,40.2,40,2022-07-28
Breece Hall,RB,NYJ,42,41,2022-07-28
Cam Akers,RB,LA,43.1,42,2022-07-28
Diontae Johnson,WR,PIT,43.9,43,2022-07-28
Gabriel Davis,WR,BUF,44.1,44,2022-07-28
Justin Herbert,QB,LAC,44.8,45,2022-07-28
Darren Waller,TE,LV,45.8,46,2022-07-28
Allen Robinson,WR,LA,47.2,47,2022-07-28
Jerry Jeudy,WR,DEN,48.7,48,2022-07-28
Lamar Jackson,QB,BAL,50.5,49,2022-07-28
Brandin Cooks,WR,HOU,50.7,50,2022-07-28
Patrick Mahomes,QB,KC,51.1,51,2022-07-28
George Kittle,TE,SF,51.8,52,2022-07-28
David Montgomery,RB,CHI,52.5,53,2022-07-28
D.K. Metcalf,WR,SEA,53.1,54,2022-07-28
Rashod Bateman,WR,BAL,54.3,55,2022-07-28
JuJu Smith-Schuster,WR,KC,55.4,56,2022-07-28
Darnell Mooney,WR,CHI,57.6,57,2022-07-28
Kyler Murray,QB,ARI,59.2,58,2022-07-28
Amon-Ra St. Brown,WR,DET,60.2,59,2022-07-28
Chris Godwin,WR,TB,60.6,60,2022-07-28
J.K. Dobbins,RB,BAL,60.6,61,2022-07-28
Josh Jacobs,RB,LV,62.5,62,2022-07-28
Jalen Hurts,QB,PHI,63.6,63,2022-07-28
Elijah Mitchell,RB,SF,64.8,64,2022-07-28
AJ Dillon,RB,GB,65.5,65,2022-07-28
Amari Cooper,WR,CLE,66.5,66,2022-07-28
Adam Thielen,WR,MIN,66.9,67,2022-07-28
Elijah Moore,WR,NYJ,68.4,68,2022-07-28
Dalton Schultz,TE,DAL,69.3,69,2022-07-28
DeVonta Smith,WR,PHI,71.9,70,2022-07-28
Joe Burrow,QB,CIN,72,71,2022-07-28
Antonio Gibson,RB,WAS,72.6,72,2022-07-28
DeAndre Hopkins,WR,ARI,73.9,73,2022-07-28
Drake London,WR,ATL,75.3,74,2022-07-28
Russell Gage,WR,TB,75.6,75,2022-07-28
Miles Sanders,RB,PHI,77.4,76,2022-07-28
Russell Wilson,QB,DEN,77.7,77,2022-07-28
Trey Lance,QB,SF,78.2,78,2022-07-28
Allen Lazard,WR,GB,79.5,79,2022-07-28
Hunter Renfrow,WR,LV,80.4,80,2022-07-28
Michael Thomas,WR,NO,80.6,81,2022-07-28
Tony Pollard,RB,DAL,81.5,82,2022-07-28
Christian Kirk,WR,JAX,82.2,83,2022-07-28
Kadarius Toney,WR,NYG,83.4,84,2022-07-28
Tom Brady,QB,TB,84.4,85,2022-07-28
Clyde Edwards-Helaire,RB,KC,87.7,86,2022-07-28
Dak Prescott,QB,DAL,88.1,87,2022-07-28
T.J. Hockenson,TE,DET,88.7,88,2022-07-28
Brandon Aiyuk,WR,SF,89,89,2022-07-28
Damien Harris,RB,NE,90.8,90,2022-07-28
Rashaad Penny,RB,SEA,91.3,91,2022-07-28
Marquez Valdes-Scantling,WR,KC,91.5,92,2022-07-28
Chris Olave,WR,NO,91.9,93,2022-07-28
Kareem Hunt,RB,CLE,94.4,94,2022-07-28
Chase Edmonds,RB,MIA,94.9,95,2022-07-28
Treylon Burks,WR,TEN,95.4,96,2022-07-28
Matthew Stafford,QB,LA,97.2,97,2022-07-28
Dallas Goedert,TE,PHI,98,98,2022-07-28
Devin Singletary,RB,BUF,98.7,99,2022-07-28
Skyy Moore,WR,KC,100.1,100,2022-07-28
Tyler Lockett,WR,SEA,100.5,101,2022-07-28
Rhamondre Stevenson,RB,NE,102.9,102,2022-07-28
Robert Woods,WR,TEN,103,103,2022-07-28
Dawson Knox,TE,BUF,104.6,104,2022-07-28
Chase Claypool,WR,PIT,104.9,105,2022-07-28
Derek Carr,QB,LV,107.7,106,2022-07-28
Kenneth Walker,RB,SEA,107.8,107,2022-07-28
James Cook,RB,BUF,107.8,108,2022-07-28
Zach Ertz,TE,ARI,107.9,109,2022-07-28
Tyler Boyd,WR,CIN,109.5,110,2022-07-28
Melvin Gordon,RB,DEN,109.8,111,2022-07-28
Aaron Rodgers,QB,GB,110.6,112,2022-07-28
Cordarrelle Patterson,RB,ATL,111.3,113,2022-07-28
Garrett Wilson,WR,NYJ,112.1,114,2022-07-28
Kirk Cousins,QB,MIN,115,115,2022-07-28
Tim Patrick,WR,DEN,116.4,116,2022-07-28
Rondale Moore,WR,ARI,119.1,117,2022-07-28
Rachaad White,RB,TB,119.2,118,2022-07-28
Christian Watson,WR,GB,119.3,119,2022-07-28
Irv Smith,TE,MIN,121.8,120,2022-07-28
Kenny Golladay,WR,NYG,122.6,121,2022-07-28
Ronald Jones,RB,KC,122.9,122,2022-07-28
Mecole Hardman,WR,KC,124.8,123,2022-07-28
Alexander Mattison,RB,MIN,126,124,2022-07-28
Justin Fields,QB,CHI,126.2,125,2022-07-28
Isaiah Spiller,RB,LAC,127,126,2022-07-28
Michael Gallup,WR,DAL,127.8,127,2022-07-28
Pat Freiermuth,TE,PIT,128.8,128,2022-07-28
Jakobi Meyers,WR,NE,129,129,2022-07-28
Cole Kmet,TE,CHI,129.9,130,2022-07-28
Dameon Pierce,RB,HOU,130,131,2022-07-28
Tua Tagovailoa,QB,MIA,133.5,132,2022-07-28
Jarvis Landry,WR,NO,134.3,133,2022-07-28
Mike Gesicki,TE,MIA,136.6,134,2022-07-28
Darrell Henderson,RB,LA,137.6,135,2022-07-28
Jameson Williams,WR,DET,138.3,136,2022-07-28
Nyheim Hines,RB,IND,138.4,137,2022-07-28
Jalen Tolbert,WR,DAL,139,138,2022-07-28
Jahan Dotson,WR,WAS,139.6,139,2022-07-28
Joshua Palmer,WR,LAC,140.8,140,2022-07-28
Trevor Lawrence,QB,JAX,140.9,141,2022-07-28
DeVante Parker,WR,NE,141.3,142,2022-07-28
Michael Carter,RB,NYJ,143.9,143,2022-07-28
Tyler Allgeier,RB,ATL,144.9,144,2022-07-28
Hunter Henry,TE,NE,145.7,145,2022-07-28
K.J. Osborn,WR,MIN,145.7,146,2022-07-28
Jamison Crowder,WR,BUF,146.2,147,2022-07-28
Van Jefferson,WR,LA,148.8,148,2022-07-28
Robby Anderson,WR,CAR,150.2,149,2022-07-28
Albert Okwuegbunam,TE,DEN,152,150,2022-07-28
Jameis Winston,QB,NO,152.7,151,2022-07-28
Tyrion Davis-Price,RB,SF,153,152,2022-07-28
Gerald Everett,TE,LAC,154.2,153,2022-07-28
D.J. Chark,WR,DET,154.5,154,2022-07-28
Robert Tonyan,TE,GB,157.3,155,2022-07-28
Matt Ryan,QB,IND,157.5,156,2022-07-28
Kenneth Gainwell,RB,PHI,158.6,157,2022-07-28
Gus Edwards,RB,BAL,158.6,158,2022-07-28
Daniel Jones,QB,NYG,159.4,159,2022-07-28
Khalil Herbert,RB,CHI,159.8,160,2022-07-28
Nico Collins,WR,HOU,159.8,161,2022-07-28
Marvin Jones,WR,JAX,164.2,162,2022-07-28
David Njoku,TE,CLE,164.4,163,2022-07-28
Julio Jones,WR,N/A,164.7,164,2022-07-28
James Robinson,RB,JAX,165.2,165,2022-07-28
Tyler Higbee,TE,LA,166,166,2022-07-28
Noah Fant,TE,SEA,167.9,167,2022-07-28
Corey Davis,WR,NYJ,168.3,168,2022-07-28
Deshaun Watson,QB,CLE,168.5,169,2022-07-28
Mac Jones,QB,NE,170,170,2022-07-28
Alec Pierce,WR,IND,171.4,171,2022-07-28
Jamaal Williams,RB,DET,172.1,172,2022-07-28
Darrel Williams,RB,KC,172.9,173,2022-07-28
Marlon Mack,RB,HOU,173.4,174,2022-07-28
Evan Engram,TE,JAX,174.4,175,2022-07-28
George Pickens,WR,PIT,175.7,176,2022-07-28
Sammy Watkins,WR,GB,176.6,177,2022-07-28
Zach Wilson,QB,NYJ,179.4,178,2022-07-28
Parris Campbell,WR,IND,179.9,179,2022-07-28
Hayden Hurst,TE,CIN,181.7,180,2022-07-28
Austin Hooper,TE,TEN,181.8,181,2022-07-28
J.D. McKissic,RB,WAS,182.7,182,2022-07-28
Kendrick Bourne,WR,NE,183.5,183,2022-07-28
Raheem Mostert,RB,MIA,184,184,2022-07-28
Mark Ingram,RB,NO,187.5,185,2022-07-28
Ryan Tannehill,QB,TEN,188.2,186,2022-07-28
Curtis Samuel,WR,WAS,188.3,187,2022-07-28
Wan'Dale Robinson,WR,NYG,190.4,188,2022-07-28
KJ Hamler,WR,DEN,190.6,189,2022-07-28
Jared Goff,QB,DET,190.9,190,2022-07-28
Brian Robinson Jr.,RB,WAS,192.1,191,2022-07-28
Isaiah McKenzie,WR,BUF,193,192,2022-07-28
Jerick McKinnon,RB,KC,193.1,193,2022-07-28
William Fuller,WR,N/A,195.7,194,2022-07-28
A.J. Green,WR,ARI,196.5,195,2022-07-28
Baker Mayfield,QB,CAR,198.1,196,2022-07-28
Cameron Brate,TE,TB,198.4,197,2022-07-28
Devin Duvernay,WR,BAL,199.6,198,2022-07-28
Chris Evans,RB,CIN,199.9,199,2022-07-28
D'Onta Foreman,RB,CAR,201,200,2022-07-28
Taysom Hill,TE,NO,201.7,201,2022-07-28
David Bell,WR,CLE,203.2,202,2022-07-28
Terrace Marshall,WR,CAR,203.4,203,2022-07-28
Carson Wentz,QB,WAS,203.8,204,2022-07-28
Logan Thomas,TE,WAS,204.7,205,2022-07-28
Zamir White,RB,LV,204.8,206,2022-07-28
Kyle Rudolph,TE,N/A,206,207,2022-07-28
Odell Beckham,WR,N/A,206.5,208,2022-07-28
Davis Mills,QB,HOU,206.6,209,2022-07-28
Brevin Jordan,TE,HOU,206.9,210,2022-07-28
Zay Jones,WR,JAX,208.1,211,2022-07-28
Mo Alie-Cox,TE,IND,208.1,212,2022-07-28
Sony Michel,RB,LA,208.3,213,2022-07-28
D'Ernest Johnson,RB,CLE,210.1,214,2022-07-28
James Washington,WR,DAL,210.3,215,2022-07-28
Donovan Peoples-Jones,WR,CLE,210.3,216,2022-07-28
Jeff Wilson,RB,SF,211,217,2022-07-28
Jalen Guyton,WR,LAC,212,218,2022-07-28
Hassan Haskins,RB,TEN,212.6,219,2022-07-28
Randall Cobb,WR,GB,212.7,220,2022-07-28
Bryan Edwards,WR,LV,213.2,221,2022-07-28
Kenyan Drake,RB,LV,213.2,222,2022-07-28
Marcus Mariota,QB,ATL,213.2,223,2022-07-28
Cedrick Wilson,WR,MIA,213.7,224,2022-07-28
Greg Dulcich,TE,DEN,213.8,225,2022-07-28
Nick Westbrook-Ikhine,WR,TEN,214.1,226,2022-07-28
