player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-06-13
Cooper Kupp,WR,LA,2.5,2,2022-06-13
Christian McCaffrey,RB,CAR,3.1,3,2022-06-13
Justin Jefferson,WR,MIN,4.1,4,2022-06-13
Ja'Marr Chase,WR,CIN,5,5,2022-06-13
Austin Ekeler,RB,LAC,6.5,6,2022-06-13
Derrick Henry,RB,TEN,7.7,7,2022-06-13
Stefon Diggs,WR,BUF,8.2,8,2022-06-13
Najee Harris,RB,PIT,9.7,9,2022-06-13
Dalvin Cook,RB,MIN,10.2,10,2022-06-13
Davante Adams,WR,LV,10.8,11,2022-06-13
Travis Kelce,TE,KC,11.7,12,2022-06-13
CeeDee Lamb,WR,DAL,13,13,2022-06-13
Joe Mixon,RB,CIN,13.7,14,2022-06-13
Mark Andrews,TE,BAL,16.5,15,2022-06-13
D'Andre Swift,RB,DET,16.9,16,2022-06-13
Deebo Samuel,WR,SF,17.3,17,2022-06-13
Mike Evans,WR,TB,17.8,18,2022-06-13
Aaron Jones,RB,GB,18.2,19,2022-06-13
Tyreek Hill,WR,MIA,20.8,20,2022-06-13
Alvin Kamara,RB,NO,22.4,21,2022-06-13
Tee Higgins,WR,CIN,22.9,22,2022-06-13
Leonard Fournette,RB,TB,23.4,23,2022-06-13
Saquon Barkley,RB,NYG,23.7,24,2022-06-13
A.J. Brown,WR,PHI,25,25,2022-06-13
Nick Chubb,RB,CLE,26.7,26,2022-06-13
Keenan Allen,WR,LAC,27.5,27,2022-06-13
Javonte Williams,RB,DEN,27.9,28,2022-06-13
Mike Williams,WR,LAC,28.7,29,2022-06-13
Josh Allen,QB,BUF,29.5,30,2022-06-13
Michael Pittman,WR,IND,30.6,31,2022-06-13
Kyle Pitts,TE,ATL,32,32,2022-06-13
James Conner,RB,ARI,33.5,33,2022-06-13
Jaylen Waddle,WR,MIA,35.3,34,2022-06-13
Marquise Brown,WR,ARI,35.7,35,2022-06-13
DJ Moore,WR,CAR,37,36,2022-06-13
Courtland Sutton,WR,DEN,38.2,37,2022-06-13
Patrick Mahomes,QB,KC,40.3,38,2022-06-13
Diontae Johnson,WR,PIT,40.8,39,2022-06-13
Ezekiel Elliott,RB,DAL,41.1,40,2022-06-13
Jerry Jeudy,WR,DEN,42.3,41,2022-06-13
Darren Waller,TE,LV,42.7,42,2022-06-13
Travis Etienne,RB,JAX,43.7,43,2022-06-13
Justin Herbert,QB,LAC,44.4,44,2022-06-13
Terry McLaurin,WR,WAS,44.7,45,2022-06-13
Cam Akers,RB,LA,46.1,46,2022-06-13
Allen Robinson,WR,LA,46.9,47,2022-06-13
D.K. Metcalf,WR,SEA,47.9,48,2022-06-13
George Kittle,TE,SF,49.3,49,2022-06-13
Gabriel Davis,WR,BUF,49.8,50,2022-06-13
Breece Hall,RB,NYJ,50.4,51,2022-06-13
Lamar Jackson,QB,BAL,51.5,52,2022-06-13
David Montgomery,RB,CHI,53.6,53,2022-06-13
Chris Godwin,WR,TB,53.6,54,2022-06-13
Rashod Bateman,WR,BAL,55,55,2022-06-13
Amari Cooper,WR,CLE,55.7,56,2022-06-13
J.K. Dobbins,RB,BAL,56.1,57,2022-06-13
Brandin Cooks,WR,HOU,56.4,58,2022-06-13
JuJu Smith-Schuster,WR,KC,57.5,59,2022-06-13
Darnell Mooney,WR,CHI,60.2,60,2022-06-13
Kyler Murray,QB,ARI,60.8,61,2022-06-13
Josh Jacobs,RB,LV,62.2,62,2022-06-13
Jalen Hurts,QB,PHI,63.5,63,2022-06-13
Elijah Moore,WR,NYJ,66.9,64,2022-06-13
Drake London,WR,ATL,67.6,65,2022-06-13
Antonio Gibson,RB,WAS,68,66,2022-06-13
Amon-Ra St. Brown,WR,DET,68.1,67,2022-06-13
Joe Burrow,QB,CIN,69.2,68,2022-06-13
Michael Thomas,WR,NO,69.3,69,2022-06-13
DeVonta Smith,WR,PHI,70,70,2022-06-13
Dalton Schultz,TE,DAL,71.3,71,2022-06-13
Elijah Mitchell,RB,SF,72,72,2022-06-13
Adam Thielen,WR,MIN,72.9,73,2022-06-13
AJ Dillon,RB,GB,74.8,74,2022-06-13
DeAndre Hopkins,WR,ARI,75,75,2022-06-13
Treylon Burks,WR,TEN,75.4,76,2022-06-13
Clyde Edwards-Helaire,RB,KC,76.5,77,2022-06-13
Russell Wilson,QB,DEN,77.5,78,2022-06-13
Tom Brady,QB,TB,78.6,79,2022-06-13
Brandon Aiyuk,WR,SF,79.8,80,2022-06-13
Hunter Renfrow,WR,LV,80.4,81,2022-06-13
Miles Sanders,RB,PHI,82,82,2022-06-13
Russell Gage,WR,TB,85.1,83,2022-06-13
T.J. Hockenson,TE,DET,85.2,84,2022-06-13
Dak Prescott,QB,DAL,85.6,85,2022-06-13
