player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.5,1,2022-09-01
Christian McCaffrey,RB,CAR,1.8,2,2022-09-01
Justin Jefferson,WR,MIN,3.3,3,2022-09-01
Cooper Kupp,WR,LA,4.2,4,2022-09-01
Ja'Marr Chase,WR,CIN,5.6,5,2022-09-01
Austin Ekeler,RB,LAC,5.7,6,2022-09-01
Derrick Henry,RB,TEN,7.7,7,2022-09-01
Stefon Diggs,WR,BUF,8.5,8,2022-09-01
Dalvin Cook,RB,MIN,8.6,9,2022-09-01
Davante Adams,WR,LV,10.7,10,2022-09-01
Najee Harris,RB,PIT,12.2,11,2022-09-01
Travis Kelce,TE,KC,12.8,12,2022-09-01
Joe Mixon,RB,CIN,13.6,13,2022-09-01
Saquon Barkley,RB,NYG,14.1,14,2022-09-01
CeeDee Lamb,WR,DAL,14.7,15,2022-09-01
D'Andre Swift,RB,DET,16,16,2022-09-01
Alvin Kamara,RB,NO,16.4,17,2022-09-01
Aaron Jones,RB,GB,18.3,18,2022-09-01
Deebo Samuel,WR,SF,19.5,19,2022-09-01
Javonte Williams,RB,DEN,20.4,20,2022-09-01
Mark Andrews,TE,BAL,21.7,21,2022-09-01
Tyreek Hill,WR,MIA,22.3,22,2022-09-01
Mike Evans,WR,TB,23.4,23,2022-09-01
Leonard Fournette,RB,TB,24.2,24,2022-09-01
A.J. Brown,WR,PHI,25.5,25,2022-09-01
Nick Chubb,RB,CLE,26.6,26,2022-09-01
Michael Pittman,WR,IND,27.5,27,2022-09-01
Tee Higgins,WR,CIN,27.9,28,2022-09-01
Kyle Pitts,TE,ATL,28.2,29,2022-09-01
Keenan Allen,WR,LAC,31.2,30,2022-09-01
Mike Williams,WR,LAC,31.3,31,2022-09-01
Josh Allen,QB,BUF,31.4,32,2022-09-01
DJ Moore,WR,CAR,32.8,33,2022-09-01
Courtland Sutton,WR,DEN,33.5,34,2022-09-01
James Conner,RB,ARI,34.4,35,2022-09-01
Travis Etienne,RB,JAX,36.4,36,2022-09-01
Jaylen Waddle,WR,MIA,38.8,37,2022-09-01
Allen Robinson,WR,LA,39.3,38,2022-09-01
Gabriel Davis,WR,BUF,40.2,39,2022-09-01
Ezekiel Elliott,RB,DAL,40.5,40,2022-09-01
Terry McLaurin,WR,WAS,42.4,41,2022-09-01
Marquise Brown,WR,ARI,42.4,42,2022-09-01
Justin Herbert,QB,LAC,44.1,43,2022-09-01
Jerry Jeudy,WR,DEN,44.5,44,2022-09-01
JuJu Smith-Schuster,WR,KC,45.7,45,2022-09-01
Lamar Jackson,QB,BAL,47.4,46,2022-09-01
Breece Hall,RB,NYJ,47.7,47,2022-09-01
Diontae Johnson,WR,PIT,49.1,48,2022-09-01
Patrick Mahomes,QB,KC,49.6,49,2022-09-01
Brandin Cooks,WR,HOU,51.3,50,2022-09-01
George Kittle,TE,SF,52.5,51,2022-09-01
Amon-Ra St. Brown,WR,DET,52.7,52,2022-09-01
Rashod Bateman,WR,BAL,53.8,53,2022-09-01
Chris Godwin,WR,TB,53.9,54,2022-09-01
Darren Waller,TE,LV,55.3,55,2022-09-01
Cam Akers,RB,LA,55.4,56,2022-09-01
D.K. Metcalf,WR,SEA,57.6,57,2022-09-01
AJ Dillon,RB,GB,58.3,58,2022-09-01
Michael Thomas,WR,NO,59.2,59,2022-09-01
