player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-05-16
Cooper Kupp,WR,LA,2.6,2,2022-05-16
Christian McCaffrey,RB,CAR,3.1,3,2022-05-16
Justin Jefferson,WR,MIN,4.6,4,2022-05-16
Ja'Marr Chase,WR,CIN,5.3,5,2022-05-16
Derrick Henry,RB,TEN,6.1,6,2022-05-16
Austin Ekeler,RB,LAC,6.9,7,2022-05-16
Najee Harris,RB,PIT,8.3,8,2022-05-16
Davante Adams,WR,LV,10.1,9,2022-05-16
Stefon Diggs,WR,BUF,10.4,10,2022-05-16
Dalvin Cook,RB,MIN,10.8,11,2022-05-16
Joe Mixon,RB,CIN,12,12,2022-05-16
Travis Kelce,TE,KC,12.5,13,2022-05-16
CeeDee Lamb,WR,DAL,14.3,14,2022-05-16
Deebo Samuel,WR,SF,16.5,15,2022-05-16
Mark Andrews,TE,BAL,17.2,16,2022-05-16
D'Andre Swift,RB,DET,17.5,17,2022-05-16
Alvin Kamara,RB,NO,18.8,18,2022-05-16
Tyreek Hill,WR,MIA,20,19,2022-05-16
Mike Evans,WR,TB,20.3,20,2022-05-16
Nick Chubb,RB,CLE,21.3,21,2022-05-16
Javonte Williams,RB,DEN,22.2,22,2022-05-16
A.J. Brown,WR,PHI,23.8,23,2022-05-16
Josh Allen,QB,BUF,24.2,24,2022-05-16
Leonard Fournette,RB,TB,24.7,25,2022-05-16
Tee Higgins,WR,CIN,25.4,26,2022-05-16
Aaron Jones,RB,GB,26.4,27,2022-05-16
Saquon Barkley,RB,NYG,27.3,28,2022-05-16
Keenan Allen,WR,LAC,27.9,29,2022-05-16
James Conner,RB,ARI,30.9,30,2022-05-16
Kyle Pitts,TE,ATL,31.3,31,2022-05-16
Jaylen Waddle,WR,MIA,33.2,32,2022-05-16
Diontae Johnson,WR,PIT,35.7,33,2022-05-16
Michael Pittman,WR,IND,36.4,34,2022-05-16
DJ Moore,WR,CAR,36.7,35,2022-05-16
Cam Akers,RB,LA,36.7,36,2022-05-16
Patrick Mahomes,QB,KC,38.1,37,2022-05-16
Mike Williams,WR,LAC,40.1,38,2022-05-16
Darren Waller,TE,LV,40.2,39,2022-05-16
D.K. Metcalf,WR,SEA,41.2,40,2022-05-16
Marquise Brown,WR,ARI,41.4,41,2022-05-16
Amari Cooper,WR,CLE,43.6,42,2022-05-16
Lamar Jackson,QB,BAL,43.8,43,2022-05-16
George Kittle,TE,SF,45.7,44,2022-05-16
Chris Godwin,WR,TB,46,45,2022-05-16
Ezekiel Elliott,RB,DAL,46.4,46,2022-05-16
Justin Herbert,QB,LAC,46.6,47,2022-05-16
David Montgomery,RB,CHI,48.5,48,2022-05-16
J.K. Dobbins,RB,BAL,48.9,49,2022-05-16
Breece Hall,RB,NYJ,49.2,50,2022-05-16
Terry McLaurin,WR,WAS,49.4,51,2022-05-16
Jerry Jeudy,WR,DEN,50.7,52,2022-05-16
Courtland Sutton,WR,DEN,51.7,53,2022-05-16
Allen Robinson,WR,LA,54.3,54,2022-05-16
Antonio Gibson,RB,WAS,55.2,55,2022-05-16
Gabriel Davis,WR,BUF,56.4,56,2022-05-16
JuJu Smith-Schuster,WR,KC,56.8,57,2022-05-16
Michael Thomas,WR,NO,58.3,58,2022-05-16
Travis Etienne,RB,JAX,58.8,59,2022-05-16
Kyler Murray,QB,ARI,59.6,60,2022-05-16
Rashod Bateman,WR,BAL,61,61,2022-05-16
Josh Jacobs,RB,LV,61.3,62,2022-05-16
Brandin Cooks,WR,HOU,64.4,63,2022-05-16
Joe Burrow,QB,CIN,64.8,64,2022-05-16
Jalen Hurts,QB,PHI,65,65,2022-05-16
Darnell Mooney,WR,CHI,66,66,2022-05-16
Elijah Moore,WR,NYJ,67.8,67,2022-05-16
Elijah Mitchell,RB,SF,68.1,68,2022-05-16
Drake London,WR,ATL,69.6,69,2022-05-16
Treylon Burks,WR,TEN,70.6,70,2022-05-16
Amon-Ra St. Brown,WR,DET,71.7,71,2022-05-16
Tom Brady,QB,TB,73.1,72,2022-05-16
DeVonta Smith,WR,PHI,73.1,73,2022-05-16
DeAndre Hopkins,WR,ARI,74,74,2022-05-16
AJ Dillon,RB,GB,74.1,75,2022-05-16
Russell Wilson,QB,DEN,75.8,76,2022-05-16
T.J. Hockenson,TE,DET,77.6,77,2022-05-16
Adam Thielen,WR,MIN,77.6,78,2022-05-16
Dalton Schultz,TE,DAL,79.9,79,2022-05-16
Skyy Moore,WR,KC,81.6,80,2022-05-16
Brandon Aiyuk,WR,SF,81.8,81,2022-05-16
Dak Prescott,QB,DAL,83.2,82,2022-05-16
Cordarrelle Patterson,RB,ATL,83.6,83,2022-05-16
Miles Sanders,RB,PHI,83.9,84,2022-05-16
Hunter Renfrow,WR,LV,85.3,85,2022-05-16
Clyde Edwards-Helaire,RB,KC,87.3,86,2022-05-16
Tyler Lockett,WR,SEA,88.2,87,2022-05-16
Matthew Stafford,QB,LA,89.5,88,2022-05-16
Damien Harris,RB,NE,90.4,89,2022-05-16
Kenneth Walker,RB,SEA,90.8,90,2022-05-16
Dallas Goedert,TE,PHI,91.3,91,2022-05-16
Tony Pollard,RB,DAL,92.2,92,2022-05-16
Chris Olave,WR,NO,92.4,93,2022-05-16
Garrett Wilson,WR,NYJ,94.4,94,2022-05-16
Christian Kirk,WR,JAX,95.9,95,2022-05-16
Dawson Knox,TE,BUF,96.4,96,2022-05-16
Christian Watson,WR,GB,97.6,97,2022-05-16
Aaron Rodgers,QB,GB,98.7,98,2022-05-16
Kareem Hunt,RB,CLE,99.1,99,2022-05-16
Trey Lance,QB,SF,101.2,100,2022-05-16
Russell Gage,WR,TB,101.6,101,2022-05-16
Robert Woods,WR,TEN,102.6,102,2022-05-16
Michael Gallup,WR,DAL,103.7,103,2022-05-16
Allen Lazard,WR,GB,104.3,104,2022-05-16
Devin Singletary,RB,BUF,105.5,105,2022-05-16
Deshaun Watson,QB,CLE,106.6,106,2022-05-16
Derek Carr,QB,LV,107.2,107,2022-05-16
James Cook,RB,BUF,107.5,108,2022-05-16
Marquez Valdes-Scantling,WR,KC,107.5,109,2022-05-16
Chase Claypool,WR,PIT,109.1,110,2022-05-16
Chase Edmonds,RB,MIA,110.4,111,2022-05-16
Kadarius Toney,WR,NYG,110.5,112,2022-05-16
Jameson Williams,WR,DET,113,113,2022-05-16
Melvin Gordon,RB,DEN,113.1,114,2022-05-16
Zach Ertz,TE,ARI,113.1,115,2022-05-16
Tyler Boyd,WR,CIN,113.7,116,2022-05-16
Rashaad Penny,RB,SEA,116.9,117,2022-05-16
