player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.5,1,2022-08-19
Christian McCaffrey,RB,CAR,1.9,2,2022-08-19
Justin Jefferson,WR,MIN,3.3,3,2022-08-19
Cooper Kupp,WR,LA,3.9,4,2022-08-19
Ja'Marr Chase,WR,CIN,5.4,5,2022-08-19
Austin Ekeler,RB,LAC,6,6,2022-08-19
Stefon Diggs,WR,BUF,7.9,7,2022-08-19
Derrick Henry,RB,TEN,8.2,8,2022-08-19
Dalvin Cook,RB,MIN,8.8,9,2022-08-19
Davante Adams,WR,LV,11,10,2022-08-19
Najee Harris,RB,PIT,11.2,11,2022-08-19
Travis Kelce,TE,KC,12.7,12,2022-08-19
Joe Mixon,RB,CIN,13.7,13,2022-08-19
CeeDee Lamb,WR,DAL,13.9,14,2022-08-19
Saquon Barkley,RB,NYG,15,15,2022-08-19
D'Andre Swift,RB,DET,15.8,16,2022-08-19
Deebo Samuel,WR,SF,17.7,17,2022-08-19
Aaron Jones,RB,GB,17.7,18,2022-08-19
Alvin Kamara,RB,NO,19.3,19,2022-08-19
Javonte Williams,RB,DEN,21,20,2022-08-19
Mike Evans,WR,TB,21.3,21,2022-08-19
Mark Andrews,TE,BAL,21.9,22,2022-08-19
Tyreek Hill,WR,MIA,23,23,2022-08-19
Leonard Fournette,RB,TB,24.4,24,2022-08-19
Nick Chubb,RB,CLE,25.5,25,2022-08-19
Tee Higgins,WR,CIN,26.3,26,2022-08-19
A.J. Brown,WR,PHI,26.5,27,2022-08-19
Michael Pittman,WR,IND,27.9,28,2022-08-19
Keenan Allen,WR,LAC,29.6,29,2022-08-19
Mike Williams,WR,LAC,30.8,30,2022-08-19
Kyle Pitts,TE,ATL,31.6,31,2022-08-19
Josh Allen,QB,BUF,31.9,32,2022-08-19
DJ Moore,WR,CAR,33.1,33,2022-08-19
Courtland Sutton,WR,DEN,33.7,34,2022-08-19
James Conner,RB,ARI,34.7,35,2022-08-19
Travis Etienne,RB,JAX,35.8,36,2022-08-19
Jaylen Waddle,WR,MIA,38,37,2022-08-19
Ezekiel Elliott,RB,DAL,38.6,38,2022-08-19
Allen Robinson,WR,LA,40,39,2022-08-19
Terry McLaurin,WR,WAS,41,40,2022-08-19
Marquise Brown,WR,ARI,41.7,41,2022-08-19
Breece Hall,RB,NYJ,42.8,42,2022-08-19
Jerry Jeudy,WR,DEN,43.8,43,2022-08-19
Gabriel Davis,WR,BUF,44.2,44,2022-08-19
Justin Herbert,QB,LAC,45.3,45,2022-08-19
Cam Akers,RB,LA,47.9,46,2022-08-19
Lamar Jackson,QB,BAL,48.6,47,2022-08-19
Diontae Johnson,WR,PIT,48.6,48,2022-08-19
JuJu Smith-Schuster,WR,KC,49.5,49,2022-08-19
Darren Waller,TE,LV,50.9,50,2022-08-19
Brandin Cooks,WR,HOU,51.7,51,2022-08-19
Patrick Mahomes,QB,KC,52.5,52,2022-08-19
George Kittle,TE,SF,53.6,53,2022-08-19
Rashod Bateman,WR,BAL,54.4,54,2022-08-19
D.K. Metcalf,WR,SEA,55.6,55,2022-08-19
Chris Godwin,WR,TB,55.8,56,2022-08-19
Michael Thomas,WR,NO,56.1,57,2022-08-19
J.K. Dobbins,RB,BAL,56.4,58,2022-08-19
Amon-Ra St. Brown,WR,DET,57.7,59,2022-08-19
Darnell Mooney,WR,CHI,60.6,60,2022-08-19
David Montgomery,RB,CHI,60.8,61,2022-08-19
Kyler Murray,QB,ARI,62.1,62,2022-08-19
Jalen Hurts,QB,PHI,62.9,63,2022-08-19
AJ Dillon,RB,GB,63.5,64,2022-08-19
Elijah Mitchell,RB,SF,64.8,65,2022-08-19
Elijah Moore,WR,NYJ,66.4,66,2022-08-19
Adam Thielen,WR,MIN,67.7,67,2022-08-19
Trey Lance,QB,SF,70.2,68,2022-08-19
Amari Cooper,WR,CLE,70.5,69,2022-08-19
Dalton Schultz,TE,DAL,71,70,2022-08-19
Brandon Aiyuk,WR,SF,72,71,2022-08-19
Josh Jacobs,RB,LV,72.9,72,2022-08-19
Drake London,WR,ATL,73.1,73,2022-08-19
Allen Lazard,WR,GB,73.5,74,2022-08-19
Joe Burrow,QB,CIN,75.5,75,2022-08-19
DeAndre Hopkins,WR,ARI,75.6,76,2022-08-19
DeVonta Smith,WR,PHI,77,77,2022-08-19
Kadarius Toney,WR,NYG,79,78,2022-08-19
Russell Wilson,QB,DEN,79.2,79,2022-08-19
Tony Pollard,RB,DAL,79.5,80,2022-08-19
Christian Kirk,WR,JAX,81.9,81,2022-08-19
Clyde Edwards-Helaire,RB,KC,84.1,82,2022-08-19
Hunter Renfrow,WR,LV,84.2,83,2022-08-19
Miles Sanders,RB,PHI,86.4,84,2022-08-19
Tom Brady,QB,TB,87.1,85,2022-08-19
Rhamondre Stevenson,RB,NE,87.2,86,2022-08-19
Antonio Gibson,RB,WAS,87.6,87,2022-08-19
Chris Olave,WR,NO,88.2,88,2022-08-19
Chase Edmonds,RB,MIA,88.5,89,2022-08-19
Skyy Moore,WR,KC,90.2,90,2022-08-19
Dak Prescott,QB,DAL,90.5,91,2022-08-19
T.J. Hockenson,TE,DET,90.9,92,2022-08-19
Dallas Goedert,TE,PHI,92.6,93,2022-08-19
Rashaad Penny,RB,SEA,94.5,94,2022-08-19
Kareem Hunt,RB,CLE,94.5,95,2022-08-19
Treylon Burks,WR,TEN,94.7,96,2022-08-19
Marquez Valdes-Scantling,WR,KC,96.4,97,2022-08-19
Robert Woods,WR,TEN,98.3,98,2022-08-19
Damien Harris,RB,NE,99.6,99,2022-08-19
Tyler Lockett,WR,SEA,100.7,100,2022-08-19
James Cook,RB,BUF,102.1,101,2022-08-19
Dawson Knox,TE,BUF,104.3,102,2022-08-19
Dameon Pierce,RB,HOU,104.5,103,2022-08-19
Matthew Stafford,QB,LA,105.3,104,2022-08-19
Devin Singletary,RB,BUF,106.4,105,2022-08-19
Kenneth Walker,RB,SEA,106.8,106,2022-08-19
Chase Claypool,WR,PIT,108.2,107,2022-08-19
Derek Carr,QB,LV,108.5,108,2022-08-19
Zach Ertz,TE,ARI,108.7,109,2022-08-19
Tyler Boyd,WR,CIN,109.8,110,2022-08-19
Melvin Gordon,RB,DEN,111.1,111,2022-08-19
Cordarrelle Patterson,RB,ATL,111.3,112,2022-08-19
Aaron Rodgers,QB,GB,111.6,113,2022-08-19
Rondale Moore,WR,ARI,112.5,114,2022-08-19
Russell Gage,WR,TB,114.7,115,2022-08-19
Julio Jones,WR,N/A,116.4,116,2022-08-19
Garrett Wilson,WR,NYJ,116.8,117,2022-08-19
Jalen Tolbert,WR,DAL,117.2,118,2022-08-19
Kirk Cousins,QB,MIN,117.5,119,2022-08-19
George Pickens,WR,PIT,120.2,120,2022-08-19
Darrell Henderson,RB,LA,122,121,2022-08-19
Cole Kmet,TE,CHI,122.8,122,2022-08-19
Rachaad White,RB,TB,126.6,123,2022-08-19
DeVante Parker,WR,NE,128.1,124,2022-08-19
Isaiah Spiller,RB,LAC,128.3,125,2022-08-19
Joshua Palmer,WR,LAC,128.8,126,2022-08-19
Mecole Hardman,WR,KC,128.8,127,2022-08-19
Justin Fields,QB,CHI,129.6,128,2022-08-19
Nyheim Hines,RB,IND,129.9,129,2022-08-19
Albert Okwuegbunam,TE,DEN,131.1,130,2022-08-19
Alexander Mattison,RB,MIN,131.9,131,2022-08-19
Kenneth Gainwell,RB,PHI,133.1,132,2022-08-19
Tua Tagovailoa,QB,MIA,134.5,133,2022-08-19
Romeo Doubs,WR,GB,135.3,134,2022-08-19
Michael Gallup,WR,DAL,135.5,135,2022-08-19
Kenny Golladay,WR,NYG,136.7,136,2022-08-19
Irv Smith,TE,MIN,137.7,137,2022-08-19
D.J. Chark,WR,DET,138.2,138,2022-08-19
Pat Freiermuth,TE,PIT,139,139,2022-08-19
James Robinson,RB,JAX,139.2,140,2022-08-19
Jahan Dotson,WR,WAS,140.6,141,2022-08-19
Jakobi Meyers,WR,NE,141.2,142,2022-08-19
Trevor Lawrence,QB,JAX,141.8,143,2022-08-19
K.J. Osborn,WR,MIN,144.8,144,2022-08-19
Tyler Allgeier,RB,ATL,145.7,145,2022-08-19
Michael Carter,RB,NYJ,146.3,146,2022-08-19
Christian Watson,WR,GB,149.3,147,2022-08-19
Brian Robinson Jr.,RB,WAS,149.3,148,2022-08-19
Isaiah McKenzie,WR,BUF,149.5,149,2022-08-19
Mike Gesicki,TE,MIA,150,150,2022-08-19
Isiah Pacheco,RB,KC,150.5,151,2022-08-19
Khalil Herbert,RB,CHI,150.8,152,2022-08-19
Hunter Henry,TE,NE,152.1,153,2022-08-19
Nico Collins,WR,HOU,153.3,154,2022-08-19
Jarvis Landry,WR,NO,153.5,155,2022-08-19
Jameis Winston,QB,NO,153.5,156,2022-08-19
KJ Hamler,WR,DEN,154.8,157,2022-08-19
Matt Ryan,QB,IND,157.4,158,2022-08-19
Jamaal Williams,RB,DET,158.2,159,2022-08-19
Robby Anderson,WR,CAR,158.7,160,2022-08-19
Wan'Dale Robinson,WR,NYG,159.8,161,2022-08-19
Gerald Everett,TE,LAC,162.3,162,2022-08-19
David Njoku,TE,CLE,162.6,163,2022-08-19
Jameson Williams,WR,DET,163.1,164,2022-08-19
Robert Tonyan,TE,GB,164.4,165,2022-08-19
Daniel Jones,QB,NYG,166.9,166,2022-08-19
Tyler Higbee,TE,LA,168.6,167,2022-08-19
Zamir White,RB,LV,169.3,168,2022-08-19
Van Jefferson,WR,LA,172.3,169,2022-08-19
Tyrion Davis-Price,RB,SF,173.2,170,2022-08-19
Noah Fant,TE,SEA,173.5,171,2022-08-19
Raheem Mostert,RB,MIA,174,172,2022-08-19
