player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-07-09
Christian McCaffrey,RB,CAR,2.6,2,2022-07-09
Cooper Kupp,WR,LA,2.9,3,2022-07-09
Justin Jefferson,WR,MIN,4,4,2022-07-09
Ja'Marr Chase,WR,CIN,5.3,5,2022-07-09
Austin Ekeler,RB,LAC,6.4,6,2022-07-09
Derrick Henry,RB,TEN,7.6,7,2022-07-09
Stefon Diggs,WR,BUF,8.3,8,2022-07-09
Dalvin Cook,RB,MIN,9.5,9,2022-07-09
Najee Harris,RB,PIT,9.9,10,2022-07-09
Davante Adams,WR,LV,11.3,11,2022-07-09
Travis Kelce,TE,KC,12.1,12,2022-07-09
Joe Mixon,RB,CIN,13.6,13,2022-07-09
CeeDee Lamb,WR,DAL,14.1,14,2022-07-09
D'Andre Swift,RB,DET,15.2,15,2022-07-09
Mike Evans,WR,TB,16.1,16,2022-07-09
Aaron Jones,RB,GB,17.2,17,2022-07-09
Saquon Barkley,RB,NYG,18.4,18,2022-07-09
Mark Andrews,TE,BAL,19.4,19,2022-07-09
Deebo Samuel,WR,SF,20,20,2022-07-09
Leonard Fournette,RB,TB,21.5,21,2022-07-09
Tyreek Hill,WR,MIA,22,22,2022-07-09
Tee Higgins,WR,CIN,23.8,23,2022-07-09
Nick Chubb,RB,CLE,24.9,24,2022-07-09
Javonte Williams,RB,DEN,25.3,25,2022-07-09
A.J. Brown,WR,PHI,26.6,26,2022-07-09
Keenan Allen,WR,LAC,27.7,27,2022-07-09
Mike Williams,WR,LAC,28.5,28,2022-07-09
Josh Allen,QB,BUF,29.1,29,2022-07-09
Michael Pittman,WR,IND,30.1,30,2022-07-09
James Conner,RB,ARI,32.5,31,2022-07-09
Kyle Pitts,TE,ATL,32.7,32,2022-07-09
DJ Moore,WR,CAR,32.9,33,2022-07-09
Alvin Kamara,RB,NO,33.1,34,2022-07-09
Marquise Brown,WR,ARI,36,35,2022-07-09
Courtland Sutton,WR,DEN,36.3,36,2022-07-09
Travis Etienne,RB,JAX,36.5,37,2022-07-09
Jaylen Waddle,WR,MIA,38.7,38,2022-07-09
Ezekiel Elliott,RB,DAL,39.9,39,2022-07-09
Terry McLaurin,WR,WAS,40.6,40,2022-07-09
Diontae Johnson,WR,PIT,42.3,41,2022-07-09
Cam Akers,RB,LA,43.3,42,2022-07-09
Darren Waller,TE,LV,43.4,43,2022-07-09
Justin Herbert,QB,LAC,43.9,44,2022-07-09
Gabriel Davis,WR,BUF,45,45,2022-07-09
Breece Hall,RB,NYJ,45.1,46,2022-07-09
Jerry Jeudy,WR,DEN,48.1,47,2022-07-09
Allen Robinson,WR,LA,48.2,48,2022-07-09
D.K. Metcalf,WR,SEA,50.2,49,2022-07-09
Patrick Mahomes,QB,KC,50.2,50,2022-07-09
George Kittle,TE,SF,51,51,2022-07-09
David Montgomery,RB,CHI,51.2,52,2022-07-09
Lamar Jackson,QB,BAL,52.4,53,2022-07-09
Brandin Cooks,WR,HOU,52.4,54,2022-07-09
Rashod Bateman,WR,BAL,54.6,55,2022-07-09
JuJu Smith-Schuster,WR,KC,56.7,56,2022-07-09
J.K. Dobbins,RB,BAL,57.3,57,2022-07-09
Darnell Mooney,WR,CHI,57.9,58,2022-07-09
Kyler Murray,QB,ARI,60.3,59,2022-07-09
Josh Jacobs,RB,LV,60.9,60,2022-07-09
Jalen Hurts,QB,PHI,62,61,2022-07-09
Amon-Ra St. Brown,WR,DET,63.2,62,2022-07-09
Chris Godwin,WR,TB,63.7,63,2022-07-09
Elijah Mitchell,RB,SF,64.5,64,2022-07-09
Dalton Schultz,TE,DAL,66.3,65,2022-07-09
Amari Cooper,WR,CLE,67.2,66,2022-07-09
AJ Dillon,RB,GB,67.4,67,2022-07-09
Elijah Moore,WR,NYJ,68.8,68,2022-07-09
DeVonta Smith,WR,PHI,69.8,69,2022-07-09
Adam Thielen,WR,MIN,70,70,2022-07-09
Joe Burrow,QB,CIN,70.4,71,2022-07-09
Antonio Gibson,RB,WAS,70.8,72,2022-07-09
Russell Gage,WR,TB,71,73,2022-07-09
DeAndre Hopkins,WR,ARI,74.9,74,2022-07-09
Drake London,WR,ATL,75.2,75,2022-07-09
Miles Sanders,RB,PHI,76.8,76,2022-07-09
Russell Wilson,QB,DEN,77.6,77,2022-07-09
Michael Thomas,WR,NO,79.7,78,2022-07-09
Hunter Renfrow,WR,LV,80.3,79,2022-07-09
Tom Brady,QB,TB,81.6,80,2022-07-09
Clyde Edwards-Helaire,RB,KC,81.9,81,2022-07-09
Tony Pollard,RB,DAL,82.6,82,2022-07-09
Trey Lance,QB,SF,82.9,83,2022-07-09
Allen Lazard,WR,GB,83.1,84,2022-07-09
Brandon Aiyuk,WR,SF,83.8,85,2022-07-09
T.J. Hockenson,TE,DET,86.4,86,2022-07-09
Dak Prescott,QB,DAL,86.5,87,2022-07-09
Christian Kirk,WR,JAX,87.8,88,2022-07-09
Kadarius Toney,WR,NYG,88.7,89,2022-07-09
Damien Harris,RB,NE,89.8,90,2022-07-09
Treylon Burks,WR,TEN,91.8,91,2022-07-09
Kareem Hunt,RB,CLE,92.7,92,2022-07-09
Matthew Stafford,QB,LA,93.7,93,2022-07-09
Marquez Valdes-Scantling,WR,KC,96.3,94,2022-07-09
Dallas Goedert,TE,PHI,96.8,95,2022-07-09
Tyler Lockett,WR,SEA,96.9,96,2022-07-09
Kenneth Walker,RB,SEA,97.7,97,2022-07-09
Skyy Moore,WR,KC,98.3,98,2022-07-09
Chris Olave,WR,NO,98.5,99,2022-07-09
Devin Singletary,RB,BUF,100.9,100,2022-07-09
Cordarrelle Patterson,RB,ATL,101.4,101,2022-07-09
Dawson Knox,TE,BUF,102.3,102,2022-07-09
Robert Woods,WR,TEN,102.6,103,2022-07-09
Rashaad Penny,RB,SEA,103.6,104,2022-07-09
Chase Claypool,WR,PIT,105,105,2022-07-09
Aaron Rodgers,QB,GB,105.7,106,2022-07-09
Melvin Gordon,RB,DEN,105.9,107,2022-07-09
Derek Carr,QB,LV,106.7,108,2022-07-09
Zach Ertz,TE,ARI,108.6,109,2022-07-09
James Cook,RB,BUF,109.1,110,2022-07-09
Chase Edmonds,RB,MIA,109.3,111,2022-07-09
Garrett Wilson,WR,NYJ,111,112,2022-07-09
Tyler Boyd,WR,CIN,111.1,113,2022-07-09
Rhamondre Stevenson,RB,NE,111.3,114,2022-07-09
Kirk Cousins,QB,MIN,113.4,115,2022-07-09
Christian Watson,WR,GB,116.3,116,2022-07-09
Tim Patrick,WR,DEN,117,117,2022-07-09
