player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-06-08
Cooper Kupp,WR,LA,2.5,2,2022-06-08
Christian McCaffrey,RB,CAR,3.2,3,2022-06-08
Justin Jefferson,WR,MIN,4.1,4,2022-06-08
Ja'Marr Chase,WR,CIN,5,5,2022-06-08
Austin Ekeler,RB,LAC,6.6,6,2022-06-08
Derrick Henry,RB,TEN,7.7,7,2022-06-08
Stefon Diggs,WR,BUF,8.2,8,2022-06-08
Najee Harris,RB,PIT,9.2,9,2022-06-08
Dalvin Cook,RB,MIN,11,10,2022-06-08
Travis Kelce,TE,KC,11.3,11,2022-06-08
Davante Adams,WR,LV,11.3,12,2022-06-08
CeeDee Lamb,WR,DAL,12.8,13,2022-06-08
Joe Mixon,RB,CIN,13.7,14,2022-06-08
Mark Andrews,TE,BAL,16.4,15,2022-06-08
D'Andre Swift,RB,DET,17.1,16,2022-06-08
Deebo Samuel,WR,SF,17.3,17,2022-06-08
Mike Evans,WR,TB,18.3,18,2022-06-08
Aaron Jones,RB,GB,18.3,19,2022-06-08
Alvin Kamara,RB,NO,21.4,20,2022-06-08
Tyreek Hill,WR,MIA,21.5,21,2022-06-08
Leonard Fournette,RB,TB,22.4,22,2022-06-08
Tee Higgins,WR,CIN,23.5,23,2022-06-08
A.J. Brown,WR,PHI,23.8,24,2022-06-08
Saquon Barkley,RB,NYG,25.6,25,2022-06-08
Nick Chubb,RB,CLE,26.1,26,2022-06-08
Keenan Allen,WR,LAC,27.3,27,2022-06-08
Javonte Williams,RB,DEN,27.3,28,2022-06-08
Josh Allen,QB,BUF,28.9,29,2022-06-08
Mike Williams,WR,LAC,29.4,30,2022-06-08
Michael Pittman,WR,IND,30.9,31,2022-06-08
Kyle Pitts,TE,ATL,32.2,32,2022-06-08
James Conner,RB,ARI,33.5,33,2022-06-08
Jaylen Waddle,WR,MIA,35.1,34,2022-06-08
DJ Moore,WR,CAR,36.3,35,2022-06-08
Marquise Brown,WR,ARI,36.5,36,2022-06-08
Courtland Sutton,WR,DEN,38.8,37,2022-06-08
Patrick Mahomes,QB,KC,39.6,38,2022-06-08
Diontae Johnson,WR,PIT,40.3,39,2022-06-08
Ezekiel Elliott,RB,DAL,41,40,2022-06-08
Jerry Jeudy,WR,DEN,41.8,41,2022-06-08
Darren Waller,TE,LV,42,42,2022-06-08
Justin Herbert,QB,LAC,44.7,43,2022-06-08
Cam Akers,RB,LA,45.3,44,2022-06-08
Terry McLaurin,WR,WAS,45.6,45,2022-06-08
D.K. Metcalf,WR,SEA,45.7,46,2022-06-08
Allen Robinson,WR,LA,47.4,47,2022-06-08
George Kittle,TE,SF,47.7,48,2022-06-08
Travis Etienne,RB,JAX,49.3,49,2022-06-08
Amari Cooper,WR,CLE,50.5,50,2022-06-08
Breece Hall,RB,NYJ,50.5,51,2022-06-08
Gabriel Davis,WR,BUF,51.2,52,2022-06-08
Lamar Jackson,QB,BAL,51.9,53,2022-06-08
Chris Godwin,WR,TB,53,54,2022-06-08
David Montgomery,RB,CHI,54.7,55,2022-06-08
Rashod Bateman,WR,BAL,55.8,56,2022-06-08
JuJu Smith-Schuster,WR,KC,56.3,57,2022-06-08
J.K. Dobbins,RB,BAL,56.5,58,2022-06-08
Brandin Cooks,WR,HOU,57.8,59,2022-06-08
Kyler Murray,QB,ARI,61,60,2022-06-08
Darnell Mooney,WR,CHI,61.1,61,2022-06-08
Josh Jacobs,RB,LV,62.6,62,2022-06-08
Jalen Hurts,QB,PHI,63.7,63,2022-06-08
Antonio Gibson,RB,WAS,66.6,64,2022-06-08
Michael Thomas,WR,NO,67,65,2022-06-08
Elijah Moore,WR,NYJ,67.8,66,2022-06-08
Drake London,WR,ATL,68.1,67,2022-06-08
Joe Burrow,QB,CIN,68.8,68,2022-06-08
Amon-Ra St. Brown,WR,DET,69.2,69,2022-06-08
DeVonta Smith,WR,PHI,69.8,70,2022-06-08
Elijah Mitchell,RB,SF,71.1,71,2022-06-08
Dalton Schultz,TE,DAL,72,72,2022-06-08
Adam Thielen,WR,MIN,73.7,73,2022-06-08
Treylon Burks,WR,TEN,73.9,74,2022-06-08
DeAndre Hopkins,WR,ARI,75.1,75,2022-06-08
AJ Dillon,RB,GB,75.3,76,2022-06-08
Clyde Edwards-Helaire,RB,KC,77.2,77,2022-06-08
Russell Wilson,QB,DEN,77.6,78,2022-06-08
Tom Brady,QB,TB,78.5,79,2022-06-08
Brandon Aiyuk,WR,SF,79.3,80,2022-06-08
Miles Sanders,RB,PHI,81.1,81,2022-06-08
Hunter Renfrow,WR,LV,81.9,82,2022-06-08
T.J. Hockenson,TE,DET,84.6,83,2022-06-08
Dak Prescott,QB,DAL,84.9,84,2022-06-08
Skyy Moore,WR,KC,86.3,85,2022-06-08
Christian Kirk,WR,JAX,86.5,86,2022-06-08
Russell Gage,WR,TB,87.9,87,2022-06-08
Kenneth Walker,RB,SEA,88.8,88,2022-06-08
Tony Pollard,RB,DAL,89.3,89,2022-06-08
Trey Lance,QB,SF,90.7,90,2022-06-08
Tyler Lockett,WR,SEA,90.8,91,2022-06-08
Cordarrelle Patterson,RB,ATL,93.5,92,2022-06-08
Matthew Stafford,QB,LA,93.5,93,2022-06-08
Allen Lazard,WR,GB,94.6,94,2022-06-08
Dallas Goedert,TE,PHI,95.1,95,2022-06-08
Kadarius Toney,WR,NYG,96.4,96,2022-06-08
Damien Harris,RB,NE,96.5,97,2022-06-08
Kareem Hunt,RB,CLE,98.3,98,2022-06-08
Chris Olave,WR,NO,98.5,99,2022-06-08
Marquez Valdes-Scantling,WR,KC,100.4,100,2022-06-08
Garrett Wilson,WR,NYJ,100.5,101,2022-06-08
Dawson Knox,TE,BUF,101.6,102,2022-06-08
Aaron Rodgers,QB,GB,103.4,103,2022-06-08
Robert Woods,WR,TEN,104.4,104,2022-06-08
Chase Claypool,WR,PIT,104.8,105,2022-06-08
Devin Singletary,RB,BUF,106.2,106,2022-06-08
Derek Carr,QB,LV,107.5,107,2022-06-08
James Cook,RB,BUF,108.4,108,2022-06-08
Christian Watson,WR,GB,108.9,109,2022-06-08
Zach Ertz,TE,ARI,110.5,110,2022-06-08
Chase Edmonds,RB,MIA,110.7,111,2022-06-08
Melvin Gordon,RB,DEN,110.7,112,2022-06-08
Tyler Boyd,WR,CIN,110.9,113,2022-06-08
Michael Gallup,WR,DAL,113.1,114,2022-06-08
Jameson Williams,WR,DET,115.5,115,2022-06-08
Rashaad Penny,RB,SEA,117.6,116,2022-06-08
Rob Gronkowski,TE,TB,117.9,117,2022-06-08
Rondale Moore,WR,ARI,118.2,118,2022-06-08
Kenny Golladay,WR,NYG,119.2,119,2022-06-08
Rhamondre Stevenson,RB,NE,120,120,2022-06-08
Kirk Cousins,QB,MIN,121.2,121,2022-06-08
Alexander Mattison,RB,MIN,124.3,122,2022-06-08
Tim Patrick,WR,DEN,125.1,123,2022-06-08
Mecole Hardman,WR,KC,125.6,124,2022-06-08
Pat Freiermuth,TE,PIT,126.6,125,2022-06-08
Jarvis Landry,WR,NO,127.2,126,2022-06-08
Deshaun Watson,QB,CLE,127.9,127,2022-06-08
Ronald Jones,RB,KC,128.7,128,2022-06-08
