player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-05-26
Cooper Kupp,WR,LA,2.5,2,2022-05-26
Christian McCaffrey,RB,CAR,3.2,3,2022-05-26
Justin Jefferson,WR,MIN,4.3,4,2022-05-26
Ja'Marr Chase,WR,CIN,5.3,5,2022-05-26
Derrick Henry,RB,TEN,6.3,6,2022-05-26
Austin Ekeler,RB,LAC,6.9,7,2022-05-26
Najee Harris,RB,PIT,8.1,8,2022-05-26
Stefon Diggs,WR,BUF,9.4,9,2022-05-26
Dalvin Cook,RB,MIN,10.4,10,2022-05-26
Davante Adams,WR,LV,11.4,11,2022-05-26
Joe Mixon,RB,CIN,11.9,12,2022-05-26
Travis Kelce,TE,KC,12.9,13,2022-05-26
CeeDee Lamb,WR,DAL,14.1,14,2022-05-26
Mark Andrews,TE,BAL,16.3,15,2022-05-26
D'Andre Swift,RB,DET,17.1,16,2022-05-26
Deebo Samuel,WR,SF,17.5,17,2022-05-26
Mike Evans,WR,TB,19.4,18,2022-05-26
Alvin Kamara,RB,NO,19.7,19,2022-05-26
Aaron Jones,RB,GB,19.7,20,2022-05-26
Tyreek Hill,WR,MIA,21.3,21,2022-05-26
Nick Chubb,RB,CLE,22.5,22,2022-05-26
Javonte Williams,RB,DEN,23.4,23,2022-05-26
Leonard Fournette,RB,TB,23.8,24,2022-05-26
A.J. Brown,WR,PHI,25.2,25,2022-05-26
Tee Higgins,WR,CIN,25.5,26,2022-05-26
Saquon Barkley,RB,NYG,26.8,27,2022-05-26
Josh Allen,QB,BUF,27.6,28,2022-05-26
Keenan Allen,WR,LAC,28,29,2022-05-26
James Conner,RB,ARI,29.8,30,2022-05-26
Kyle Pitts,TE,ATL,31.5,31,2022-05-26
Michael Pittman,WR,IND,33.1,32,2022-05-26
Mike Williams,WR,LAC,34.8,33,2022-05-26
Jaylen Waddle,WR,MIA,35.3,34,2022-05-26
Cam Akers,RB,LA,36.9,35,2022-05-26
DJ Moore,WR,CAR,37.2,36,2022-05-26
Diontae Johnson,WR,PIT,38.1,37,2022-05-26
Marquise Brown,WR,ARI,39.9,38,2022-05-26
Patrick Mahomes,QB,KC,40.1,39,2022-05-26
Ezekiel Elliott,RB,DAL,40.8,40,2022-05-26
Darren Waller,TE,LV,42,41,2022-05-26
D.K. Metcalf,WR,SEA,43.4,42,2022-05-26
Amari Cooper,WR,CLE,44.3,43,2022-05-26
Terry McLaurin,WR,WAS,45.6,44,2022-05-26
Breece Hall,RB,NYJ,45.8,45,2022-05-26
Justin Herbert,QB,LAC,46.1,46,2022-05-26
George Kittle,TE,SF,46.6,47,2022-05-26
David Montgomery,RB,CHI,47.9,48,2022-05-26
Jerry Jeudy,WR,DEN,48.4,49,2022-05-26
Lamar Jackson,QB,BAL,49.1,50,2022-05-26
Chris Godwin,WR,TB,50,51,2022-05-26
Courtland Sutton,WR,DEN,51.2,52,2022-05-26
J.K. Dobbins,RB,BAL,51.8,53,2022-05-26
Allen Robinson,WR,LA,52.8,54,2022-05-26
Gabriel Davis,WR,BUF,55,55,2022-05-26
