player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-05-10
Cooper Kupp,WR,LA,2.6,2,2022-05-10
Christian McCaffrey,RB,CAR,3.4,3,2022-05-10
Derrick Henry,RB,TEN,5,4,2022-05-10
Ja'Marr Chase,WR,CIN,5.3,5,2022-05-10
Justin Jefferson,WR,MIN,5.5,6,2022-05-10
Austin Ekeler,RB,LAC,6.9,7,2022-05-10
Najee Harris,RB,PIT,8.2,8,2022-05-10
Davante Adams,WR,LV,9.7,9,2022-05-10
Dalvin Cook,RB,MIN,10.7,10,2022-05-10
Joe Mixon,RB,CIN,11.7,11,2022-05-10
Stefon Diggs,WR,BUF,12,12,2022-05-10
Travis Kelce,TE,KC,12.6,13,2022-05-10
CeeDee Lamb,WR,DAL,14.3,14,2022-05-10
Deebo Samuel,WR,SF,16.4,15,2022-05-10
Mark Andrews,TE,BAL,16.6,16,2022-05-10
Alvin Kamara,RB,NO,18.4,17,2022-05-10
D'Andre Swift,RB,DET,19,18,2022-05-10
Tyreek Hill,WR,MIA,19.6,19,2022-05-10
Nick Chubb,RB,CLE,20.9,20,2022-05-10
Mike Evans,WR,TB,21.1,21,2022-05-10
Javonte Williams,RB,DEN,22.3,22,2022-05-10
Josh Allen,QB,BUF,23,23,2022-05-10
A.J. Brown,WR,PHI,24.2,24,2022-05-10
Leonard Fournette,RB,TB,25.3,25,2022-05-10
Aaron Jones,RB,GB,25.5,26,2022-05-10
Tee Higgins,WR,CIN,26.3,27,2022-05-10
Saquon Barkley,RB,NYG,27.1,28,2022-05-10
Keenan Allen,WR,LAC,28.7,29,2022-05-10
James Conner,RB,ARI,29.6,30,2022-05-10
Kyle Pitts,TE,ATL,31.3,31,2022-05-10
Jaylen Waddle,WR,MIA,33.3,32,2022-05-10
Cam Akers,RB,LA,34.7,33,2022-05-10
Diontae Johnson,WR,PIT,35.6,34,2022-05-10
Patrick Mahomes,QB,KC,37,35,2022-05-10
DJ Moore,WR,CAR,38.4,36,2022-05-10
D.K. Metcalf,WR,SEA,38.9,37,2022-05-10
Darren Waller,TE,LV,39.5,38,2022-05-10
Michael Pittman,WR,IND,40.8,39,2022-05-10
Amari Cooper,WR,CLE,41.7,40,2022-05-10
Lamar Jackson,QB,BAL,42.9,41,2022-05-10
Justin Herbert,QB,LAC,42.9,42,2022-05-10
David Montgomery,RB,CHI,44,43,2022-05-10
George Kittle,TE,SF,44.7,44,2022-05-10
Marquise Brown,WR,ARI,44.8,45,2022-05-10
Ezekiel Elliott,RB,DAL,45.5,46,2022-05-10
Jerry Jeudy,WR,DEN,46.4,47,2022-05-10
Mike Williams,WR,LAC,46.8,48,2022-05-10
Chris Godwin,WR,TB,46.8,49,2022-05-10
J.K. Dobbins,RB,BAL,47.9,50,2022-05-10
Terry McLaurin,WR,WAS,50.4,51,2022-05-10
Breece Hall,RB,NYJ,50.8,52,2022-05-10
Antonio Gibson,RB,WAS,53.6,53,2022-05-10
Courtland Sutton,WR,DEN,55,54,2022-05-10
Michael Thomas,WR,NO,55.9,55,2022-05-10
Kyler Murray,QB,ARI,57.7,56,2022-05-10
JuJu Smith-Schuster,WR,KC,57.7,57,2022-05-10
Travis Etienne,RB,JAX,58.7,58,2022-05-10
Gabriel Davis,WR,BUF,59,59,2022-05-10
Allen Robinson,WR,LA,59.9,60,2022-05-10
Joe Burrow,QB,CIN,60.9,61,2022-05-10
Josh Jacobs,RB,LV,61.1,62,2022-05-10
Rashod Bateman,WR,BAL,64.2,63,2022-05-10
Jalen Hurts,QB,PHI,64.7,64,2022-05-10
Elijah Moore,WR,NYJ,65.9,65,2022-05-10
Elijah Mitchell,RB,SF,66.3,66,2022-05-10
Brandin Cooks,WR,HOU,67,67,2022-05-10
Darnell Mooney,WR,CHI,67.3,68,2022-05-10
Amon-Ra St. Brown,WR,DET,69.4,69,2022-05-10
Drake London,WR,ATL,71,70,2022-05-10
