player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.5,1,2022-09-05
Christian McCaffrey,RB,CAR,1.8,2,2022-09-05
Justin Jefferson,WR,MIN,3.4,3,2022-09-05
Cooper Kupp,WR,LA,4.3,4,2022-09-05
Austin Ekeler,RB,LAC,5.5,5,2022-09-05
Ja'Marr Chase,WR,CIN,5.9,6,2022-09-05
Derrick Henry,RB,TEN,7.3,7,2022-09-05
Dalvin Cook,RB,MIN,8.2,8,2022-09-05
Stefon Diggs,WR,BUF,9.1,9,2022-09-05
Davante Adams,WR,LV,10.9,10,2022-09-05
Najee Harris,RB,PIT,12.1,11,2022-09-05
Joe Mixon,RB,CIN,13.2,12,2022-09-05
Travis Kelce,TE,KC,13.2,13,2022-09-05
Saquon Barkley,RB,NYG,14,14,2022-09-05
Alvin Kamara,RB,NO,15.3,15,2022-09-05
CeeDee Lamb,WR,DAL,15.4,16,2022-09-05
D'Andre Swift,RB,DET,16.1,17,2022-09-05
Aaron Jones,RB,GB,18.4,18,2022-09-05
Javonte Williams,RB,DEN,20,19,2022-09-05
Deebo Samuel,WR,SF,20.2,20,2022-09-05
Mark Andrews,TE,BAL,21.6,21,2022-09-05
Tyreek Hill,WR,MIA,22.5,22,2022-09-05
Leonard Fournette,RB,TB,24,23,2022-09-05
Mike Evans,WR,TB,24.2,24,2022-09-05
A.J. Brown,WR,PHI,25.5,25,2022-09-05
Nick Chubb,RB,CLE,26.6,26,2022-09-05
Kyle Pitts,TE,ATL,27,27,2022-09-05
Michael Pittman,WR,IND,27,28,2022-09-05
Tee Higgins,WR,CIN,29.2,29,2022-09-05
Josh Allen,QB,BUF,30.1,30,2022-09-05
Mike Williams,WR,LAC,31.8,31,2022-09-05
Keenan Allen,WR,LAC,32.2,32,2022-09-05
DJ Moore,WR,CAR,33.2,33,2022-09-05
Courtland Sutton,WR,DEN,33.2,34,2022-09-05
James Conner,RB,ARI,34.2,35,2022-09-05
Travis Etienne,RB,JAX,36.1,36,2022-09-05
