player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-06-01
Cooper Kupp,WR,LA,2.5,2,2022-06-01
Christian McCaffrey,RB,CAR,3.2,3,2022-06-01
Justin Jefferson,WR,MIN,4.3,4,2022-06-01
Ja'Marr Chase,WR,CIN,5.2,5,2022-06-01
Austin Ekeler,RB,LAC,6.8,6,2022-06-01
Derrick Henry,RB,TEN,6.9,7,2022-06-01
Najee Harris,RB,PIT,8.5,8,2022-06-01
Stefon Diggs,WR,BUF,8.9,9,2022-06-01
Dalvin Cook,RB,MIN,10.7,10,2022-06-01
Travis Kelce,TE,KC,11.4,11,2022-06-01
Davante Adams,WR,LV,11.6,12,2022-06-01
Joe Mixon,RB,CIN,13.1,13,2022-06-01
CeeDee Lamb,WR,DAL,13.8,14,2022-06-01
Mark Andrews,TE,BAL,16.2,15,2022-06-01
D'Andre Swift,RB,DET,17.1,16,2022-06-01
Deebo Samuel,WR,SF,17.3,17,2022-06-01
Aaron Jones,RB,GB,18.3,18,2022-06-01
Mike Evans,WR,TB,18.9,19,2022-06-01
Alvin Kamara,RB,NO,20.8,20,2022-06-01
Tyreek Hill,WR,MIA,21.6,21,2022-06-01
Leonard Fournette,RB,TB,22.1,22,2022-06-01
Nick Chubb,RB,CLE,24.2,23,2022-06-01
A.J. Brown,WR,PHI,24.4,24,2022-06-01
Tee Higgins,WR,CIN,25.2,25,2022-06-01
Javonte Williams,RB,DEN,25.3,26,2022-06-01
Saquon Barkley,RB,NYG,26.8,27,2022-06-01
Keenan Allen,WR,LAC,27.5,28,2022-06-01
Josh Allen,QB,BUF,28.6,29,2022-06-01
Mike Williams,WR,LAC,30.5,30,2022-06-01
James Conner,RB,ARI,31.5,31,2022-06-01
Kyle Pitts,TE,ATL,32,32,2022-06-01
Michael Pittman,WR,IND,32.5,33,2022-06-01
Jaylen Waddle,WR,MIA,35,34,2022-06-01
DJ Moore,WR,CAR,36.1,35,2022-06-01
Marquise Brown,WR,ARI,36.6,36,2022-06-01
Patrick Mahomes,QB,KC,38.5,37,2022-06-01
Diontae Johnson,WR,PIT,39.9,38,2022-06-01
Cam Akers,RB,LA,41.2,39,2022-06-01
Ezekiel Elliott,RB,DAL,41.4,40,2022-06-01
Darren Waller,TE,LV,41.8,41,2022-06-01
D.K. Metcalf,WR,SEA,43.4,42,2022-06-01
Justin Herbert,QB,LAC,43.8,43,2022-06-01
Amari Cooper,WR,CLE,44.9,44,2022-06-01
Terry McLaurin,WR,WAS,45.1,45,2022-06-01
Jerry Jeudy,WR,DEN,45.4,46,2022-06-01
Courtland Sutton,WR,DEN,46.6,47,2022-06-01
Breece Hall,RB,NYJ,47,48,2022-06-01
George Kittle,TE,SF,47.8,49,2022-06-01
Allen Robinson,WR,LA,49.5,50,2022-06-01
David Montgomery,RB,CHI,51.1,51,2022-06-01
Lamar Jackson,QB,BAL,51.7,52,2022-06-01
Chris Godwin,WR,TB,52.6,53,2022-06-01
Gabriel Davis,WR,BUF,53.6,54,2022-06-01
Travis Etienne,RB,JAX,55,55,2022-06-01
J.K. Dobbins,RB,BAL,55.5,56,2022-06-01
JuJu Smith-Schuster,WR,KC,56.1,57,2022-06-01
Rashod Bateman,WR,BAL,58.2,58,2022-06-01
Brandin Cooks,WR,HOU,58.4,59,2022-06-01
Kyler Murray,QB,ARI,61.3,60,2022-06-01
Josh Jacobs,RB,LV,61.5,61,2022-06-01
Darnell Mooney,WR,CHI,62.1,62,2022-06-01
Antonio Gibson,RB,WAS,64.2,63,2022-06-01
Jalen Hurts,QB,PHI,65.2,64,2022-06-01
Michael Thomas,WR,NO,65.5,65,2022-06-01
Elijah Moore,WR,NYJ,68.2,66,2022-06-01
Joe Burrow,QB,CIN,68.3,67,2022-06-01
Drake London,WR,ATL,68.4,68,2022-06-01
Elijah Mitchell,RB,SF,70,69,2022-06-01
Amon-Ra St. Brown,WR,DET,70.7,70,2022-06-01
Treylon Burks,WR,TEN,72,71,2022-06-01
AJ Dillon,RB,GB,73.2,72,2022-06-01
DeVonta Smith,WR,PHI,73.4,73,2022-06-01
Dalton Schultz,TE,DAL,73.5,74,2022-06-01
DeAndre Hopkins,WR,ARI,74.6,75,2022-06-01
Adam Thielen,WR,MIN,76.2,76,2022-06-01
Russell Wilson,QB,DEN,77,77,2022-06-01
Tom Brady,QB,TB,77.5,78,2022-06-01
Clyde Edwards-Helaire,RB,KC,77.9,79,2022-06-01
Miles Sanders,RB,PHI,80.4,80,2022-06-01
Brandon Aiyuk,WR,SF,80.6,81,2022-06-01
T.J. Hockenson,TE,DET,82.8,82,2022-06-01
Skyy Moore,WR,KC,84.1,83,2022-06-01
Hunter Renfrow,WR,LV,84.4,84,2022-06-01
Dak Prescott,QB,DAL,85.2,85,2022-06-01
Kenneth Walker,RB,SEA,87.2,86,2022-06-01
Cordarrelle Patterson,RB,ATL,88.6,87,2022-06-01
Tony Pollard,RB,DAL,89.3,88,2022-06-01
Tyler Lockett,WR,SEA,89.6,89,2022-06-01
Christian Kirk,WR,JAX,89.6,90,2022-06-01
Russell Gage,WR,TB,91.4,91,2022-06-01
Matthew Stafford,QB,LA,91.8,92,2022-06-01
Damien Harris,RB,NE,93.9,93,2022-06-01
Dallas Goedert,TE,PHI,94.4,94,2022-06-01
Trey Lance,QB,SF,95.7,95,2022-06-01
Kareem Hunt,RB,CLE,96.5,96,2022-06-01
Chris Olave,WR,NO,97,97,2022-06-01
Garrett Wilson,WR,NYJ,98.3,98,2022-06-01
Allen Lazard,WR,GB,98.6,99,2022-06-01
Dawson Knox,TE,BUF,99.1,100,2022-06-01
Marquez Valdes-Scantling,WR,KC,100.9,101,2022-06-01
Aaron Rodgers,QB,GB,102,102,2022-06-01
Christian Watson,WR,GB,104.1,103,2022-06-01
Devin Singletary,RB,BUF,104.8,104,2022-06-01
Kadarius Toney,WR,NYG,105.1,105,2022-06-01
Robert Woods,WR,TEN,105.5,106,2022-06-01
James Cook,RB,BUF,107.3,107,2022-06-01
Chase Claypool,WR,PIT,108.5,108,2022-06-01
Derek Carr,QB,LV,108.8,109,2022-06-01
