player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-07-14
Christian McCaffrey,RB,CAR,2.3,2,2022-07-14
Cooper Kupp,WR,LA,3.1,3,2022-07-14
Justin Jefferson,WR,MIN,3.9,4,2022-07-14
Ja'Marr Chase,WR,CIN,5.2,5,2022-07-14
Austin Ekeler,RB,LAC,6.4,6,2022-07-14
Derrick Henry,RB,TEN,7.8,7,2022-07-14
Stefon Diggs,WR,BUF,8,8,2022-07-14
Dalvin Cook,RB,MIN,9.2,9,2022-07-14
Najee Harris,RB,PIT,10.7,10,2022-07-14
Davante Adams,WR,LV,11.1,11,2022-07-14
Travis Kelce,TE,KC,11.7,12,2022-07-14
CeeDee Lamb,WR,DAL,13.6,13,2022-07-14
Joe Mixon,RB,CIN,14,14,2022-07-14
D'Andre Swift,RB,DET,15.3,15,2022-07-14
Mike Evans,WR,TB,15.7,16,2022-07-14
Aaron Jones,RB,GB,17.5,17,2022-07-14
Saquon Barkley,RB,NYG,18.2,18,2022-07-14
Deebo Samuel,WR,SF,19.2,19,2022-07-14
Mark Andrews,TE,BAL,20,20,2022-07-14
Leonard Fournette,RB,TB,21.7,21,2022-07-14
Tyreek Hill,WR,MIA,21.9,22,2022-07-14
Tee Higgins,WR,CIN,23.3,23,2022-07-14
Javonte Williams,RB,DEN,24.6,24,2022-07-14
Nick Chubb,RB,CLE,25.7,25,2022-07-14
A.J. Brown,WR,PHI,26.5,26,2022-07-14
Keenan Allen,WR,LAC,27.5,27,2022-07-14
Mike Williams,WR,LAC,28.1,28,2022-07-14
Josh Allen,QB,BUF,29.7,29,2022-07-14
Michael Pittman,WR,IND,30.2,30,2022-07-14
DJ Moore,WR,CAR,31.1,31,2022-07-14
Kyle Pitts,TE,ATL,32.1,32,2022-07-14
James Conner,RB,ARI,33.4,33,2022-07-14
Alvin Kamara,RB,NO,34,34,2022-07-14
Travis Etienne,RB,JAX,35.2,35,2022-07-14
Marquise Brown,WR,ARI,36.2,36,2022-07-14
Courtland Sutton,WR,DEN,36.8,37,2022-07-14
Jaylen Waddle,WR,MIA,38.8,38,2022-07-14
Terry McLaurin,WR,WAS,39.6,39,2022-07-14
Ezekiel Elliott,RB,DAL,40.6,40,2022-07-14
Gabriel Davis,WR,BUF,42.7,41,2022-07-14
Diontae Johnson,WR,PIT,43.1,42,2022-07-14
Darren Waller,TE,LV,43.7,43,2022-07-14
Justin Herbert,QB,LAC,44.1,44,2022-07-14
Breece Hall,RB,NYJ,45.1,45,2022-07-14
Cam Akers,RB,LA,45.3,46,2022-07-14
