player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-07-10
Christian McCaffrey,RB,CAR,2.5,2,2022-07-10
Cooper Kupp,WR,LA,3,3,2022-07-10
Justin Jefferson,WR,MIN,3.9,4,2022-07-10
Ja'Marr Chase,WR,CIN,5.3,5,2022-07-10
Austin Ekeler,RB,LAC,6.4,6,2022-07-10
Derrick Henry,RB,TEN,7.7,7,2022-07-10
Stefon Diggs,WR,BUF,8.2,8,2022-07-10
Dalvin Cook,RB,MIN,9.4,9,2022-07-10
Najee Harris,RB,PIT,10.2,10,2022-07-10
Davante Adams,WR,LV,11.3,11,2022-07-10
Travis Kelce,TE,KC,12,12,2022-07-10
Joe Mixon,RB,CIN,13.8,13,2022-07-10
CeeDee Lamb,WR,DAL,14,14,2022-07-10
D'Andre Swift,RB,DET,15.1,15,2022-07-10
Mike Evans,WR,TB,15.9,16,2022-07-10
Aaron Jones,RB,GB,17.3,17,2022-07-10
Saquon Barkley,RB,NYG,18.3,18,2022-07-10
Mark Andrews,TE,BAL,19.5,19,2022-07-10
Deebo Samuel,WR,SF,19.8,20,2022-07-10
Leonard Fournette,RB,TB,21.4,21,2022-07-10
Tyreek Hill,WR,MIA,22,22,2022-07-10
Tee Higgins,WR,CIN,23.7,23,2022-07-10
Nick Chubb,RB,CLE,25,24,2022-07-10
Javonte Williams,RB,DEN,25.3,25,2022-07-10
A.J. Brown,WR,PHI,26.6,26,2022-07-10
Keenan Allen,WR,LAC,27.6,27,2022-07-10
Mike Williams,WR,LAC,28.3,28,2022-07-10
Josh Allen,QB,BUF,29.1,29,2022-07-10
Michael Pittman,WR,IND,30.2,30,2022-07-10
DJ Moore,WR,CAR,32.2,31,2022-07-10
Kyle Pitts,TE,ATL,32.3,32,2022-07-10
James Conner,RB,ARI,32.3,33,2022-07-10
Alvin Kamara,RB,NO,33.8,34,2022-07-10
Marquise Brown,WR,ARI,36.1,35,2022-07-10
Courtland Sutton,WR,DEN,36.4,36,2022-07-10
Travis Etienne,RB,JAX,36.5,37,2022-07-10
Jaylen Waddle,WR,MIA,38.6,38,2022-07-10
Ezekiel Elliott,RB,DAL,40.1,39,2022-07-10
Terry McLaurin,WR,WAS,40.3,40,2022-07-10
Diontae Johnson,WR,PIT,42.6,41,2022-07-10
Cam Akers,RB,LA,43.4,42,2022-07-10
