player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-05-21
Cooper Kupp,WR,LA,2.6,2,2022-05-21
Christian McCaffrey,RB,CAR,3.2,3,2022-05-21
Justin Jefferson,WR,MIN,4.6,4,2022-05-21
Ja'Marr Chase,WR,CIN,5.2,5,2022-05-21
Derrick Henry,RB,TEN,6.1,6,2022-05-21
Austin Ekeler,RB,LAC,6.8,7,2022-05-21
Najee Harris,RB,PIT,8.2,8,2022-05-21
Stefon Diggs,WR,BUF,9.8,9,2022-05-21
Dalvin Cook,RB,MIN,10.5,10,2022-05-21
Davante Adams,WR,LV,11.3,11,2022-05-21
Joe Mixon,RB,CIN,11.7,12,2022-05-21
Travis Kelce,TE,KC,12.6,13,2022-05-21
CeeDee Lamb,WR,DAL,14.4,14,2022-05-21
Mark Andrews,TE,BAL,16.4,15,2022-05-21
Deebo Samuel,WR,SF,17,16,2022-05-21
D'Andre Swift,RB,DET,17.5,17,2022-05-21
Alvin Kamara,RB,NO,19.1,18,2022-05-21
Mike Evans,WR,TB,19.5,19,2022-05-21
Tyreek Hill,WR,MIA,21.2,20,2022-05-21
Aaron Jones,RB,GB,22,21,2022-05-21
Nick Chubb,RB,CLE,22.2,22,2022-05-21
Javonte Williams,RB,DEN,23,23,2022-05-21
Leonard Fournette,RB,TB,23.5,24,2022-05-21
A.J. Brown,WR,PHI,25.3,25,2022-05-21
Josh Allen,QB,BUF,26.1,26,2022-05-21
Tee Higgins,WR,CIN,26.2,27,2022-05-21
Saquon Barkley,RB,NYG,27.2,28,2022-05-21
Keenan Allen,WR,LAC,27.9,29,2022-05-21
James Conner,RB,ARI,29.8,30,2022-05-21
Kyle Pitts,TE,ATL,31.2,31,2022-05-21
Jaylen Waddle,WR,MIA,33.7,32,2022-05-21
Michael Pittman,WR,IND,34.9,33,2022-05-21
Cam Akers,RB,LA,36.5,34,2022-05-21
DJ Moore,WR,CAR,37.2,35,2022-05-21
Diontae Johnson,WR,PIT,37.4,36,2022-05-21
Mike Williams,WR,LAC,37.8,37,2022-05-21
Patrick Mahomes,QB,KC,39.2,38,2022-05-21
Marquise Brown,WR,ARI,40.2,39,2022-05-21
Darren Waller,TE,LV,41.2,40,2022-05-21
D.K. Metcalf,WR,SEA,42.5,41,2022-05-21
Ezekiel Elliott,RB,DAL,42.6,42,2022-05-21
Amari Cooper,WR,CLE,44.4,43,2022-05-21
George Kittle,TE,SF,45.6,44,2022-05-21
Lamar Jackson,QB,BAL,46.1,45,2022-05-21
Terry McLaurin,WR,WAS,46.2,46,2022-05-21
Justin Herbert,QB,LAC,47.3,47,2022-05-21
Chris Godwin,WR,TB,47.4,48,2022-05-21
David Montgomery,RB,CHI,47.7,49,2022-05-21
Breece Hall,RB,NYJ,47.8,50,2022-05-21
Jerry Jeudy,WR,DEN,49.6,51,2022-05-21
J.K. Dobbins,RB,BAL,50.5,52,2022-05-21
Courtland Sutton,WR,DEN,51.5,53,2022-05-21
Allen Robinson,WR,LA,53.6,54,2022-05-21
JuJu Smith-Schuster,WR,KC,56.2,55,2022-05-21
Gabriel Davis,WR,BUF,56.3,56,2022-05-21
Antonio Gibson,RB,WAS,57.1,57,2022-05-21
Travis Etienne,RB,JAX,57.5,58,2022-05-21
Kyler Murray,QB,ARI,59.4,59,2022-05-21
Michael Thomas,WR,NO,60.5,60,2022-05-21
Rashod Bateman,WR,BAL,61.5,61,2022-05-21
Josh Jacobs,RB,LV,61.7,62,2022-05-21
Brandin Cooks,WR,HOU,62.5,63,2022-05-21
Joe Burrow,QB,CIN,64.8,64,2022-05-21
Jalen Hurts,QB,PHI,65.1,65,2022-05-21
Darnell Mooney,WR,CHI,65.9,66,2022-05-21
Elijah Mitchell,RB,SF,67.3,67,2022-05-21
Elijah Moore,WR,NYJ,68.7,68,2022-05-21
Drake London,WR,ATL,70.2,69,2022-05-21
Treylon Burks,WR,TEN,71.4,70,2022-05-21
Amon-Ra St. Brown,WR,DET,71.9,71,2022-05-21
Tom Brady,QB,TB,73,72,2022-05-21
AJ Dillon,RB,GB,73,73,2022-05-21
DeVonta Smith,WR,PHI,74.1,74,2022-05-21
DeAndre Hopkins,WR,ARI,74.9,75,2022-05-21
Russell Wilson,QB,DEN,76.3,76,2022-05-21
T.J. Hockenson,TE,DET,77.3,77,2022-05-21
Adam Thielen,WR,MIN,77.8,78,2022-05-21
Dalton Schultz,TE,DAL,78.8,79,2022-05-21
Miles Sanders,RB,PHI,79.7,80,2022-05-21
Skyy Moore,WR,KC,81.8,81,2022-05-21
Dak Prescott,QB,DAL,83.6,82,2022-05-21
Brandon Aiyuk,WR,SF,84.4,83,2022-05-21
Cordarrelle Patterson,RB,ATL,84.7,84,2022-05-21
Clyde Edwards-Helaire,RB,KC,84.8,85,2022-05-21
Hunter Renfrow,WR,LV,85.8,86,2022-05-21
Kenneth Walker,RB,SEA,88.4,87,2022-05-21
Tyler Lockett,WR,SEA,89.6,88,2022-05-21
Matthew Stafford,QB,LA,90.2,89,2022-05-21
Damien Harris,RB,NE,90.3,90,2022-05-21
Tony Pollard,RB,DAL,90.9,91,2022-05-21
Dallas Goedert,TE,PHI,92.4,92,2022-05-21
