player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.4,1,2022-08-02
Christian McCaffrey,RB,CAR,2,2,2022-08-02
Cooper Kupp,WR,LA,3.3,3,2022-08-02
Justin Jefferson,WR,MIN,3.7,4,2022-08-02
Ja'Marr Chase,WR,CIN,5.3,5,2022-08-02
Austin Ekeler,RB,LAC,6.3,6,2022-08-02
Stefon Diggs,WR,BUF,7.9,7,2022-08-02
Derrick Henry,RB,TEN,8.1,8,2022-08-02
Dalvin Cook,RB,MIN,8.8,9,2022-08-02
Najee Harris,RB,PIT,10.9,10,2022-08-02
Davante Adams,WR,LV,11.2,11,2022-08-02
Travis Kelce,TE,KC,11.9,12,2022-08-02
Joe Mixon,RB,CIN,13.6,13,2022-08-02
CeeDee Lamb,WR,DAL,13.9,14,2022-08-02
D'Andre Swift,RB,DET,15.2,15,2022-08-02
Aaron Jones,RB,GB,16.8,16,2022-08-02
Saquon Barkley,RB,NYG,17.2,17,2022-08-02
Mike Evans,WR,TB,17.7,18,2022-08-02
Deebo Samuel,WR,SF,18.2,19,2022-08-02
Mark Andrews,TE,BAL,20.8,20,2022-08-02
Tyreek Hill,WR,MIA,21.4,21,2022-08-02
Javonte Williams,RB,DEN,22.9,22,2022-08-02
Leonard Fournette,RB,TB,23.3,23,2022-08-02
Tee Higgins,WR,CIN,24.2,24,2022-08-02
Nick Chubb,RB,CLE,25.1,25,2022-08-02
A.J. Brown,WR,PHI,27.3,26,2022-08-02
Keenan Allen,WR,LAC,27.9,27,2022-08-02
Michael Pittman,WR,IND,28.3,28,2022-08-02
Alvin Kamara,RB,NO,29.2,29,2022-08-02
Mike Williams,WR,LAC,29.6,30,2022-08-02
Josh Allen,QB,BUF,31,31,2022-08-02
DJ Moore,WR,CAR,31.9,32,2022-08-02
Kyle Pitts,TE,ATL,33,33,2022-08-02
James Conner,RB,ARI,33.7,34,2022-08-02
Travis Etienne,RB,JAX,35,35,2022-08-02
Courtland Sutton,WR,DEN,36.3,36,2022-08-02
Jaylen Waddle,WR,MIA,37.8,37,2022-08-02
Marquise Brown,WR,ARI,38.8,38,2022-08-02
Ezekiel Elliott,RB,DAL,39.5,39,2022-08-02
Terry McLaurin,WR,WAS,39.7,40,2022-08-02
Breece Hall,RB,NYJ,41.8,41,2022-08-02
Gabriel Davis,WR,BUF,43.7,42,2022-08-02
Cam Akers,RB,LA,43.8,43,2022-08-02
Allen Robinson,WR,LA,44.6,44,2022-08-02
Justin Herbert,QB,LAC,44.7,45,2022-08-02
Diontae Johnson,WR,PIT,46.2,46,2022-08-02
Darren Waller,TE,LV,46.8,47,2022-08-02
Jerry Jeudy,WR,DEN,48.8,48,2022-08-02
Lamar Jackson,QB,BAL,49.4,49,2022-08-02
Brandin Cooks,WR,HOU,51.2,50,2022-08-02
Patrick Mahomes,QB,KC,51.9,51,2022-08-02
George Kittle,TE,SF,52,52,2022-08-02
D.K. Metcalf,WR,SEA,52.4,53,2022-08-02
JuJu Smith-Schuster,WR,KC,53.4,54,2022-08-02
David Montgomery,RB,CHI,54.1,55,2022-08-02
Rashod Bateman,WR,BAL,54.1,56,2022-08-02
Darnell Mooney,WR,CHI,57.8,57,2022-08-02
Chris Godwin,WR,TB,58.2,58,2022-08-02
Kyler Murray,QB,ARI,60.1,59,2022-08-02
Amon-Ra St. Brown,WR,DET,60.4,60,2022-08-02
J.K. Dobbins,RB,BAL,61.4,61,2022-08-02
Amari Cooper,WR,CLE,64,62,2022-08-02
Jalen Hurts,QB,PHI,64.1,63,2022-08-02
Josh Jacobs,RB,LV,64.7,64,2022-08-02
Elijah Mitchell,RB,SF,65.4,65,2022-08-02
AJ Dillon,RB,GB,66,66,2022-08-02
Adam Thielen,WR,MIN,67.6,67,2022-08-02
Elijah Moore,WR,NYJ,68.8,68,2022-08-02
Michael Thomas,WR,NO,69.2,69,2022-08-02
Dalton Schultz,TE,DAL,71,70,2022-08-02
DeVonta Smith,WR,PHI,71.9,71,2022-08-02
Joe Burrow,QB,CIN,73.1,72,2022-08-02
DeAndre Hopkins,WR,ARI,73.2,73,2022-08-02
Drake London,WR,ATL,73.5,74,2022-08-02
Allen Lazard,WR,GB,75.9,75,2022-08-02
Antonio Gibson,RB,WAS,76,76,2022-08-02
Trey Lance,QB,SF,76.1,77,2022-08-02
Russell Wilson,QB,DEN,79.1,78,2022-08-02
Kadarius Toney,WR,NYG,79.3,79,2022-08-02
Miles Sanders,RB,PHI,80.3,80,2022-08-02
Christian Kirk,WR,JAX,81.9,81,2022-08-02
Hunter Renfrow,WR,LV,82.1,82,2022-08-02
Tony Pollard,RB,DAL,82.2,83,2022-08-02
Tom Brady,QB,TB,84.8,84,2022-08-02
Brandon Aiyuk,WR,SF,86.4,85,2022-08-02
Clyde Edwards-Helaire,RB,KC,87.2,86,2022-08-02
Dak Prescott,QB,DAL,88.9,87,2022-08-02
Rashaad Penny,RB,SEA,89.6,88,2022-08-02
Russell Gage,WR,TB,89.8,89,2022-08-02
T.J. Hockenson,TE,DET,89.8,90,2022-08-02
Chris Olave,WR,NO,91.2,91,2022-08-02
Treylon Burks,WR,TEN,91.7,92,2022-08-02
Marquez Valdes-Scantling,WR,KC,92.4,93,2022-08-02
Chase Edmonds,RB,MIA,93.1,94,2022-08-02
Damien Harris,RB,NE,94.6,95,2022-08-02
Kareem Hunt,RB,CLE,95.1,96,2022-08-02
Skyy Moore,WR,KC,97.1,97,2022-08-02
Rhamondre Stevenson,RB,NE,97.5,98,2022-08-02
Matthew Stafford,QB,LA,97.9,99,2022-08-02
Dallas Goedert,TE,PHI,99.2,100,2022-08-02
Tyler Lockett,WR,SEA,101.1,101,2022-08-02
Devin Singletary,RB,BUF,101.3,102,2022-08-02
Robert Woods,WR,TEN,103.2,103,2022-08-02
