player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.2,1,2022-06-10
Cooper Kupp,WR,LA,2.5,2,2022-06-10
Christian McCaffrey,RB,CAR,3.1,3,2022-06-10
Justin Jefferson,WR,MIN,4.1,4,2022-06-10
Ja'Marr Chase,WR,CIN,5,5,2022-06-10
Austin Ekeler,RB,LAC,6.6,6,2022-06-10
Derrick Henry,RB,TEN,7.7,7,2022-06-10
Stefon Diggs,WR,BUF,8.1,8,2022-06-10
Najee Harris,RB,PIT,9.7,9,2022-06-10
Dalvin Cook,RB,MIN,10.6,10,2022-06-10
Davante Adams,WR,LV,11.1,11,2022-06-10
Travis Kelce,TE,KC,11.5,12,2022-06-10
CeeDee Lamb,WR,DAL,12.8,13,2022-06-10
Joe Mixon,RB,CIN,13.7,14,2022-06-10
Mark Andrews,TE,BAL,16.3,15,2022-06-10
D'Andre Swift,RB,DET,17,16,2022-06-10
Deebo Samuel,WR,SF,17.1,17,2022-06-10
Mike Evans,WR,TB,17.9,18,2022-06-10
Aaron Jones,RB,GB,18.4,19,2022-06-10
Tyreek Hill,WR,MIA,21,20,2022-06-10
Alvin Kamara,RB,NO,21.9,21,2022-06-10
Leonard Fournette,RB,TB,23,22,2022-06-10
Tee Higgins,WR,CIN,23.2,23,2022-06-10
A.J. Brown,WR,PHI,24.3,24,2022-06-10
Saquon Barkley,RB,NYG,24.6,25,2022-06-10
Nick Chubb,RB,CLE,26.6,26,2022-06-10
Keenan Allen,WR,LAC,27.2,27,2022-06-10
Javonte Williams,RB,DEN,27.9,28,2022-06-10
Mike Williams,WR,LAC,28.8,29,2022-06-10
Josh Allen,QB,BUF,29.3,30,2022-06-10
Michael Pittman,WR,IND,30.4,31,2022-06-10
Kyle Pitts,TE,ATL,32.2,32,2022-06-10
James Conner,RB,ARI,33.5,33,2022-06-10
Jaylen Waddle,WR,MIA,35.1,34,2022-06-10
DJ Moore,WR,CAR,36.1,35,2022-06-10
Marquise Brown,WR,ARI,36.2,36,2022-06-10
Courtland Sutton,WR,DEN,37.8,37,2022-06-10
Patrick Mahomes,QB,KC,40,38,2022-06-10
Diontae Johnson,WR,PIT,40.5,39,2022-06-10
Ezekiel Elliott,RB,DAL,41.3,40,2022-06-10
Jerry Jeudy,WR,DEN,42.2,41,2022-06-10
Darren Waller,TE,LV,42.6,42,2022-06-10
Justin Herbert,QB,LAC,44.4,43,2022-06-10
Terry McLaurin,WR,WAS,44.7,44,2022-06-10
Cam Akers,RB,LA,45.3,45,2022-06-10
Travis Etienne,RB,JAX,46.8,46,2022-06-10
Allen Robinson,WR,LA,46.9,47,2022-06-10
D.K. Metcalf,WR,SEA,47.1,48,2022-06-10
George Kittle,TE,SF,48.9,49,2022-06-10
Gabriel Davis,WR,BUF,50.5,50,2022-06-10
Breece Hall,RB,NYJ,50.6,51,2022-06-10
Lamar Jackson,QB,BAL,51.6,52,2022-06-10
Amari Cooper,WR,CLE,53.3,53,2022-06-10
Chris Godwin,WR,TB,53.4,54,2022-06-10
David Montgomery,RB,CHI,54.7,55,2022-06-10
Rashod Bateman,WR,BAL,55.2,56,2022-06-10
J.K. Dobbins,RB,BAL,56.3,57,2022-06-10
JuJu Smith-Schuster,WR,KC,56.7,58,2022-06-10
Brandin Cooks,WR,HOU,57,59,2022-06-10
Darnell Mooney,WR,CHI,60.5,60,2022-06-10
Kyler Murray,QB,ARI,60.6,61,2022-06-10
Josh Jacobs,RB,LV,62.6,62,2022-06-10
Jalen Hurts,QB,PHI,63.4,63,2022-06-10
Michael Thomas,WR,NO,67.2,64,2022-06-10
Antonio Gibson,RB,WAS,67.3,65,2022-06-10
Elijah Moore,WR,NYJ,67.6,66,2022-06-10
Drake London,WR,ATL,68.1,67,2022-06-10
Amon-Ra St. Brown,WR,DET,68.9,68,2022-06-10
Joe Burrow,QB,CIN,69.1,69,2022-06-10
DeVonta Smith,WR,PHI,69.5,70,2022-06-10
Elijah Mitchell,RB,SF,71.7,71,2022-06-10
Dalton Schultz,TE,DAL,72.4,72,2022-06-10
Adam Thielen,WR,MIN,73,73,2022-06-10
Treylon Burks,WR,TEN,74.6,74,2022-06-10
DeAndre Hopkins,WR,ARI,75,75,2022-06-10
AJ Dillon,RB,GB,75.5,76,2022-06-10
Clyde Edwards-Helaire,RB,KC,76.8,77,2022-06-10
Russell Wilson,QB,DEN,78,78,2022-06-10
Tom Brady,QB,TB,78,79,2022-06-10
Brandon Aiyuk,WR,SF,79.4,80,2022-06-10
Miles Sanders,RB,PHI,81.6,81,2022-06-10
Hunter Renfrow,WR,LV,81.8,82,2022-06-10
T.J. Hockenson,TE,DET,84.7,83,2022-06-10
Dak Prescott,QB,DAL,85.2,84,2022-06-10
Christian Kirk,WR,JAX,86.7,85,2022-06-10
Skyy Moore,WR,KC,86.7,86,2022-06-10
Russell Gage,WR,TB,87,87,2022-06-10
Kenneth Walker,RB,SEA,88.7,88,2022-06-10
Tony Pollard,RB,DAL,89.1,89,2022-06-10
Trey Lance,QB,SF,90,90,2022-06-10
Tyler Lockett,WR,SEA,91.5,91,2022-06-10
Matthew Stafford,QB,LA,93.1,92,2022-06-10
Allen Lazard,WR,GB,93.2,93,2022-06-10
Cordarrelle Patterson,RB,ATL,94.1,94,2022-06-10
Kadarius Toney,WR,NYG,95,95,2022-06-10
Dallas Goedert,TE,PHI,95.3,96,2022-06-10
Damien Harris,RB,NE,96.5,97,2022-06-10
Chris Olave,WR,NO,99,98,2022-06-10
Kareem Hunt,RB,CLE,99.2,99,2022-06-10
Marquez Valdes-Scantling,WR,KC,99.6,100,2022-06-10
Garrett Wilson,WR,NYJ,101.3,101,2022-06-10
Dawson Knox,TE,BUF,101.6,102,2022-06-10
Aaron Rodgers,QB,GB,102.9,103,2022-06-10
Chase Claypool,WR,PIT,103.9,104,2022-06-10
Robert Woods,WR,TEN,105.1,105,2022-06-10
Devin Singletary,RB,BUF,106.5,106,2022-06-10
Derek Carr,QB,LV,107,107,2022-06-10
James Cook,RB,BUF,107.8,108,2022-06-10
Christian Watson,WR,GB,109.8,109,2022-06-10
Melvin Gordon,RB,DEN,110,110,2022-06-10
Zach Ertz,TE,ARI,110.1,111,2022-06-10
Tyler Boyd,WR,CIN,110.8,112,2022-06-10
Chase Edmonds,RB,MIA,112.1,113,2022-06-10
Michael Gallup,WR,DAL,113.7,114,2022-06-10
Rob Gronkowski,TE,TB,115.4,115,2022-06-10
Jameson Williams,WR,DET,117,116,2022-06-10
Rashaad Penny,RB,SEA,117.3,117,2022-06-10
Rondale Moore,WR,ARI,118.8,118,2022-06-10
Rhamondre Stevenson,RB,NE,118.9,119,2022-06-10
Kenny Golladay,WR,NYG,119.7,120,2022-06-10
Kirk Cousins,QB,MIN,120.4,121,2022-06-10
Tim Patrick,WR,DEN,123.4,122,2022-06-10
Alexander Mattison,RB,MIN,124,123,2022-06-10
Mecole Hardman,WR,KC,125.8,124,2022-06-10
Pat Freiermuth,TE,PIT,126.6,125,2022-06-10
Jarvis Landry,WR,NO,127,126,2022-06-10
Ronald Jones,RB,KC,128.5,127,2022-06-10
Jamison Crowder,WR,BUF,129.3,128,2022-06-10
Dameon Pierce,RB,HOU,130.4,129,2022-06-10
Rachaad White,RB,TB,130.7,130,2022-06-10
Mike Gesicki,TE,MIA,130.9,131,2022-06-10
Justin Fields,QB,CHI,131.7,132,2022-06-10
DeVante Parker,WR,NE,134.1,133,2022-06-10
Jakobi Meyers,WR,NE,135.3,134,2022-06-10
Tua Tagovailoa,QB,MIA,136.4,135,2022-06-10
Isaiah Spiller,RB,LAC,138.2,136,2022-06-10
Van Jefferson,WR,LA,139,137,2022-06-10
Robert Tonyan,TE,GB,139.2,138,2022-06-10
Nyheim Hines,RB,IND,140.4,139,2022-06-10
Deshaun Watson,QB,CLE,140.8,140,2022-06-10
Irv Smith,TE,MIN,140.9,141,2022-06-10
Jahan Dotson,WR,WAS,142.3,142,2022-06-10
Michael Carter,RB,NYJ,142.5,143,2022-06-10
Jalen Tolbert,WR,DAL,144.2,144,2022-06-10
Darrell Henderson,RB,LA,144.4,145,2022-06-10
Albert Okwuegbunam,TE,DEN,144.5,146,2022-06-10
Cole Kmet,TE,CHI,146.5,147,2022-06-10
Trevor Lawrence,QB,JAX,147.2,148,2022-06-10
D.J. Chark,WR,DET,148.4,149,2022-06-10
K.J. Osborn,WR,MIN,150.1,150,2022-06-10
Tyler Allgeier,RB,ATL,153.3,151,2022-06-10
David Njoku,TE,CLE,153.7,152,2022-06-10
Hunter Henry,TE,NE,154,153,2022-06-10
Corey Davis,WR,NYJ,155,154,2022-06-10
Alec Pierce,WR,IND,157.9,155,2022-06-10
Jameis Winston,QB,NO,158,156,2022-06-10
David Bell,WR,CLE,158.3,157,2022-06-10
Joshua Palmer,WR,LAC,159.5,158,2022-06-10
Kenneth Gainwell,RB,PHI,160,159,2022-06-10
George Pickens,WR,PIT,160.6,160,2022-06-10
Matt Ryan,QB,IND,162.4,161,2022-06-10
Tyrion Davis-Price,RB,SF,163.6,162,2022-06-10
James Robinson,RB,JAX,164.1,163,2022-06-10
Robby Anderson,WR,CAR,164.2,164,2022-06-10
Tyler Higbee,TE,LA,164.7,165,2022-06-10
Darrel Williams,RB,KC,165.6,166,2022-06-10
Daniel Jones,QB,NYG,165.7,167,2022-06-10
Khalil Herbert,RB,CHI,167.6,168,2022-06-10
Marvin Jones,WR,JAX,168.5,169,2022-06-10
Gerald Everett,TE,LAC,170.2,170,2022-06-10
KJ Hamler,WR,DEN,170.4,171,2022-06-10
Zach Wilson,QB,NYJ,170.4,172,2022-06-10
Noah Fant,TE,SEA,173,173,2022-06-10
Gus Edwards,RB,BAL,173.5,174,2022-06-10
Curtis Samuel,WR,WAS,174.9,175,2022-06-10
William Fuller,WR,N/A,177.6,176,2022-06-10
Jamaal Williams,RB,DET,178.6,177,2022-06-10
Wan'Dale Robinson,WR,NYG,179.6,178,2022-06-10
Hayden Hurst,TE,CIN,181.2,179,2022-06-10
Ryan Tannehill,QB,TEN,181.2,180,2022-06-10
Evan Engram,TE,JAX,182.7,181,2022-06-10
J.D. McKissic,RB,WAS,183.2,182,2022-06-10
Sammy Watkins,WR,GB,183.6,183,2022-06-10
Mac Jones,QB,NE,185.2,184,2022-06-10
Odell Beckham,WR,N/A,186.1,185,2022-06-10
Donovan Peoples-Jones,WR,CLE,186.5,186,2022-06-10
A.J. Green,WR,ARI,187,187,2022-06-10
John Metchie,WR,HOU,189.1,188,2022-06-10
Raheem Mostert,RB,MIA,190,189,2022-06-10
Kendrick Bourne,WR,NE,191.6,190,2022-06-10
Brian Robinson Jr.,RB,WAS,191.6,191,2022-06-10
Jared Goff,QB,DET,192.9,192,2022-06-10
Logan Thomas,TE,WAS,194.8,193,2022-06-10
Julio Jones,WR,N/A,195,194,2022-06-10
Marlon Mack,RB,HOU,195.3,195,2022-06-10
Parris Campbell,WR,IND,197.8,196,2022-06-10
Taysom Hill,TE,NO,197.8,197,2022-06-10
D'Onta Foreman,RB,CAR,198.5,198,2022-06-10
Austin Hooper,TE,TEN,200.6,199,2022-06-10
Carson Wentz,QB,WAS,201.3,200,2022-06-10
Justyn Ross,WR,KC,201.8,201,2022-06-10
Nico Collins,WR,HOU,202.3,202,2022-06-10
Devin Duvernay,WR,BAL,203.2,203,2022-06-10
James Washington,WR,DAL,204.4,204,2022-06-10
Sony Michel,RB,LA,205.1,205,2022-06-10
Davis Mills,QB,HOU,205.8,206,2022-06-10
Laviska Shenault,WR,JAX,205.9,207,2022-06-10
Hassan Haskins,RB,TEN,206.8,208,2022-06-10
Romeo Doubs,WR,GB,207.6,209,2022-06-10
Zamir White,RB,LV,210.3,210,2022-06-10
Brevin Jordan,TE,HOU,210.3,211,2022-06-10
Bryan Edwards,WR,LV,210.5,212,2022-06-10
D'Ernest Johnson,RB,CLE,211,213,2022-06-10
Marcus Mariota,QB,ATL,211.4,214,2022-06-10
Mark Ingram,RB,NO,211.6,215,2022-06-10
Zay Jones,WR,JAX,211.8,216,2022-06-10
Byron Pringle,WR,CHI,211.9,217,2022-06-10
Chris Evans,RB,CIN,212.2,218,2022-06-10
C.J. Uzomah,TE,NYJ,212.2,219,2022-06-10
Sterling Shepard,WR,NYG,212.7,220,2022-06-10
Cameron Brate,TE,TB,212.7,221,2022-06-10
Kenny Pickett,QB,PIT,212.8,222,2022-06-10
Cedrick Wilson,WR,MIA,213.1,223,2022-06-10
Mo Alie-Cox,TE,IND,213.3,224,2022-06-10
Isaiah McKenzie,WR,BUF,213.3,225,2022-06-10
Kenyan Drake,RB,LV,213.6,226,2022-06-10
Velus Jones,WR,CHI,213.8,227,2022-06-10
Jalen Guyton,WR,LAC,213.9,228,2022-06-10
James White,RB,NE,214.1,229,2022-06-10
Keaontay Ingram,RB,ARI,214.2,230,2022-06-10
Randall Cobb,WR,GB,214.3,231,2022-06-10
Trey McBride,TE,ARI,214.6,232,2022-06-10
Nick Westbrook-Ikhine,WR,TEN,214.6,233,2022-06-10
Chuba Hubbard,RB,CAR,214.8,234,2022-06-10
Tyquan Thornton,WR,NE,214.8,235,2022-06-10
Quez Watkins,WR,PHI,214.8,236,2022-06-10
Mitchell Trubisky,QB,PIT,214.9,237,2022-06-10
Jonnu Smith,TE,NE,215,238,2022-06-10
Terrace Marshall,WR,CAR,215.1,239,2022-06-10
Amari Rodgers,WR,GB,215.1,240,2022-06-10
Khalil Shakir,WR,BUF,215.1,241,2022-06-10
Danny Gray,WR,SF,215.1,242,2022-06-10
Baker Mayfield,QB,CLE,215.2,243,2022-06-10
Matt Breida,RB,NYG,215.2,244,2022-06-10
Samaje Perine,RB,CIN,215.3,245,2022-06-10
Greg Dulcich,TE,DEN,215.3,246,2022-06-10
Trey Sermon,RB,SF,215.3,247,2022-06-10
Marquez Callaway,WR,NO,215.4,248,2022-06-10
Isiah Pacheco,RB,KC,215.4,249,2022-06-10
Jauan Jennings,WR,SF,215.5,250,2022-06-10
Damien Williams,RB,ATL,215.5,251,2022-06-10
Braxton Berrios,WR,NYJ,215.6,252,2022-06-10
Matt Corral,QB,CAR,215.6,253,2022-06-10
O.J. Howard,TE,BUF,215.6,254,2022-06-10
Tylan Wallace,WR,BAL,215.6,255,2022-06-10
Rex Burkhead,RB,HOU,215.6,256,2022-06-10
Drew Lock,QB,SEA,215.6,257,2022-06-10
Daniel Bellinger,TE,NYG,215.6,258,2022-06-10
Adam Trautman,TE,NO,215.7,259,2022-06-10
Desmond Ridder,QB,ATL,215.7,260,2022-06-10
Derrick Gore,RB,KC,215.7,261,2022-06-10
Ricky Seals-Jones,TE,NYG,215.7,262,2022-06-10
Nelson Agholor,WR,NE,215.7,263,2022-06-10
Chris Carson,RB,SEA,215.7,264,2022-06-10
Jared Cook,TE,LAC,215.7,265,2022-06-10
Darius Slayton,WR,NYG,215.7,266,2022-06-10
Ke'Shawn Vaughn,RB,TB,215.7,267,2022-06-10
Tyler Johnson,WR,TB,215.7,268,2022-06-10
Snoop Conner,RB,JAX,215.7,269,2022-06-10
Jimmy Garoppolo,QB,SF,215.7,270,2022-06-10
Emmanuel Sanders,WR,BUF,215.8,271,2022-06-10
Cole Beasley,WR,N/A,215.8,272,2022-06-10
Demarcus Robinson,WR,LV,215.8,273,2022-06-10
Pierre Strong,RB,NE,215.8,274,2022-06-10
Anthony Schwartz,WR,CLE,215.8,275,2022-06-10
Zack Moss,RB,BUF,215.8,276,2022-06-10
Mike Davis,RB,ATL,215.8,277,2022-06-10
