player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.6,1,2022-09-08
Christian McCaffrey,RB,CAR,1.7,2,2022-09-08
Justin Jefferson,WR,MIN,3.3,3,2022-09-08
Cooper Kupp,WR,LA,4.2,4,2022-09-08
Austin Ekeler,RB,LAC,5.3,5,2022-09-08
Ja'Marr Chase,WR,CIN,6,6,2022-09-08
Derrick Henry,RB,TEN,7.3,7,2022-09-08
Dalvin Cook,RB,MIN,8.2,8,2022-09-08
Stefon Diggs,WR,BUF,9.1,9,2022-09-08
Davante Adams,WR,LV,10.6,10,2022-09-08
Najee Harris,RB,PIT,12.7,11,2022-09-08
Joe Mixon,RB,CIN,12.8,12,2022-09-08
Travis Kelce,TE,KC,13.4,13,2022-09-08
Saquon Barkley,RB,NYG,13.8,14,2022-09-08
Alvin Kamara,RB,NO,14.5,15,2022-09-08
CeeDee Lamb,WR,DAL,15.6,16,2022-09-08
D'Andre Swift,RB,DET,16.6,17,2022-09-08
Aaron Jones,RB,GB,18.6,18,2022-09-08
Javonte Williams,RB,DEN,19.7,19,2022-09-08
Deebo Samuel,WR,SF,20.8,20,2022-09-08
Mark Andrews,TE,BAL,21.4,21,2022-09-08
Tyreek Hill,WR,MIA,22.2,22,2022-09-08
Leonard Fournette,RB,TB,24.2,23,2022-09-08
A.J. Brown,WR,PHI,24.9,24,2022-09-08
Mike Evans,WR,TB,24.9,25,2022-09-08
Kyle Pitts,TE,ATL,25.3,26,2022-09-08
Michael Pittman,WR,IND,27.3,27,2022-09-08
Nick Chubb,RB,CLE,28,28,2022-09-08
Tee Higgins,WR,CIN,29.1,29,2022-09-08
Josh Allen,QB,BUF,29.5,30,2022-09-08
Mike Williams,WR,LAC,31.2,31,2022-09-08
Keenan Allen,WR,LAC,32.7,32,2022-09-08
DJ Moore,WR,CAR,32.9,33,2022-09-08
Courtland Sutton,WR,DEN,33.2,34,2022-09-08
James Conner,RB,ARI,34.9,35,2022-09-08
Travis Etienne,RB,JAX,37.5,36,2022-09-08
Gabriel Davis,WR,BUF,37.6,37,2022-09-08
Jaylen Waddle,WR,MIA,39.3,38,2022-09-08
Allen Robinson,WR,LA,40,39,2022-09-08
Marquise Brown,WR,ARI,40.7,40,2022-09-08
Justin Herbert,QB,LAC,41.6,41,2022-09-08
Ezekiel Elliott,RB,DAL,42.9,42,2022-09-08
JuJu Smith-Schuster,WR,KC,43.5,43,2022-09-08
Terry McLaurin,WR,WAS,45,44,2022-09-08
Jerry Jeudy,WR,DEN,45.9,45,2022-09-08
Lamar Jackson,QB,BAL,45.9,46,2022-09-08
Patrick Mahomes,QB,KC,46.8,47,2022-09-08
Amon-Ra St. Brown,WR,DET,47.6,48,2022-09-08
Chris Godwin,WR,TB,50.2,49,2022-09-08
Diontae Johnson,WR,PIT,50.9,50,2022-09-08
Brandin Cooks,WR,HOU,53.1,51,2022-09-08
Breece Hall,RB,NYJ,53.4,52,2022-09-08
George Kittle,TE,SF,53.5,53,2022-09-08
AJ Dillon,RB,GB,53.9,54,2022-09-08
Jalen Hurts,QB,PHI,54.9,55,2022-09-08
Rashod Bateman,WR,BAL,55.3,56,2022-09-08
Darren Waller,TE,LV,55.7,57,2022-09-08
D.K. Metcalf,WR,SEA,58.5,58,2022-09-08
Dameon Pierce,RB,HOU,58.6,59,2022-09-08
Michael Thomas,WR,NO,59.7,60,2022-09-08
Kyler Murray,QB,ARI,60.5,61,2022-09-08
Cam Akers,RB,LA,61.4,62,2022-09-08
Darnell Mooney,WR,CHI,61.9,63,2022-09-08
Adam Thielen,WR,MIN,65.2,64,2022-09-08
David Montgomery,RB,CHI,66.5,65,2022-09-08
Elijah Moore,WR,NYJ,67.8,66,2022-09-08
Elijah Mitchell,RB,SF,68.2,67,2022-09-08
Brandon Aiyuk,WR,SF,68.9,68,2022-09-08
J.K. Dobbins,RB,BAL,69.8,69,2022-09-08
Chase Edmonds,RB,MIA,70.6,70,2022-09-08
Christian Kirk,WR,JAX,72,71,2022-09-08
Dalton Schultz,TE,DAL,72.5,72,2022-09-08
Joe Burrow,QB,CIN,75,73,2022-09-08
DeVonta Smith,WR,PHI,75.1,74,2022-09-08
Allen Lazard,WR,GB,75.4,75,2022-09-08
Trey Lance,QB,SF,75.7,76,2022-09-08
Drake London,WR,ATL,77,77,2022-09-08
DeAndre Hopkins,WR,ARI,77.7,78,2022-09-08
Russell Wilson,QB,DEN,78.8,79,2022-09-08
Rhamondre Stevenson,RB,NE,78.9,80,2022-09-08
Hunter Renfrow,WR,LV,81.6,81,2022-09-08
Josh Jacobs,RB,LV,82.3,82,2022-09-08
Tony Pollard,RB,DAL,82.3,83,2022-09-08
Dallas Goedert,TE,PHI,84.3,84,2022-09-08
Amari Cooper,WR,CLE,85.5,85,2022-09-08
Clyde Edwards-Helaire,RB,KC,85.5,86,2022-09-08
Tom Brady,QB,TB,87.5,87,2022-09-08
Chris Olave,WR,NO,87.8,88,2022-09-08
Kadarius Toney,WR,NYG,88.1,89,2022-09-08
Antonio Gibson,RB,WAS,88.9,90,2022-09-08
Rashaad Penny,RB,SEA,91,91,2022-09-08
Dak Prescott,QB,DAL,93.4,92,2022-09-08
T.J. Hockenson,TE,DET,94.4,93,2022-09-08
Kareem Hunt,RB,CLE,95.3,94,2022-09-08
Skyy Moore,WR,KC,95.6,95,2022-09-08
Marquez Valdes-Scantling,WR,KC,95.7,96,2022-09-08
George Pickens,WR,PIT,97,97,2022-09-08
Robert Woods,WR,TEN,98.2,98,2022-09-08
Damien Harris,RB,NE,100.4,99,2022-09-08
