player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.5,1,2022-08-25
Christian McCaffrey,RB,CAR,1.8,2,2022-08-25
Justin Jefferson,WR,MIN,3.2,3,2022-08-25
Cooper Kupp,WR,LA,4.1,4,2022-08-25
Ja'Marr Chase,WR,CIN,5.5,5,2022-08-25
Austin Ekeler,RB,LAC,5.9,6,2022-08-25
Derrick Henry,RB,TEN,7.8,7,2022-08-25
Stefon Diggs,WR,BUF,8.3,8,2022-08-25
Dalvin Cook,RB,MIN,8.7,9,2022-08-25
Davante Adams,WR,LV,10.9,10,2022-08-25
Najee Harris,RB,PIT,11.4,11,2022-08-25
Travis Kelce,TE,KC,12.9,12,2022-08-25
Joe Mixon,RB,CIN,13.6,13,2022-08-25
CeeDee Lamb,WR,DAL,14.1,14,2022-08-25
Saquon Barkley,RB,NYG,14.7,15,2022-08-25
D'Andre Swift,RB,DET,15.8,16,2022-08-25
Deebo Samuel,WR,SF,18,17,2022-08-25
Alvin Kamara,RB,NO,18.2,18,2022-08-25
Aaron Jones,RB,GB,18.3,19,2022-08-25
Javonte Williams,RB,DEN,20.5,20,2022-08-25
Mark Andrews,TE,BAL,21.7,21,2022-08-25
Mike Evans,WR,TB,22.4,22,2022-08-25
Tyreek Hill,WR,MIA,23.3,23,2022-08-25
Leonard Fournette,RB,TB,24.8,24,2022-08-25
A.J. Brown,WR,PHI,25.4,25,2022-08-25
Nick Chubb,RB,CLE,26.1,26,2022-08-25
Tee Higgins,WR,CIN,27.3,27,2022-08-25
Michael Pittman,WR,IND,27.5,28,2022-08-25
Kyle Pitts,TE,ATL,29.1,29,2022-08-25
Keenan Allen,WR,LAC,30.6,30,2022-08-25
Mike Williams,WR,LAC,31.1,31,2022-08-25
Josh Allen,QB,BUF,31.7,32,2022-08-25
DJ Moore,WR,CAR,33.1,33,2022-08-25
Courtland Sutton,WR,DEN,33.4,34,2022-08-25
James Conner,RB,ARI,34.7,35,2022-08-25
Travis Etienne,RB,JAX,36.3,36,2022-08-25
Jaylen Waddle,WR,MIA,38.2,37,2022-08-25
Ezekiel Elliott,RB,DAL,39.3,38,2022-08-25
Allen Robinson,WR,LA,39.5,39,2022-08-25
Gabriel Davis,WR,BUF,40.6,40,2022-08-25
Terry McLaurin,WR,WAS,41.8,41,2022-08-25
Marquise Brown,WR,ARI,42.5,42,2022-08-25
Jerry Jeudy,WR,DEN,44,43,2022-08-25
Breece Hall,RB,NYJ,44.5,44,2022-08-25
Justin Herbert,QB,LAC,45.2,45,2022-08-25
JuJu Smith-Schuster,WR,KC,47.7,46,2022-08-25
Lamar Jackson,QB,BAL,47.8,47,2022-08-25
Diontae Johnson,WR,PIT,48.5,48,2022-08-25
Patrick Mahomes,QB,KC,50.7,49,2022-08-25
Cam Akers,RB,LA,51.1,50,2022-08-25
Darren Waller,TE,LV,52.1,51,2022-08-25
Brandin Cooks,WR,HOU,52.1,52,2022-08-25
George Kittle,TE,SF,53.9,53,2022-08-25
Rashod Bateman,WR,BAL,54.2,54,2022-08-25
Chris Godwin,WR,TB,55,55,2022-08-25
J.K. Dobbins,RB,BAL,55.3,56,2022-08-25
Amon-Ra St. Brown,WR,DET,56.2,57,2022-08-25
Michael Thomas,WR,NO,57.3,58,2022-08-25
D.K. Metcalf,WR,SEA,57.7,59,2022-08-25
Darnell Mooney,WR,CHI,61.1,60,2022-08-25
Jalen Hurts,QB,PHI,61.1,61,2022-08-25
AJ Dillon,RB,GB,61.2,62,2022-08-25
Kyler Murray,QB,ARI,62.2,63,2022-08-25
David Montgomery,RB,CHI,64.2,64,2022-08-25
Elijah Moore,WR,NYJ,65.9,65,2022-08-25
Elijah Mitchell,RB,SF,66.5,66,2022-08-25
Adam Thielen,WR,MIN,67.8,67,2022-08-25
Brandon Aiyuk,WR,SF,69.3,68,2022-08-25
Trey Lance,QB,SF,69.7,69,2022-08-25
Allen Lazard,WR,GB,70.6,70,2022-08-25
Dalton Schultz,TE,DAL,71.7,71,2022-08-25
Drake London,WR,ATL,72.4,72,2022-08-25
Joe Burrow,QB,CIN,74.9,73,2022-08-25
Josh Jacobs,RB,LV,75.7,74,2022-08-25
Amari Cooper,WR,CLE,75.8,75,2022-08-25
DeAndre Hopkins,WR,ARI,76.3,76,2022-08-25
DeVonta Smith,WR,PHI,77.2,77,2022-08-25
Russell Wilson,QB,DEN,79,78,2022-08-25
Christian Kirk,WR,JAX,79,79,2022-08-25
Tony Pollard,RB,DAL,79.7,80,2022-08-25
Kadarius Toney,WR,NYG,81.5,81,2022-08-25
Chase Edmonds,RB,MIA,82.4,82,2022-08-25
Clyde Edwards-Helaire,RB,KC,82.6,83,2022-08-25
Hunter Renfrow,WR,LV,84,84,2022-08-25
Rhamondre Stevenson,RB,NE,85.3,85,2022-08-25
Chris Olave,WR,NO,86.4,86,2022-08-25
Tom Brady,QB,TB,87.6,87,2022-08-25
