player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.4,1,2022-08-05
Christian McCaffrey,RB,CAR,2,2,2022-08-05
Cooper Kupp,WR,LA,3.4,3,2022-08-05
Justin Jefferson,WR,MIN,3.7,4,2022-08-05
Ja'Marr Chase,WR,CIN,5.3,5,2022-08-05
Austin Ekeler,RB,LAC,6.4,6,2022-08-05
Stefon Diggs,WR,BUF,7.5,7,2022-08-05
Derrick Henry,RB,TEN,8.5,8,2022-08-05
Dalvin Cook,RB,MIN,9,9,2022-08-05
Davante Adams,WR,LV,10.6,10,2022-08-05
Najee Harris,RB,PIT,11.8,11,2022-08-05
Travis Kelce,TE,KC,11.8,12,2022-08-05
CeeDee Lamb,WR,DAL,13.1,13,2022-08-05
Joe Mixon,RB,CIN,14.1,14,2022-08-05
D'Andre Swift,RB,DET,15.7,15,2022-08-05
Saquon Barkley,RB,NYG,16.2,16,2022-08-05
Aaron Jones,RB,GB,17.1,17,2022-08-05
Deebo Samuel,WR,SF,17.1,18,2022-08-05
Mike Evans,WR,TB,18.8,19,2022-08-05
Mark Andrews,TE,BAL,21.1,20,2022-08-05
Tyreek Hill,WR,MIA,21.6,21,2022-08-05
Javonte Williams,RB,DEN,22.9,22,2022-08-05
Leonard Fournette,RB,TB,24,23,2022-08-05
Tee Higgins,WR,CIN,24.4,24,2022-08-05
Nick Chubb,RB,CLE,25.5,25,2022-08-05
Alvin Kamara,RB,NO,25.7,26,2022-08-05
A.J. Brown,WR,PHI,27,27,2022-08-05
Keenan Allen,WR,LAC,28.4,28,2022-08-05
Michael Pittman,WR,IND,28.6,29,2022-08-05
Mike Williams,WR,LAC,30.2,30,2022-08-05
Josh Allen,QB,BUF,31.4,31,2022-08-05
DJ Moore,WR,CAR,32.3,32,2022-08-05
Kyle Pitts,TE,ATL,32.5,33,2022-08-05
Courtland Sutton,WR,DEN,34.4,34,2022-08-05
James Conner,RB,ARI,34.4,35,2022-08-05
Travis Etienne,RB,JAX,36.1,36,2022-08-05
Jaylen Waddle,WR,MIA,37.8,37,2022-08-05
Ezekiel Elliott,RB,DAL,39.7,38,2022-08-05
Marquise Brown,WR,ARI,39.9,39,2022-08-05
Terry McLaurin,WR,WAS,40.4,40,2022-08-05
Allen Robinson,WR,LA,41.5,41,2022-08-05
Breece Hall,RB,NYJ,41.8,42,2022-08-05
Gabriel Davis,WR,BUF,43.7,43,2022-08-05
Jerry Jeudy,WR,DEN,45.4,44,2022-08-05
Justin Herbert,QB,LAC,45.6,45,2022-08-05
Cam Akers,RB,LA,45.9,46,2022-08-05
Diontae Johnson,WR,PIT,47.2,47,2022-08-05
Darren Waller,TE,LV,48,48,2022-08-05
Lamar Jackson,QB,BAL,49.1,49,2022-08-05
Brandin Cooks,WR,HOU,51,50,2022-08-05
Patrick Mahomes,QB,KC,51.6,51,2022-08-05
JuJu Smith-Schuster,WR,KC,52,52,2022-08-05
