player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.5,1,2022-08-11
Christian McCaffrey,RB,CAR,1.9,2,2022-08-11
Justin Jefferson,WR,MIN,3.2,3,2022-08-11
Cooper Kupp,WR,LA,4,4,2022-08-11
Ja'Marr Chase,WR,CIN,5.2,5,2022-08-11
Austin Ekeler,RB,LAC,6.3,6,2022-08-11
Stefon Diggs,WR,BUF,7.6,7,2022-08-11
Derrick Henry,RB,TEN,8.4,8,2022-08-11
Dalvin Cook,RB,MIN,9,9,2022-08-11
Davante Adams,WR,LV,10.4,10,2022-08-11
Najee Harris,RB,PIT,12,11,2022-08-11
Travis Kelce,TE,KC,12,12,2022-08-11
CeeDee Lamb,WR,DAL,13.1,13,2022-08-11
Joe Mixon,RB,CIN,14.1,14,2022-08-11
Saquon Barkley,RB,NYG,15.2,15,2022-08-11
D'Andre Swift,RB,DET,15.9,16,2022-08-11
Deebo Samuel,WR,SF,16.9,17,2022-08-11
Aaron Jones,RB,GB,18,18,2022-08-11
Mike Evans,WR,TB,20.3,19,2022-08-11
Mark Andrews,TE,BAL,21,20,2022-08-11
Alvin Kamara,RB,NO,21.7,21,2022-08-11
Tyreek Hill,WR,MIA,21.8,22,2022-08-11
Javonte Williams,RB,DEN,22.9,23,2022-08-11
Leonard Fournette,RB,TB,24.8,24,2022-08-11
Tee Higgins,WR,CIN,25.4,25,2022-08-11
Nick Chubb,RB,CLE,25.9,26,2022-08-11
A.J. Brown,WR,PHI,26.1,27,2022-08-11
Michael Pittman,WR,IND,28,28,2022-08-11
Keenan Allen,WR,LAC,29.4,29,2022-08-11
Mike Williams,WR,LAC,30.4,30,2022-08-11
Josh Allen,QB,BUF,31.4,31,2022-08-11
Kyle Pitts,TE,ATL,31.7,32,2022-08-11
DJ Moore,WR,CAR,32.9,33,2022-08-11
Courtland Sutton,WR,DEN,33.5,34,2022-08-11
James Conner,RB,ARI,35.4,35,2022-08-11
Travis Etienne,RB,JAX,37,36,2022-08-11
Jaylen Waddle,WR,MIA,37.6,37,2022-08-11
Ezekiel Elliott,RB,DAL,39.4,38,2022-08-11
Allen Robinson,WR,LA,40.3,39,2022-08-11
Terry McLaurin,WR,WAS,40.3,40,2022-08-11
Marquise Brown,WR,ARI,41.8,41,2022-08-11
Breece Hall,RB,NYJ,42.7,42,2022-08-11
Jerry Jeudy,WR,DEN,43.4,43,2022-08-11
Gabriel Davis,WR,BUF,43.5,44,2022-08-11
Justin Herbert,QB,LAC,45.3,45,2022-08-11
Diontae Johnson,WR,PIT,47.7,46,2022-08-11
Cam Akers,RB,LA,48.3,47,2022-08-11
Lamar Jackson,QB,BAL,48.8,48,2022-08-11
JuJu Smith-Schuster,WR,KC,49.1,49,2022-08-11
Darren Waller,TE,LV,50.2,50,2022-08-11
Brandin Cooks,WR,HOU,51.6,51,2022-08-11
Patrick Mahomes,QB,KC,52.1,52,2022-08-11
George Kittle,TE,SF,53.1,53,2022-08-11
D.K. Metcalf,WR,SEA,54.3,54,2022-08-11
Rashod Bateman,WR,BAL,54.5,55,2022-08-11
Chris Godwin,WR,TB,54.7,56,2022-08-11
J.K. Dobbins,RB,BAL,55.6,57,2022-08-11
Michael Thomas,WR,NO,58.7,58,2022-08-11
Darnell Mooney,WR,CHI,59.8,59,2022-08-11
David Montgomery,RB,CHI,60,60,2022-08-11
Amon-Ra St. Brown,WR,DET,61.1,61,2022-08-11
Kyler Murray,QB,ARI,61.9,62,2022-08-11
Elijah Mitchell,RB,SF,63.2,63,2022-08-11
Jalen Hurts,QB,PHI,64.6,64,2022-08-11
Elijah Moore,WR,NYJ,65.4,65,2022-08-11
AJ Dillon,RB,GB,66,66,2022-08-11
Drake London,WR,ATL,68.6,67,2022-08-11
Amari Cooper,WR,CLE,69.1,68,2022-08-11
Adam Thielen,WR,MIN,70,69,2022-08-11
Josh Jacobs,RB,LV,70.9,70,2022-08-11
Dalton Schultz,TE,DAL,71.5,71,2022-08-11
DeAndre Hopkins,WR,ARI,72.8,72,2022-08-11
Trey Lance,QB,SF,72.8,73,2022-08-11
Brandon Aiyuk,WR,SF,74.7,74,2022-08-11
Allen Lazard,WR,GB,74.8,75,2022-08-11
Joe Burrow,QB,CIN,74.9,76,2022-08-11
DeVonta Smith,WR,PHI,76.7,77,2022-08-11
Kadarius Toney,WR,NYG,77.7,78,2022-08-11
Russell Wilson,QB,DEN,79.1,79,2022-08-11
Antonio Gibson,RB,WAS,79.5,80,2022-08-11
Tony Pollard,RB,DAL,82.3,81,2022-08-11
Christian Kirk,WR,JAX,82.4,82,2022-08-11
Hunter Renfrow,WR,LV,84.2,83,2022-08-11
Miles Sanders,RB,PHI,84.3,84,2022-08-11
Tom Brady,QB,TB,84.8,85,2022-08-11
