player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.1,1,2022-05-29
Cooper Kupp,WR,LA,2.5,2,2022-05-29
Christian McCaffrey,RB,CAR,3.1,3,2022-05-29
Justin Jefferson,WR,MIN,4.3,4,2022-05-29
Ja'Marr Chase,WR,CIN,5.2,5,2022-05-29
Derrick Henry,RB,TEN,6.6,6,2022-05-29
Austin Ekeler,RB,LAC,6.9,7,2022-05-29
Najee Harris,RB,PIT,8.5,8,2022-05-29
Stefon Diggs,WR,BUF,9,9,2022-05-29
Dalvin Cook,RB,MIN,10.5,10,2022-05-29
Davante Adams,WR,LV,11.4,11,2022-05-29
Travis Kelce,TE,KC,12,12,2022-05-29
Joe Mixon,RB,CIN,12.7,13,2022-05-29
CeeDee Lamb,WR,DAL,13.9,14,2022-05-29
Mark Andrews,TE,BAL,16.2,15,2022-05-29
D'Andre Swift,RB,DET,17.1,16,2022-05-29
Deebo Samuel,WR,SF,17.4,17,2022-05-29
Aaron Jones,RB,GB,18.6,18,2022-05-29
Mike Evans,WR,TB,18.6,19,2022-05-29
Alvin Kamara,RB,NO,20.4,20,2022-05-29
Tyreek Hill,WR,MIA,21.5,21,2022-05-29
Leonard Fournette,RB,TB,23.3,22,2022-05-29
Nick Chubb,RB,CLE,23.3,23,2022-05-29
Javonte Williams,RB,DEN,24.7,24,2022-05-29
A.J. Brown,WR,PHI,24.9,25,2022-05-29
Tee Higgins,WR,CIN,25.3,26,2022-05-29
Saquon Barkley,RB,NYG,26.8,27,2022-05-29
Josh Allen,QB,BUF,27.9,28,2022-05-29
Keenan Allen,WR,LAC,28,29,2022-05-29
James Conner,RB,ARI,30.7,30,2022-05-29
Kyle Pitts,TE,ATL,31.7,31,2022-05-29
Mike Williams,WR,LAC,32.1,32,2022-05-29
Michael Pittman,WR,IND,32.4,33,2022-05-29
Jaylen Waddle,WR,MIA,35.3,34,2022-05-29
DJ Moore,WR,CAR,36.3,35,2022-05-29
Patrick Mahomes,QB,KC,38.1,36,2022-05-29
Marquise Brown,WR,ARI,38.2,37,2022-05-29
Cam Akers,RB,LA,39.3,38,2022-05-29
Diontae Johnson,WR,PIT,39.6,39,2022-05-29
Ezekiel Elliott,RB,DAL,40.9,40,2022-05-29
Darren Waller,TE,LV,41.7,41,2022-05-29
D.K. Metcalf,WR,SEA,43.5,42,2022-05-29
Justin Herbert,QB,LAC,43.7,43,2022-05-29
Amari Cooper,WR,CLE,45.5,44,2022-05-29
Terry McLaurin,WR,WAS,45.6,45,2022-05-29
Breece Hall,RB,NYJ,45.8,46,2022-05-29
Jerry Jeudy,WR,DEN,47.1,47,2022-05-29
George Kittle,TE,SF,47.2,48,2022-05-29
Courtland Sutton,WR,DEN,48,49,2022-05-29
David Montgomery,RB,CHI,50,50,2022-05-29
Lamar Jackson,QB,BAL,50.4,51,2022-05-29
Allen Robinson,WR,LA,51.4,52,2022-05-29
Chris Godwin,WR,TB,51.8,53,2022-05-29
J.K. Dobbins,RB,BAL,54,54,2022-05-29
Gabriel Davis,WR,BUF,54.4,55,2022-05-29
Travis Etienne,RB,JAX,55,56,2022-05-29
JuJu Smith-Schuster,WR,KC,56.5,57,2022-05-29
Rashod Bateman,WR,BAL,58.2,58,2022-05-29
Brandin Cooks,WR,HOU,59.9,59,2022-05-29
Kyler Murray,QB,ARI,60.4,60,2022-05-29
Josh Jacobs,RB,LV,62.5,61,2022-05-29
Antonio Gibson,RB,WAS,63,62,2022-05-29
Darnell Mooney,WR,CHI,63.3,63,2022-05-29
Michael Thomas,WR,NO,64,64,2022-05-29
Jalen Hurts,QB,PHI,64.9,65,2022-05-29
Joe Burrow,QB,CIN,68,66,2022-05-29
Elijah Mitchell,RB,SF,68.4,67,2022-05-29
Elijah Moore,WR,NYJ,68.5,68,2022-05-29
Drake London,WR,ATL,68.8,69,2022-05-29
Amon-Ra St. Brown,WR,DET,71.4,70,2022-05-29
Treylon Burks,WR,TEN,72,71,2022-05-29
AJ Dillon,RB,GB,73.2,72,2022-05-29
DeVonta Smith,WR,PHI,73.5,73,2022-05-29
DeAndre Hopkins,WR,ARI,74.3,74,2022-05-29
Dalton Schultz,TE,DAL,75.4,75,2022-05-29
Adam Thielen,WR,MIN,75.9,76,2022-05-29
Tom Brady,QB,TB,76.2,77,2022-05-29
Russell Wilson,QB,DEN,76.7,78,2022-05-29
Miles Sanders,RB,PHI,78.8,79,2022-05-29
Clyde Edwards-Helaire,RB,KC,78.9,80,2022-05-29
T.J. Hockenson,TE,DET,82,81,2022-05-29
Brandon Aiyuk,WR,SF,82.1,82,2022-05-29
Skyy Moore,WR,KC,83.7,83,2022-05-29
Dak Prescott,QB,DAL,84.6,84,2022-05-29
Hunter Renfrow,WR,LV,85.1,85,2022-05-29
Cordarrelle Patterson,RB,ATL,86.9,86,2022-05-29
Kenneth Walker,RB,SEA,87.5,87,2022-05-29
Tony Pollard,RB,DAL,88.3,88,2022-05-29
Tyler Lockett,WR,SEA,89.6,89,2022-05-29
Christian Kirk,WR,JAX,90.9,90,2022-05-29
Matthew Stafford,QB,LA,91.5,91,2022-05-29
Damien Harris,RB,NE,92.4,92,2022-05-29
Russell Gage,WR,TB,92.5,93,2022-05-29
Dallas Goedert,TE,PHI,94,94,2022-05-29
Chris Olave,WR,NO,96.4,95,2022-05-29
Kareem Hunt,RB,CLE,97.2,96,2022-05-29
Garrett Wilson,WR,NYJ,97.5,97,2022-05-29
