player,pos,team,adp,rank,date
Jonathan Taylor,RB,IND,1.5,1,2022-08-13
Christian McCaffrey,RB,CAR,1.9,2,2022-08-13
Justin Jefferson,WR,MIN,3.3,3,2022-08-13
Cooper Kupp,WR,LA,4,4,2022-08-13
Ja'Marr Chase,WR,CIN,5.2,5,2022-08-13
Austin Ekeler,RB,LAC,6.3,6,2022-08-13
Stefon Diggs,WR,BUF,7.7,7,2022-08-13
Derrick Henry,RB,TEN,8.3,8,2022-08-13
Dalvin Cook,RB,MIN,9,9,2022-08-13
Davante Adams,WR,LV,10.5,10,2022-08-13
Najee Harris,RB,PIT,11.8,11,2022-08-13
Travis Kelce,TE,KC,12.2,12,2022-08-13
CeeDee Lamb,WR,DAL,13.1,13,2022-08-13
Joe Mixon,RB,CIN,13.9,14,2022-08-13
Saquon Barkley,RB,NYG,15.2,15,2022-08-13
D'Andre Swift,RB,DET,16.1,16,2022-08-13
Deebo Samuel,WR,SF,17.1,17,2022-08-13
Aaron Jones,RB,GB,18,18,2022-08-13
Mike Evans,WR,TB,20.6,19,2022-08-13
Mark Andrews,TE,BAL,21.2,20,2022-08-13
Alvin Kamara,RB,NO,21.5,21,2022-08-13
Javonte Williams,RB,DEN,21.8,22,2022-08-13
Tyreek Hill,WR,MIA,22,23,2022-08-13
Leonard Fournette,RB,TB,24.8,24,2022-08-13
Tee Higgins,WR,CIN,25.6,25,2022-08-13
Nick Chubb,RB,CLE,25.8,26,2022-08-13
A.J. Brown,WR,PHI,26.3,27,2022-08-13
Michael Pittman,WR,IND,28.1,28,2022-08-13
Keenan Allen,WR,LAC,29.4,29,2022-08-13
Mike Williams,WR,LAC,30.5,30,2022-08-13
Josh Allen,QB,BUF,31.5,31,2022-08-13
Kyle Pitts,TE,ATL,31.8,32,2022-08-13
DJ Moore,WR,CAR,32.8,33,2022-08-13
Courtland Sutton,WR,DEN,33.7,34,2022-08-13
James Conner,RB,ARI,35.1,35,2022-08-13
Travis Etienne,RB,JAX,36.8,36,2022-08-13
Jaylen Waddle,WR,MIA,37.8,37,2022-08-13
Ezekiel Elliott,RB,DAL,39,38,2022-08-13
Allen Robinson,WR,LA,40,39,2022-08-13
Terry McLaurin,WR,WAS,40.8,40,2022-08-13
Marquise Brown,WR,ARI,41.8,41,2022-08-13
Breece Hall,RB,NYJ,42.5,42,2022-08-13
Jerry Jeudy,WR,DEN,43.6,43,2022-08-13
Gabriel Davis,WR,BUF,44.1,44,2022-08-13
Justin Herbert,QB,LAC,45.2,45,2022-08-13
Cam Akers,RB,LA,48,46,2022-08-13
Diontae Johnson,WR,PIT,48.1,47,2022-08-13
Lamar Jackson,QB,BAL,48.6,48,2022-08-13
JuJu Smith-Schuster,WR,KC,48.7,49,2022-08-13
Darren Waller,TE,LV,51.1,50,2022-08-13
Brandin Cooks,WR,HOU,51.8,51,2022-08-13
Patrick Mahomes,QB,KC,52.1,52,2022-08-13
George Kittle,TE,SF,53.5,53,2022-08-13
Rashod Bateman,WR,BAL,54.4,54,2022-08-13
D.K. Metcalf,WR,SEA,54.8,55,2022-08-13
Chris Godwin,WR,TB,55.4,56,2022-08-13
J.K. Dobbins,RB,BAL,55.4,57,2022-08-13
Michael Thomas,WR,NO,56.3,58,2022-08-13
Darnell Mooney,WR,CHI,59.9,59,2022-08-13
Amon-Ra St. Brown,WR,DET,60.7,60,2022-08-13
David Montgomery,RB,CHI,60.8,61,2022-08-13
Kyler Murray,QB,ARI,62.2,62,2022-08-13
Elijah Mitchell,RB,SF,63.5,63,2022-08-13
Jalen Hurts,QB,PHI,64.4,64,2022-08-13
Elijah Moore,WR,NYJ,65.5,65,2022-08-13
AJ Dillon,RB,GB,66.1,66,2022-08-13
Drake London,WR,ATL,68.7,67,2022-08-13
Amari Cooper,WR,CLE,69.6,68,2022-08-13
Adam Thielen,WR,MIN,69.7,69,2022-08-13
Josh Jacobs,RB,LV,71.2,70,2022-08-13
Dalton Schultz,TE,DAL,71.6,71,2022-08-13
Trey Lance,QB,SF,72.6,72,2022-08-13
DeAndre Hopkins,WR,ARI,73,73,2022-08-13
Brandon Aiyuk,WR,SF,73.7,74,2022-08-13
Allen Lazard,WR,GB,74.4,75,2022-08-13
Joe Burrow,QB,CIN,75.4,76,2022-08-13
DeVonta Smith,WR,PHI,77.1,77,2022-08-13
Kadarius Toney,WR,NYG,78.5,78,2022-08-13
Russell Wilson,QB,DEN,79,79,2022-08-13
Antonio Gibson,RB,WAS,79.4,80,2022-08-13
Tony Pollard,RB,DAL,81.3,81,2022-08-13
Christian Kirk,WR,JAX,82.5,82,2022-08-13
Hunter Renfrow,WR,LV,83.9,83,2022-08-13
Miles Sanders,RB,PHI,84.7,84,2022-08-13
Tom Brady,QB,TB,85.4,85,2022-08-13
Clyde Edwards-Helaire,RB,KC,87,86,2022-08-13
Chris Olave,WR,NO,88.4,87,2022-08-13
Treylon Burks,WR,TEN,88.7,88,2022-08-13
Dak Prescott,QB,DAL,89.1,89,2022-08-13
T.J. Hockenson,TE,DET,90.8,90,2022-08-13
Skyy Moore,WR,KC,90.9,91,2022-08-13
Chase Edmonds,RB,MIA,91.1,92,2022-08-13
Rhamondre Stevenson,RB,NE,91.9,93,2022-08-13
Rashaad Penny,RB,SEA,93.6,94,2022-08-13
Kareem Hunt,RB,CLE,95.8,95,2022-08-13
Marquez Valdes-Scantling,WR,KC,95.9,96,2022-08-13
Dallas Goedert,TE,PHI,96.8,97,2022-08-13
Damien Harris,RB,NE,99.4,98,2022-08-13
Tyler Lockett,WR,SEA,99.5,99,2022-08-13
Robert Woods,WR,TEN,99.6,100,2022-08-13
James Cook,RB,BUF,100.4,101,2022-08-13
Matthew Stafford,QB,LA,104,102,2022-08-13
Dawson Knox,TE,BUF,104.1,103,2022-08-13
Chase Claypool,WR,PIT,105.8,104,2022-08-13
Devin Singletary,RB,BUF,106.3,105,2022-08-13
Kenneth Walker,RB,SEA,107.3,106,2022-08-13
Derek Carr,QB,LV,107.7,107,2022-08-13
Zach Ertz,TE,ARI,108.4,108,2022-08-13
Russell Gage,WR,TB,108.8,109,2022-08-13
Tyler Boyd,WR,CIN,109.4,110,2022-08-13
Melvin Gordon,RB,DEN,110.8,111,2022-08-13
Cordarrelle Patterson,RB,ATL,111.5,112,2022-08-13
Aaron Rodgers,QB,GB,111.8,113,2022-08-13
Rondale Moore,WR,ARI,113,114,2022-08-13
Garrett Wilson,WR,NYJ,113,115,2022-08-13
Julio Jones,WR,N/A,114.2,116,2022-08-13
Jalen Tolbert,WR,DAL,115.4,117,2022-08-13
Kirk Cousins,QB,MIN,117.2,118,2022-08-13
Dameon Pierce,RB,HOU,120.3,119,2022-08-13
Mecole Hardman,WR,KC,122,120,2022-08-13
Isaiah Spiller,RB,LAC,123,121,2022-08-13
Cole Kmet,TE,CHI,123.8,122,2022-08-13
Darrell Henderson,RB,LA,124.8,123,2022-08-13
Rachaad White,RB,TB,125.2,124,2022-08-13
DeVante Parker,WR,NE,126.5,125,2022-08-13
Kenny Golladay,WR,NYG,126.6,126,2022-08-13
Joshua Palmer,WR,LAC,127.1,127,2022-08-13
Justin Fields,QB,CHI,129.3,128,2022-08-13
Alexander Mattison,RB,MIN,130.3,129,2022-08-13
Michael Gallup,WR,DAL,132.8,130,2022-08-13
Nyheim Hines,RB,IND,133,131,2022-08-13
Irv Smith,TE,MIN,133.6,132,2022-08-13
Tua Tagovailoa,QB,MIA,134.4,133,2022-08-13
Jakobi Meyers,WR,NE,135.5,134,2022-08-13
Albert Okwuegbunam,TE,DEN,135.7,135,2022-08-13
Jahan Dotson,WR,WAS,137.6,136,2022-08-13
Pat Freiermuth,TE,PIT,138.1,137,2022-08-13
Kenneth Gainwell,RB,PHI,138.2,138,2022-08-13
D.J. Chark,WR,DET,139.5,139,2022-08-13
K.J. Osborn,WR,MIN,140,140,2022-08-13
James Robinson,RB,JAX,141.1,141,2022-08-13
Christian Watson,WR,GB,141.7,142,2022-08-13
George Pickens,WR,PIT,143.1,143,2022-08-13
Tyler Allgeier,RB,ATL,144,144,2022-08-13
Trevor Lawrence,QB,JAX,145.2,145,2022-08-13
Jarvis Landry,WR,NO,146.6,146,2022-08-13
Mike Gesicki,TE,MIA,148.4,147,2022-08-13
Romeo Doubs,WR,GB,149,148,2022-08-13
Hunter Henry,TE,NE,149.2,149,2022-08-13
Michael Carter,RB,NYJ,150.1,150,2022-08-13
Robby Anderson,WR,CAR,150.4,151,2022-08-13
KJ Hamler,WR,DEN,151,152,2022-08-13
Nico Collins,WR,HOU,152.1,153,2022-08-13
Khalil Herbert,RB,CHI,153,154,2022-08-13
Jameis Winston,QB,NO,154.9,155,2022-08-13
Isaiah McKenzie,WR,BUF,155.7,156,2022-08-13
Ronald Jones,RB,KC,157.7,157,2022-08-13
Matt Ryan,QB,IND,158.6,158,2022-08-13
Jameson Williams,WR,DET,159.4,159,2022-08-13
Gerald Everett,TE,LAC,159.9,160,2022-08-13
David Njoku,TE,CLE,160.4,161,2022-08-13
Jamaal Williams,RB,DET,161.2,162,2022-08-13
Wan'Dale Robinson,WR,NYG,163.5,163,2022-08-13
Daniel Jones,QB,NYG,164.3,164,2022-08-13
Robert Tonyan,TE,GB,166.7,165,2022-08-13
Tyler Higbee,TE,LA,168,166,2022-08-13
Tyrion Davis-Price,RB,SF,169.6,167,2022-08-13
Parris Campbell,WR,IND,170.6,168,2022-08-13
Van Jefferson,WR,LA,171.6,169,2022-08-13
Marvin Jones,WR,JAX,172.4,170,2022-08-13
Noah Fant,TE,SEA,172.8,171,2022-08-13
Zamir White,RB,LV,173.3,172,2022-08-13
Brian Robinson Jr.,RB,WAS,174.1,173,2022-08-13
Deshaun Watson,QB,CLE,175.4,174,2022-08-13
Alec Pierce,WR,IND,176.9,175,2022-08-13
Hayden Hurst,TE,CIN,177.2,176,2022-08-13
Isiah Pacheco,RB,KC,177.6,177,2022-08-13
Corey Davis,WR,NYJ,177.6,178,2022-08-13
Jamison Crowder,WR,BUF,178.3,179,2022-08-13
Raheem Mostert,RB,MIA,178.4,180,2022-08-13
Mac Jones,QB,NE,178.5,181,2022-08-13
Marlon Mack,RB,HOU,179.3,182,2022-08-13
Evan Engram,TE,JAX,181.9,183,2022-08-13
Austin Hooper,TE,TEN,185,184,2022-08-13
Sammy Watkins,WR,GB,187.7,185,2022-08-13
William Fuller,WR,N/A,188.3,186,2022-08-13
Donovan Peoples-Jones,WR,CLE,189.1,187,2022-08-13
Ryan Tannehill,QB,TEN,190,188,2022-08-13
Zach Wilson,QB,NYJ,190.4,189,2022-08-13
Taysom Hill,TE,NO,191.4,190,2022-08-13
Jared Goff,QB,DET,192.2,191,2022-08-13
J.D. McKissic,RB,WAS,193.5,192,2022-08-13
Darrel Williams,RB,KC,194.5,193,2022-08-13
A.J. Green,WR,ARI,195.7,194,2022-08-13
Kendrick Bourne,WR,NE,197.4,195,2022-08-13
Gus Edwards,RB,BAL,197.5,196,2022-08-13
D'Ernest Johnson,RB,CLE,198.4,197,2022-08-13
Eno Benjamin,RB,ARI,198.7,198,2022-08-13
Brevin Jordan,TE,HOU,200.2,199,2022-08-13
Baker Mayfield,QB,CAR,200.7,200,2022-08-13
Zay Jones,WR,JAX,202.1,201,2022-08-13
Odell Beckham,WR,N/A,202.3,202,2022-08-13
Devin Duvernay,WR,BAL,202.9,203,2022-08-13
Jerick McKinnon,RB,KC,204.1,204,2022-08-13
Davis Mills,QB,HOU,204.4,205,2022-08-13
Curtis Samuel,WR,WAS,205.1,206,2022-08-13
Mo Alie-Cox,TE,IND,205.4,207,2022-08-13
Mark Ingram,RB,NO,207.5,208,2022-08-13
Carson Wentz,QB,WAS,207.7,209,2022-08-13
David Bell,WR,CLE,209,210,2022-08-13
D'Onta Foreman,RB,CAR,209.2,211,2022-08-13
Cameron Brate,TE,TB,209.3,212,2022-08-13
Tyquan Thornton,WR,NE,209.4,213,2022-08-13
Trey Sermon,RB,SF,210.4,214,2022-08-13
Marcus Mariota,QB,ATL,210.4,215,2022-08-13
Nick Westbrook-Ikhine,WR,TEN,210.6,216,2022-08-13
Logan Thomas,TE,WAS,212,217,2022-08-13
Chris Evans,RB,CIN,212.1,218,2022-08-13
Sony Michel,RB,LA,212.5,219,2022-08-13
Randall Cobb,WR,GB,212.7,220,2022-08-13
Terrace Marshall,WR,CAR,213.2,221,2022-08-13
Cedrick Wilson,WR,MIA,213.2,222,2022-08-13
Bryan Edwards,WR,LV,213.5,223,2022-08-13
Velus Jones,WR,CHI,213.6,224,2022-08-13
Kyle Rudolph,TE,N/A,213.7,225,2022-08-13
Kenyan Drake,RB,LV,213.9,226,2022-08-13
Jonnu Smith,TE,NE,213.9,227,2022-08-13
Hassan Haskins,RB,TEN,214,228,2022-08-13
Laviska Shenault,WR,JAX,214,229,2022-08-13
Mitchell Trubisky,QB,PIT,214.3,230,2022-08-13
Greg Dulcich,TE,DEN,214.3,231,2022-08-13
Jeff Wilson,RB,SF,214.4,232,2022-08-13
Quez Watkins,WR,PHI,214.7,233,2022-08-13
Jalen Guyton,WR,LAC,214.7,234,2022-08-13
Tyler Conklin,TE,NYJ,214.7,235,2022-08-13
Chuba Hubbard,RB,CAR,214.8,236,2022-08-13
Daniel Bellinger,TE,NYG,214.8,237,2022-08-13
Kyle Philips,WR,TEN,214.9,238,2022-08-13
James Proche,WR,BAL,214.9,239,2022-08-13
Trey McBride,TE,ARI,215.1,240,2022-08-13
Rex Burkhead,RB,HOU,215.2,241,2022-08-13
Jimmy Garoppolo,QB,SF,215.2,242,2022-08-13
Equanimeous St. Brown,WR,CHI,215.3,243,2022-08-13
Donald Parham,TE,LAC,215.3,244,2022-08-13
Noah Brown,WR,DAL,215.3,245,2022-08-13
Samaje Perine,RB,CIN,215.4,246,2022-08-13
C.J. Uzomah,TE,NYJ,215.5,247,2022-08-13
Isaiah Likely,TE,BAL,215.5,248,2022-08-13
Amari Rodgers,WR,GB,215.5,249,2022-08-13
Ashton Dulin,WR,IND,215.5,250,2022-08-13
Zack Moss,RB,BUF,215.5,251,2022-08-13
Byron Pringle,WR,CHI,215.5,252,2022-08-13
Mike Davis,RB,ATL,215.6,253,2022-08-13
Jauan Jennings,WR,SF,215.6,254,2022-08-13
Pierre Strong,RB,NE,215.6,255,2022-08-13
Malik Willis,QB,TEN,215.6,256,2022-08-13
Khalil Shakir,WR,BUF,215.6,257,2022-08-13
Adam Trautman,TE,NO,215.6,258,2022-08-13
Danny Gray,WR,SF,215.6,259,2022-08-13
Braxton Berrios,WR,NYJ,215.7,260,2022-08-13
Dontrell Hilliard,RB,TEN,215.7,261,2022-08-13
Ty Montgomery,WR,NE,215.7,262,2022-08-13
Demarcus Robinson,WR,LV,215.7,263,2022-08-13
Ke'Shawn Vaughn,RB,TB,215.7,264,2022-08-13
Kenny Pickett,QB,PIT,215.7,265,2022-08-13
Marquez Callaway,WR,NO,215.8,266,2022-08-13
Matt Breida,RB,NYG,215.8,267,2022-08-13
Drew Lock,QB,SEA,215.8,268,2022-08-13
Sterling Shepard,WR,NYG,215.8,269,2022-08-13
Tyler Badie,RB,BAL,215.8,270,2022-08-13
Rob Gronkowski,TE,TB,215.8,271,2022-08-13
Desmond Ridder,QB,ATL,215.8,272,2022-08-13
Nelson Agholor,WR,NE,215.8,273,2022-08-13
Boston Scott,RB,PHI,215.8,274,2022-08-13
Montrell Washington,WR,DEN,215.8,275,2022-08-13
Jacoby Brissett,QB,CLE,215.9,276,2022-08-13
Foster Moreau,TE,LV,215.9,277,2022-08-13
Geno Smith,QB,SEA,215.9,278,2022-08-13
Benny Snell,RB,PIT,215.9,279,2022-08-13
Tutu Atwell,WR,LA,215.9,280,2022-08-13
Simi Fehoko,WR,DAL,215.9,281,2022-08-13
Rashard Higgins,WR,CAR,215.9,282,2022-08-13
